CountyCode,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012
6037,554411.6948,554312.4898,553075.1597,552217.2414,550041.6323,547406.3046,543115.8414,538478.043,533466.9965,527619.1487,522041.943,516283.2823,511854.0843,506486.2687,498348.3055,486791.9556,473232.5275,460148.3448,447190.5201,435382.8537,425947.1167,418213.629,410894.9475,401737.1431,394101.0691,388621.9855,385249.3588,381931.6926,378742.464,374826.4769,371535.2014,369395.7452,368434.3325,368023.9524,368891.5242,372081.4502,374310.2539,374605.9356,375198.6452,376886.9695,380104.6789,380092.9271,378691.2271,374966.1521,371138.61,367367.3954,363962.1874,362349.6017,361402.0523,361505.6657,360420.2357,359301.8205,355915.5155,354366.2913,352882.3967,350951.2244,347411.7334,343482.0041,341871.0807,341147.3766,340714.0104
17031,258926.7471,260035.103,260908.7726,261226.7653,261121.6324,260760.3343,260186.0042,259565.1093,258522.4831,257502.9122,256384.676,255083.2058,254090.7164,251437.7841,251008.508,248423.9879,247946.5303,244886.1679,243791.5636,240854.3673,238619.3512,234863.9019,231595.2485,227450.7958,222983.5679,219371.167,215625.1528,213796.6472,211480.8983,210400.8868,208920.033,207740.3223,205233.2832,202794.7703,200063.0273,199077.2708,197814.6996,197573.2114,195979.9743,196351.1396,195704.1536,196366.6444,194179.593,192467.6762,189810.2231,187782.9585,185211.7801,182599.5693,180413.5338,178335.9346,177038.6878,175476.4169,174791.3916,173605.8414,173205.7223,172196.2555,171206.7008,168914.9605,167194.7313,164635.7864,163008.1846
48201,136415.5094,136350.8163,136036.8237,136061.9985,136431.7608,137047.8994,137440.5352,137869.8199,138222.1451,138563.7918,138809.8729,139022.898,138708.6371,138140.7603,137516.817,137273.3367,136996.5453,136650.9979,136346.918,135919.8946,135287.3273,134602.6624,133748.1142,132816.7851,131879.1765,131542.562,131476.2996,131632.5508,131857.7714,132284.1736,132809.0929,133059.4898,133015.082,132635.0483,132505.307,132569.4209,132526.164,132443.3757,132536.8566,132932.4581,133280.3202,133219.0785,132566.7064,131352.2355,130217.2115,129340.3825,128859.9527,128440.9827,127958.8888,127396.7783,126587.9895,125866.4853,125295.4521,124955.2708,124851.9718,124883.1709,124824.6306,124649.5163,123902.3974,123236.1277,122881.9297
4013,292648.4092,290854.9507,289773.5379,289472.9743,289348.244,288493.2042,286754.7532,284250.8847,281383.1894,278440.7305,274451.5115,270101.1886,265455.2622,259921.1321,254109.0197,247212.4643,241912.2422,236926.2002,231816.1128,225296.5223,218608.588,213020.2899,206244.5853,199026.4272,192066.8619,187786.9371,184286.0552,180933.2976,176992.6636,173630.9262,170952.9587,168825.0821,166958.3498,164362.884,163344.8552,163082.3458,163435.0088,162625.955,161352.6661,160788.53,160184.1207,159623.3215,157431.5923,155266.1392,152398.6254,150436.9558,148506.8511,146734.5909,144528.2842,142561.325,141312.9676,139898.4931,138452.0524,136762.9607,136007.4908,135773.4446,135837.09,135990.0946,136036.305,136936.0896,137764.0678
6073,515844.0417,513795.9085,509148.5331,503885.8427,498088.8035,493694.2268,489001.235,485557.1397,481468.8901,477258.9046,471891.1325,467574.6,461997.5397,455096.4283,447033.0661,440180.8106,432633.0349,424804.7986,415878.0534,407175.3863,397238.0232,388177.7074,379856.532,373842.3378,368696.4041,365353.193,363355.2816,359479.0065,356417.1617,351328.9963,349443.3117,346893.1344,347212.2534,347617.3837,350490.8128,353694.2316,356937.1742,358963.5101,360954.2877,364168.1454,365495.91,365683.1093,363912.3639,362101.2839,359428.8998,355654.0895,352230.8151,350513.5844,349501.3249,348620.3169,346475.2471,344921.9607,343346.9119,342466.0611,341046.8831,338181.4476,334939.3331,332173.1019,330905.8685,329855.2958,330148.9464
6059,649840.8964,649569.5075,649407.1324,645760.1486,640657.5509,635934.2554,628984.4708,620635.5409,609475.357,600292.4424,594422.2412,586980.1341,577021.1147,562365.5315,550527.798,537897.4156,526610.3679,515574.4346,507850.5837,501928.0063,498483.8094,493286.216,486124.3896,477704.5759,470082.9334,466534.8064,462415.632,460025.8912,457413.6083,455215.5464,453444.1265,451509.9598,451747.9624,453519.5365,458159.4562,462913.3225,465074.3032,465277.4605,464235.8517,467039.3548,468941.3812,470029.6814,467313.6316,464228.5596,460791.7042,457187.8556,453250.4032,450382.8666,448709.5959,447953.3133,446188.6281,443366.1993,438500.4061,435120.4064,433550.8851,432243.5386,429206.1416,426331.2958,425552.2892,426619.3001,425789.5448
36047,468197.4478,467253.7573,469762.1409,469707.2953,470702.6895,469371.1406,468948.8527,470692.894,469489.6481,468083.5315,466644.5799,466454.0672,468136.2012,469412.0706,471978.1001,471616.6623,469316.41,466647.2567,463291.8701,460711.7189,458657.3516,456629.8908,454702.0934,452502.8854,450126.6629,446295.0517,441860.2126,437073.2594,432874.9555,428411.8355,424041.9748,420172.7818,417495.4385,415205.167,414285.3299,413916.5196,415343.5506,418488.7719,418664.8181,417601.1837,415969.2524,417377.111,420924.7147,423052.2774,424987.6122,425149.2127,425035.813,423648.7916,421967.5872,419726.0273,421447.2837,424102.4965,426721.1956,425603.0908,423381.3796,422026.2967,422631.0675,424213.2257,425836.8009,427505.767,428642.1264
12086,330235.3165,330832.6253,330223.9319,329968.075,329021.9707,328142.1519,326994.6651,325477.0339,322702.8926,320048.7791,316555.9833,314155.8057,308613.6321,301978.227,293955.0155,286957.3298,280535.6373,274132.6523,267743.9291,260486.8583,252734.8814,244850.4435,237639.5377,230418.3459,222925.3297,215726.304,208960.3536,203144.8068,197801.0686,193527.8108,189222.6523,185430.171,181841.0809,179184.0785,176836.5082,174528.5732,172901.0235,171735.2975,171221.6251,170829.0988,170376.3633,169292.5667,167912.511,166328.1749,164958.5713,163128.6318,161490.3568,160236.761,158990.1791,157689.3269,156589.9417,156111.3402,155632.2715,154910.1846,154147.2434,153657.6818,153436.2828,153756.6756,154244.8038,154515.9795,154947.3909
48113,117739.6687,117272.1008,116727.4956,116750.615,117185.4622,117614.9753,117999.478,118372.4663,118807.7137,118930.2481,118996.4181,119167.926,118806.1159,117842.6107,116533.0851,115672.572,115238.0155,114860.8673,114735.1688,114351.178,113682.3423,112628.1504,111152.614,110050.3836,109131.244,109181.1137,109271.5918,109594.5888,109770.6265,109839.1308,109869.03,109757.5225,109860.0114,109959.2534,110415.5095,110681.1791,110544.9335,110149.0678,109661.5198,109610.2279,109519.2102,109596.6544,109305.8456,108800.9558,107818.9539,106963.4599,106075.5008,105764.9381,105487.6949,105254.4672,104694.8618,104014.086,103350.2687,102780.3943,102486.6948,102224.324,102131.4794,101900.3217,101683.4626,101104.7752,100483.3653
6065,411728.7062,411664.5734,409847.9587,406710.7434,401841.6361,396217.4977,391637.0434,385783.2356,379083.7672,371853.5404,365357.4399,359328.4493,352990.7887,345422.6158,335844.006,325007.7968,313660.0647,302396.4184,289906.0666,277306.2776,265670.2774,257124.7482,249581.4019,241658.5562,233208.9077,227707.8249,223813.2481,220352.2932,215714.9488,212464.1547,209616.8538,206380.9056,203173.6475,201111.8402,200965.258,202338.5669,204684.6197,206398.7679,207281.4166,207935.2058,209092.6641,209242.4889,208544.4121,206266.2201,205038.4045,203151.4593,203444.3036,203796.5083,204533.1283,203892.5009,203202.9435,202451.1543,202121.5596,200656.5691,199303.6046,198463.9416,197761.455,196952.6032,195785.9582,195277.6502,195330.436
