StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
48181,N/A,N/A,N/A,15.7,19.3,19.1,21.1,19.9,18.6,22.1,19.1,19.4,19.9,21.1,21.7,N/A,26.6,27.3,25.6
48183,N/A,N/A,N/A,21.2,20.8,17.1,20.9,19.6,17.6,20.9,21.1,21.3,18.5,20.8,22.1,N/A,22.3,23.6,21
48187,N/A,N/A,N/A,24.8,24.1,23.1,25.6,27.1,22.8,26.4,27.1,27.4,26.9,27.5,29.3,N/A,32.5,30.9,33.1
48201,N/A,N/A,N/A,27.6,27.1,27.8,28,28.5,29.7,29.7,29.8,31,30.7,31.5,32.2,N/A,33.5,34.1,34.2
48209,N/A,N/A,N/A,32,32.4,38.5,35.3,37.8,35.4,35.2,35.5,36.1,39.2,38.5,36.4,N/A,38.7,46.7,45.4
48213,N/A,N/A,N/A,14.5,N/A,13.7,14.6,12.4,N/A,18.8,20.5,18.4,17.2,N/A,15.7,N/A,18.6,20.5,20.9
48215,N/A,N/A,N/A,15.1,16.1,15.7,16,16.3,16.2,17.8,17.2,18.2,18.6,18.6,19,N/A,19.9,21.3,20.6
48231,N/A,N/A,N/A,19.1,13.9,16.9,17.9,17.5,17,15.3,18.8,20.2,23.8,19.8,20.1,N/A,22.8,21.4,24.2
48245,N/A,N/A,N/A,17.9,17.5,16.8,17,18.6,17.9,18.3,18.9,18.5,18.8,20.4,20.8,N/A,19.2,21.6,17.1
48251,N/A,N/A,N/A,13.9,16.3,15.4,17.8,13.9,18,16.1,19.3,19.5,18.5,17.8,18.9,N/A,24.5,24,25.7
48257,N/A,N/A,N/A,15.7,13.5,19.4,17.5,17.8,19.6,19.2,20.4,19.3,22.4,20.2,18.9,N/A,27.7,28,28.1
48291,N/A,N/A,N/A,10,7.9,7.9,7.5,8.8,10.3,9.5,10.6,9,7.2,9.8,12.3,N/A,11.9,8.9,10.9
48303,N/A,N/A,N/A,27.7,26.6,28.4,27.7,27.7,27.5,27.4,26.3,30.9,29.8,29.3,32,N/A,33.7,35,31.6
48309,N/A,N/A,N/A,20.9,21.1,22.5,22.1,22.3,20.7,22,23.3,21.7,24.6,24.9,25.8,N/A,28.1,27.3,27.8
48329,N/A,N/A,N/A,20.8,22.9,20.2,23.2,23.6,27.7,25.6,26.3,26.5,27.7,27.8,29.2,N/A,34.7,30.5,34.2
48339,N/A,N/A,N/A,28.2,29.3,30.1,30.1,31.7,31.6,34.1,33.9,33.4,33.1,35.9,33.8,N/A,40.7,40.4,39.3
48355,N/A,N/A,N/A,18.9,20.5,20.6,21.6,18.9,18.5,21.4,20.5,22,20.9,22,23.5,N/A,24.6,23.2,25.6
48361,N/A,N/A,N/A,N/A,13,10.9,12.3,12.9,N/A,14.7,15.9,15.5,15,15.2,18.8,N/A,15.8,18.7,18.1
48367,N/A,N/A,N/A,19.6,21.4,22.3,24.5,26.8,26.8,26.8,26.1,21.8,26.3,27.7,25,N/A,32.9,35.4,30.6
