StateCode,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1003,7.17352614,5.652367954,1.973574341,1.899734114,-1.443616699,0.436455026,0.537706296,0.493032004,1.510596865,1.113759964,1.866826303,3.210465884,2.167171815,2.394711571,-2.242411555,10.09533436,2.929986852,2.550283827
1015,0.376202809,0.25237306,0.603043397,0.832850927,-1.251921403,0.067515613,-0.086211744,-0.470822157,0.427817565,0.067558692,0.026255087,0.841817125,0.189640427,-0.146600356,-0.16168299,-0.95119318,0.370224202,0.25277112
1043,0.187327824,0.01649802,0.203442019,1.00691396,0.662773326,0.159205591,-0.091599763,-0.544709309,0.710373624,0.096920095,0.228617536,1.45981484,0.581872041,0.596912882,-0.52279381,3.702438512,1.084505258,1.075376632
1049,0.273195698,0.168988826,0.189361336,1,5.865741213,0.710268359,-0.832907838,-0.714400644,0.619064597,-0.019327406,0.070880856,1.503541533,0.40917309,-0.15794794,-0.57584003,-2.068482688,0.805875089,0.464186706
1051,1.76495757,1.002067202,0.496062719,0.928546773,11.7787886,1.704249916,-1.019855596,0.109419167,1.162826001,0.756302521,0.533182414,1.484400462,0.478804157,0.188865644,-0.432122038,8.007107072,0.803646072,0.476203216
1055,0.680615074,0.5925555,0.329793412,0.696698435,-2.541676932,-0.246471456,0.276645619,-0.383287002,0.422815103,0.014736222,0.067355659,0.441723986,0.20104291,0.016719962,-0.10448229,-0.805355088,0.468156896,0.302254313
1069,1.333491236,1.304256364,0.505295217,1.092745638,3.056590063,0.707328897,0.035008643,0.559942256,1.044045677,0.540307825,0.3789663,1.160335303,0.797014359,0.696579856,-0.706302713,4.05665509,0.944970545,0.830561475
1073,0.993131613,1.21771896,0.737730967,0.477059613,-3.683342144,-0.371875811,0.830996261,0.390054601,0.616121404,0.533674255,0.609750133,0.087181133,0.245125023,0.030363817,-0.273837241,0.123370841,0.476058033,0.595793716
1077,0.31615252,0.212491644,0.276368141,0.715151227,3.333333333,0.525078191,-0.138532464,0.21832075,0.635381683,0.060882114,0.455211268,0.576530498,1.414105366,0.325503651,-0.754121361,-1.217087825,0.431564589,0.449748408
1081,3.005934614,4.055159718,2.244246048,1.650244332,-1.237292143,1.3134376,1.457082999,0.336914669,1.462282398,1.242946469,1.187015139,2.602236017,2.105308977,1.216392884,-1.364631886,10.53290822,2.536829092,2.843292392
1083,1.228630603,0.291292437,0.926662287,1.651306999,18.10185029,2.739569659,-2.074884729,-0.158842717,0.71592943,0.43722321,0.457788013,1.341944142,0.788987282,-0.041056521,-0.662650602,19.52422956,2.177071562,2.173569575
1089,2.178084166,2.470849322,2.801680429,1.662110366,1.923943252,1.585714966,0.738980555,1.144858105,1.472848865,1.549228299,1.421677069,1.692784451,1.534800346,1.375842399,-1.455054257,6.123705058,2.978483942,1.584177187
1095,0.76200085,0.553345103,0.455962894,0.819094822,4.388211855,0.56512579,-0.534838439,-0.490633363,0.435778674,-0.022314234,0.049598254,0.882411263,0.275184275,-0.034303636,-0.335800775,2.068320996,0.638523445,0.550673977
1097,1.110761395,1.172701855,1.16078721,1.126453689,-2.266090666,0.733525061,0.248282298,0.010527249,0.617718265,0.223546124,0.338416912,0.696452037,0.42139719,0.203046235,-0.40040635,0.539276588,0.48781804,0.288907147
1101,1.394673608,0.721811342,1.22544214,0.265365022,-1.809172398,-0.179036939,1.121480591,0.276773445,0.523834977,0.552042849,0.589394741,0.236097039,0.290850141,0.136921175,-0.238334884,0.611061934,0.459770115,0.320177793
1103,0.650321121,0.449474276,0.753096284,0.646350893,0.880562615,0.187463386,0.060421783,-0.222062061,0.5407727,0.166990291,0.176404451,0.797259903,0.37435927,0.227603091,-0.295784592,2.48239167,0.562143991,0.523715782
1115,-8.099885917,5.324137931,6.066657936,2.068092725,15.1056945,-2.790184436,-3.394594595,-0.721799463,1.025756636,0.145048815,0.311960336,2.690620314,0.559716627,0.182844851,-0.740780504,4.134443783,1.937108878,1.719438571
