StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01003,89900,96349,101795,103804,105776,104249,104704,105267,105786,107384,108580,110607,114158,116632,119425,116747,128533,132299,135673
01015,52897,53096,53230,53551,53997,53321,53357,53311,53060,53287,53323,53337,53786,53888,53809,53722,53211,53408,53543
01043,36300,36368,36374,36448,36815,37059,37118,37084,36882,37144,37180,37265,37809,38029,38256,38056,39465,39893,40322
01049,28917,28996,29045,29100,29391,31115,31336,31075,30853,31044,31038,31060,31527,31656,31606,31424,30774,31022,31166
01051,28046,28541,28827,28970,29239,32683,33240,32901,32937,33320,33572,33751,34252,34416,34481,34332,37081,37379,37557
01055,47604,47928,48212,48371,48708,47470,47353,47484,47302,47502,47509,47541,47751,47847,47855,47805,47420,47642,47786
01069,42220,42783,43341,43560,44036,45382,45703,45719,45975,46455,46706,46883,47427,47805,48138,47798,49737,50207,50624
01073,301672,304668,308378,310653,312135,300638,299520,302009,303187,305055,306683,308553,308822,309579,309673,308825,309206,310678,312529
01077,41752,41884,41973,42089,42390,43803,44033,43972,44068,44348,44375,44577,44834,45468,45616,45272,44721,44914,45116
01081,56954,58666,61045,62415,63445,62660,63483,64408,64625,65570,66385,67173,68921,70372,71228,70256,77656,79626,81890
01083,28487,28837,28921,29189,29671,35042,36002,35255,35199,35451,35606,35769,36249,36535,36520,36278,43361,44305,45268
01089,131859,134731,138060,141928,144287,147063,149395,150499,152222,154464,156857,159087,161780,164263,166523,164100,174149,179336,182177
01095,37664,37951,38161,38335,38649,40345,40573,40356,40158,40333,40324,40344,40700,40812,40798,40661,41502,41767,41997
01097,174745,176686,178758,180833,182870,178726,180037,180484,180503,181618,182024,182640,183912,184687,185062,184321,185315,186219,186757
01101,99880,101273,102004,103254,103528,101655,101473,102611,102895,103434,104005,104618,104865,105170,105314,105063,105705,106191,106531
01103,49514,49836,50060,50437,50763,51210,51306,51337,51223,51500,51586,51677,52089,52284,52403,52248,53545,53846,54128
01115,31556,29000,30544,32397,33067,38062,37000,35744,35486,35850,35902,36014,36983,37190,37258,36982,38511,39257,39932
01117,71457,74325,76815,78928,79983,81100,81698,81979,82476,83495,84361,85377,87250,88393,89139,88090,90921,92222,93211
01121,35625,35783,36026,36208,36842,37103,37135,37195,36932,37175,37211,37203,37781,37906,38095,38021,38219,38544,38801
01125,77583,79140,81479,83178,84634,85016,85567,86097,86553,87795,89081,89748,91820,93002,92799,91719,103062,104662,105659
01127,33322,33375,33357,33369,33743,30815,30453,30757,30493,30673,30654,30664,31132,31249,31343,31238,30093,30127,30230
02020,108787,110284,111411,112021,112249,113111,113461,113639,113766,114320,114911,115539,117298,118233,119272,118293,119808,120871,120956
02090,34046,34175,37959,38005,38000,41780,42740,41694,41606,41690,41627,41565,44302,44307,44316,44270,42673,42685,42692
02170,28153,28370,28583,28698,28749,41338,43249,41326,41240,41311,41368,41491,41889,41986,42134,42018,51141,51178,51218
04001,32103,32248,32431,32524,32742,32506,32477,32600,32605,32657,32746,32798,32864,32942,33021,32943,28867,29042,29186
04003,54911,56235,57210,57503,58158,59108,59469,59901,60286,60506,60600,60871,61064,61318,61588,61380,59159,59769,60172
04005,58104,59176,60177,60540,60924,63404,64024,63818,64664,64215,64437,65278,66057,66838,67491,66807,70055,70560,71047
04013,1481431,1496229,1528852,1570067,1589309,1640448,1650565,1654659,1668234,1680184,1693687,1711390,1738201,1762981,1789265,1765880,1849103,1877560,1913863
04015,94768,98735,101184,102047,102997,110908,111844,111481,111717,112307,112850,113817,114497,115269,116201,115466,119446,120849,122876
04017,51128,52626,53748,54542,55103,56938,57135,57249,57323,57407,57644,57813,57836,58164,58501,58230,56796,57474,58078
04019,407048,418213,425878,426382,428582,441244,442471,444349,446987,448835,452104,456576,459912,462778,466337,463236,474804,479654,484385
04021,108777,126705,137370,145421,148026,159608,162509,162424,164254,165714,166426,170708,173676,177186,181389,177933,179218,185673,189795
04025,97270,101791,104637,105882,106890,110471,111090,111258,111703,112534,113085,114797,116534,118410,120652,118531,123886,126312,128616
04027,83186,85310,86780,87509,88803,87945,88142,88972,89610,89909,90485,91314,92441,93571,94648,93612,93797,95448,96567
05007,76074,81058,84976,86533,87034,93333,95121,94688,95722,97543,99882,102133,105272,108481,112180,108836,118236,122498,127369
05031,37711,38391,38991,39518,40103,40601,40981,41809,42612,43308,43974,44394,45492,46254,46942,46156,47885,48935,49935
05045,39174,41153,42125,42740,43781,46896,48336,48093,48305,48848,49133,49328,50101,50520,50619,50209,52696,53704,54836
05051,46282,46779,46959,47060,47374,50558,50993,50531,50309,50555,50539,50573,50977,51025,51011,50974,52479,52898,53004
05069,35290,35591,35665,35797,36028,33019,32705,33099,33026,33235,33252,33240,33337,33382,33397,33372,30640,30680,30712
05119,170520,173096,174428,175978,176919,175776,176336,178706,179857,181434,182304,183282,184205,185967,186446,185460,191961,193678,194736
05125,38092,39248,40026,40684,41313,44921,45733,45966,46087,46697,47003,47867,48885,49326,49582,49149,52445,53044,53524
05131,51782,52463,52861,53381,53781,54784,55369,55409,55604,56039,56379,56552,56858,57229,57421,57127,57136,57485,57862
05143,77035,79917,81907,83581,85411,87942,88723,88628,88909,89767,90781,92027,93743,95013,96298,95238,103107,105702,107704
05145,29203,29751,30008,30178,30962,32519,32842,32798,32820,33198,33281,33354,33821,33954,34037,33924,33485,33721,34406
06001,556474,559704,564722,566622,567345,582628,584631,583618,587829,592393,595871,599780,606053,615129,622957,605767,629159,633865,646309
06007,92187,93748,94801,95492,96189,95867,95901,96000,96586,97491,98040,98439,99405,100038,86212,93968,90309,92362,93864
06013,383328,389134,392686,395668,396656,400447,401362,401397,404167,406792,408783,410814,414055,415955,418696,415067,426327,430051,432056
06017,80279,81772,82649,83103,83367,88158,88784,88109,88483,88871,89005,89468,90311,91094,91662,91569,94178,94831,95459
06019,292733,299578,304305,308459,310115,315965,318099,318451,320796,324158,326015,327812,330958,333809,336479,333357,341732,345476,347917
06023,58160,58552,58900,59128,59462,61555,61872,61659,61976,62329,62567,62645,63012,63308,63723,63003,62442,62811,63280
06025,49491,51590,53650,54469,54880,56090,56291,56117,56492,56963,57229,57386,57742,57893,58285,57855,57101,57654,58804
06029,254226,262651,269019,272536,274649,284674,286972,285867,288383,291469,293589,295240,297873,300423,302927,299179,303865,306201,309632
06031,40021,41053,41825,42244,42520,43900,44175,44193,44522,44872,45251,45763,46399,46649,46958,46267,46761,47255,47430
06033,34031,34517,34984,35244,35573,35481,35396,35272,35426,35659,35697,35664,35943,34751,34566,34477,34274,34379,34385
06037,3339763,3356418,3374302,3385983,3391046,3444870,3449489,3444644,3462431,3482681,3504348,3520811,3542835,3561342,3579423,3559790,3620201,3641935,3675444
06039,45498,47671,48944,49353,49477,49156,49129,49422,49566,49893,50101,50205,50582,50971,51440,50480,49992,51034,51776
06041,107423,107993,108386,108569,108677,111220,111538,111083,111566,112308,112673,112885,113128,113175,113345,112319,111753,111969,112359
06045,38418,38668,38857,38987,39188,40342,40471,40336,40477,40719,40826,40842,41111,40934,41027,40874,41550,41733,41848
06047,77571,81058,83111,83693,84034,83690,83583,83571,83842,84180,84338,84432,85267,85766,86386,86691,89328,90308,92342
06053,137533,138740,139349,140159,140445,139034,138811,138871,139386,140143,140491,140819,141653,142414,143213,141910,144365,145232,146355
06055,52167,52768,53119,53323,53516,54769,54928,54736,54939,55322,55480,55535,55858,55465,55659,55339,55319,56502,56046
06057,48499,49265,49806,50164,50323,52592,52895,52623,52784,53083,53397,53538,53869,54264,54825,53905,53932,54357,54548
06059,1017219,1023053,1029633,1035210,1036859,1049079,1050907,1052535,1060030,1072078,1081042,1090121,1102088,1111321,1118148,1101244,1139043,1146379,1153448
06061,137086,142176,145094,147266,148519,152913,154367,154382,155879,157477,159424,161422,163927,167122,168942,166083,174937,179167,182757
06065,699474,732433,755325,769126,774705,801324,807206,805050,811100,820011,826825,831404,840273,848646,857222,845066,858681,867961,877776
06067,528035,542527,548001,551149,552913,555980,556334,556314,558823,561905,563670,565813,569768,574471,578966,572916,593234,599343,603629
06071,652802,668378,681035,687370,689103,699933,702114,700200,703253,708364,711715,714364,719259,725921,731393,721376,735905,742136,749701
06073,1113207,1125820,1133069,1138440,1142276,1165043,1168705,1169225,1176799,1187693,1194494,1202397,1214271,1224390,1233923,1215528,1237685,1247279,1261999
06075,354963,356486,357833,359905,361242,376777,378261,376899,381001,386610,390198,392823,397566,401478,406399,398613,412269,414553,418143
06077,217991,223471,226646,228603,228859,233873,234820,234605,235940,237547,238626,240618,242821,245561,248673,245192,255199,259492,265161
06079,112099,114213,115764,116769,117340,117353,117459,117552,118213,119138,120134,120866,121918,122971,123969,122256,124737,125857,126691
06081,266154,266392,266796,267033,267437,271006,271363,270714,272154,273582,274850,275947,278093,279468,280500,278756,285583,287401,288325
06083,150053,150880,151373,151772,152023,152819,152856,152699,153526,154414,155143,155962,157049,158315,159286,159317,159771,160910,161890
06085,605121,609787,614730,617672,620185,631955,633349,636293,642654,651171,660622,665098,671151,678530,686306,668896,693284,697026,703922
06087,101686,102375,102874,103480,103731,104444,104447,104286,104677,105251,105525,105635,106329,106718,107137,105819,106541,107121,107127
06089,74219,75685,76480,76999,77560,77334,77340,77308,77533,77916,78112,78303,78846,79187,78621,78488,79713,80113,80302
06095,146724,148877,149805,150596,150837,152784,153295,153035,153867,154997,155637,156826,157915,158815,159804,159055,163340,164666,165626
06097,193353,195881,197446,198438,198849,204595,205383,204760,205684,207220,207891,208153,209308,205247,208293,206498,205898,208444,209002
06099,167079,171281,173594,175118,175226,179516,180094,179199,179705,180297,180748,180822,181595,182305,182987,182239,183911,184680,186251
06101,31733,32956,33248,33451,33485,33866,33891,33881,33954,34105,34177,34294,34404,34475,34577,34394,34643,34774,34952
06107,129128,132244,135497,137822,139070,141898,142924,143458,144323,145500,146554,147537,148986,150217,151599,150079,152729,154181,155245
06111,266554,270664,272463,273553,274057,281681,282521,281700,282819,284527,285889,286905,288778,290984,291547,289425,294645,296132,297786
06113,69106,70676,71794,72548,72729,75095,75542,75265,75710,76736,76966,77166,77948,78527,79252,78565,81252,82455,83679
06115,25437,27079,27972,28630,28748,27647,27537,27608,27746,28009,28215,28360,28604,28688,29051,28632,29973,30803,31261
08001,154442,159150,162097,164120,162987,163229,163431,163986,164402,166286,167037,168792,173142,175623,178517,173439,191383,196598,200085
08005,223141,226855,228500,231392,234074,238457,239770,239685,240910,243734,244502,246715,251714,254250,257364,252835,265940,269150,272175
08013,121500,122784,123542,124079,124912,127115,127518,128106,129230,130924,132448,133775,135931,137465,140554,135409,143145,144419,146373
08031,268540,271096,274253,277237,279575,285859,286787,288191,293222,298880,304015,311480,320551,330884,338346,306269,351829,361212,366952
08035,90010,95511,99301,101509,102333,107056,108361,109115,111373,113806,121590,124753,124470,128744,132247,125886,140240,144387,148748
08041,233380,239752,243600,246193,247623,253120,254569,256058,258387,262160,269000,272537,271817,275393,280730,276538,295291,304249,312300
08059,224332,226195,228031,228831,229019,230006,230177,230850,231500,233294,235621,237205,241114,243016,245121,237789,250916,253959,256111
08069,122541,125304,127366,128535,130962,132776,133263,134704,136079,138540,140887,143273,148552,151840,154407,144583,162058,164525,167381
08077,55942,57286,58682,59858,60313,62707,63178,63161,63202,63791,64245,65247,66404,67215,68118,64244,68657,69987,71412
08101,65018,66013,67104,67598,67931,69579,69974,69591,69721,70071,70142,70286,71116,71451,71897,71284,72983,73902,74540
08123,86749,90301,92599,93996,94504,96406,97039,97525,98242,100064,102606,105461,109893,112472,115917,106044,124914,128978,134498
09001,346942,349344,350498,352042,353095,361355,362760,361427,362475,364966,366129,368010,373039,374480,375368,374329,380697,N/A,N/A
09003,360450,362190,363764,364700,365004,374323,375449,373876,373645,374723,374963,375137,379764,380441,381396,380383,386152,N/A,N/A
09005,82375,82869,83221,83415,83547,87543,88043,87408,87262,87413,87398,87337,88289,88402,88414,88362,87816,N/A,N/A
09007,71037,71633,72188,72580,72817,74880,75269,75006,75020,75276,75374,75536,76332,76547,76652,76449,76486,N/A,N/A
09009,346893,348418,349347,349835,350225,361966,363243,361884,361452,362307,362707,363122,367217,367766,368680,367990,370779,N/A,N/A
09011,114805,115793,116567,117035,117271,121061,121663,120993,120834,121263,121660,121911,123404,123618,124208,123849,123388,N/A,N/A
09013,54764,55422,56011,56434,56612,58006,58281,58268,58338,58526,58645,58920,59714,60041,60281,59997,61274,N/A,N/A
09015,46077,46581,46952,47151,47269,49081,49334,49140,49046,49158,49180,49172,49736,49828,49960,49840,49735,N/A,N/A
