StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
45015,44833.0,48726.0,49048.0,48320.0,49808.0,49427.0,49553.0,49500.0,50475.0,52427.0,56548.0,59153.0,57147.0,62994.0,69398.0,65443.0,75004.0,80185.0,83372.0
45019,43213.0,43857.0,47901.0,50671.0,46473.0,46324.0,50510.0,48593.0,51694.0,53308.0,57079.0,56827.0,60555.0,63459.0,71531.0,67182.0,72147.0,80401.0,89083.0
45031,34253.0,37503.0,41397.0,38703.0,34529.0,32385.0,39125.0,32922.0,31674.0,34651.0,33922.0,36841.0,37465.0,33521.0,44606.0,37141.0,40704.0,44317.0,47419.0
45035,50128.0,50332.0,53915.0,62003.0,52138.0,50908.0,50266.0,53637.0,54582.0,56277.0,54521.0,57637.0,64148.0,66438.0,68200.0,63501.0,70009.0,73791.0,78137.0
45041,37066.0,38185.0,40436.0,40995.0,40448.0,38872.0,40232.0,41251.0,41331.0,43148.0,40883.0,46524.0,42929.0,48790.0,50082.0,49645.0,51860.0,49527.0,54014.0
45045,42449.0,41850.0,47768.0,47848.0,45662.0,45185.0,48586.0,46654.0,49330.0,49268.0,51908.0,55342.0,55914.0,61183.0,64412.0,62422.0,68540.0,71728.0,76334.0
45047,35381.0,38793.0,41314.0,39225.0,41975.0,30808.0,35678.0,35923.0,34029.0,37831.0,43218.0,38200.0,40453.0,42245.0,42148.0,41081.0,52636.0,47052.0,56420.0
45051,38789.0,40816.0,43184.0,42327.0,41321.0,41568.0,38775.0,40353.0,42075.0,43001.0,47541.0,45621.0,45680.0,49047.0,53694.0,51570.0,55819.0,61063.0,68988.0
45059,34751.0,34791.0,34117.0,42224.0,37351.0,36265.0,35178.0,34906.0,35406.0,37638.0,39474.0,44038.0,40377.0,41452.0,47218.0,44374.0,56624.0,54334.0,56394.0
45063,46073.0,50103.0,50837.0,52209.0,52256.0,51594.0,50661.0,52314.0,53990.0,53980.0,55227.0,57382.0,60181.0,60154.0,61631.0,62740.0,64800.0,72801.0,76447.0
45073,38251.0,39679.0,40197.0,41171.0,36587.0,42848.0,41153.0,37383.0,40565.0,35159.0,43266.0,43743.0,50192.0,47132.0,48204.0,49691.0,50393.0,55195.0,67124.0
45075,30195.0,29700.0,31877.0,30177.0,34199.0,31979.0,31031.0,34185.0,31230.0,28680.0,38596.0,32450.0,35947.0,36536.0,37701.0,36802.0,34685.0,40016.0,51863.0
45077,41162.0,40733.0,42253.0,40806.0,39801.0,39280.0,39348.0,39052.0,41800.0,40136.0,42449.0,45779.0,47520.0,47148.0,52190.0,51032.0,48489.0,53022.0,57110.0
45079,43463.0,45370.0,47978.0,50005.0,45651.0,45925.0,44969.0,47940.0,47491.0,50028.0,51301.0,52030.0,51946.0,52159.0,52293.0,54441.0,56439.0,60442.0,61079.0
45083,37347.0,39694.0,40923.0,45185.0,39691.0,41850.0,40167.0,40879.0,42103.0,43688.0,45125.0,47371.0,50985.0,53581.0,55339.0,53757.0,60472.0,57755.0,63899.0
45085,33696.0,35461.0,39030.0,37648.0,37689.0,36457.0,42009.0,39667.0,39780.0,36633.0,41169.0,40614.0,45585.0,45994.0,51025.0,46570.0,46003.0,57775.0,55982.0
45091,46680.0,45739.0,54397.0,51190.0,50133.0,50797.0,49406.0,50817.0,54439.0,52565.0,56359.0,60767.0,62217.0,64319.0,66949.0,68555.0,72772.0,83613.0,81356.0
46099,45196.0,49810.0,48859.0,55597.0,47584.0,49243.0,51365.0,48338.0,52117.0,54829.0,54918.0,60038.0,61083.0,58742.0,61968.0,63699.0,72748.0,74253.0,71326.0
46103,42220.0,43508.0,43585.0,46442.0,47323.0,45704.0,48981.0,49546.0,48906.0,47838.0,52611.0,50950.0,54836.0,59006.0,58085.0,58278.0,64057.0,65801.0,74893.0
47001,36020.0,41652.0,40117.0,45015.0,44294.0,48310.0,40756.0,38421.0,40907.0,47821.0,42744.0,46055.0,48109.0,50616.0,49044.0,52338.0,60364.0,67746.0,57652.0
47009,42551.0,42909.0,47722.0,47215.0,45516.0,40846.0,45858.0,46095.0,44351.0,46819.0,49134.0,51183.0,50675.0,58809.0,59276.0,60301.0,62102.0,69756.0,78504.0
47011,40148.0,37185.0,38793.0,39948.0,39347.0,36978.0,37149.0,38505.0,42722.0,42563.0,42922.0,44853.0,48857.0,50560.0,52468.0,51872.0,56139.0,63659.0,61107.0
47037,40652.0,41994.0,46359.0,46153.0,46343.0,43616.0,43556.0,44567.0,47150.0,47993.0,52026.0,54855.0,58490.0,60856.0,63938.0,62515.0,65348.0,72473.0,80379.0
47059,32071.0,34291.0,33946.0,35062.0,33601.0,35196.0,31873.0,34536.0,35981.0,36694.0,34768.0,41109.0,37920.0,47383.0,44722.0,43150.0,56488.0,48918.0,54261.0
47065,40593.0,41855.0,45491.0,47779.0,42787.0,43935.0,41769.0,47667.0,47415.0,48379.0,48580.0,47898.0,51302.0,57280.0,57502.0,56606.0,66096.0,76219.0,73611.0
47093,42052.0,44184.0,44961.0,45673.0,45358.0,43610.0,44580.0,46196.0,49165.0,46860.0,52229.0,52102.0,55266.0,55632.0,60283.0,59250.0,64894.0,69999.0,70265.0
47113,39619.0,35216.0,39355.0,43164.0,38579.0,40438.0,38743.0,43161.0,39523.0,42412.0,47801.0,41791.0,45013.0,45360.0,49820.0,48396.0,53720.0,55666.0,58702.0
47119,40992.0,44769.0,45354.0,46596.0,42806.0,45435.0,40518.0,41953.0,45712.0,53990.0,50707.0,50591.0,57258.0,53794.0,66781.0,60567.0,68840.0,68157.0,72651.0
47125,45737.0,47864.0,49016.0,47136.0,46611.0,46703.0,47154.0,47850.0,51017.0,50941.0,48659.0,56112.0,58381.0,56019.0,56948.0,60878.0,63331.0,67264.0,75361.0
47141,30864.0,35139.0,35081.0,35445.0,30983.0,32983.0,32874.0,31563.0,31448.0,35516.0,40623.0,37437.0,39647.0,45199.0,49282.0,45160.0,52278.0,54373.0,56368.0
47149,47372.0,47254.0,50364.0,54012.0,53859.0,51489.0,52249.0,53132.0,57174.0,52502.0,60043.0,61157.0,68514.0,63739.0,69397.0,68718.0,78201.0,76857.0,81628.0
47155,37598.0,39555.0,39552.0,39765.0,42099.0,40402.0,42066.0,43292.0,40715.0,39175.0,42107.0,45609.0,49963.0,47411.0,57741.0,51734.0,50239.0,59315.0,59665.0
47157,40839.0,41175.0,44282.0,45714.0,41807.0,43990.0,44391.0,44694.0,45226.0,43938.0,47083.0,47690.0,49647.0,47500.0,52614.0,52092.0,54841.0,61516.0,62413.0
47163,34555.0,36289.0,38931.0,41296.0,36911.0,34590.0,39541.0,37890.0,40148.0,38251.0,42012.0,42859.0,44909.0,44652.0,51860.0,47438.0,48063.0,53585.0,56481.0
47165,51890.0,53306.0,50688.0,55167.0,54090.0,47110.0,52115.0,55105.0,55917.0,58316.0,59753.0,60503.0,65014.0,65948.0,68743.0,69878.0,70092.0,88764.0,86081.0
