StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
45015,44833,48726,49048,48320,49808,49427,49553,49500,50475,52427,56548,59153,57147,62994,69398,65443,75004,80185,83372
45019,43213,43857,47901,50671,46473,46324,50510,48593,51694,53308,57079,56827,60555,63459,71531,67182,72147,80401,89083
45031,34253,37503,41397,38703,34529,32385,39125,32922,31674,34651,33922,36841,37465,33521,44606,37141,40704,44317,47419
45035,50128,50332,53915,62003,52138,50908,50266,53637,54582,56277,54521,57637,64148,66438,68200,63501,70009,73791,78137
45041,37066,38185,40436,40995,40448,38872,40232,41251,41331,43148,40883,46524,42929,48790,50082,49645,51860,49527,54014
45045,42449,41850,47768,47848,45662,45185,48586,46654,49330,49268,51908,55342,55914,61183,64412,62422,68540,71728,76334
45047,35381,38793,41314,39225,41975,30808,35678,35923,34029,37831,43218,38200,40453,42245,42148,41081,52636,47052,56420
45051,38789,40816,43184,42327,41321,41568,38775,40353,42075,43001,47541,45621,45680,49047,53694,51570,55819,61063,68988
45059,34751,34791,34117,42224,37351,36265,35178,34906,35406,37638,39474,44038,40377,41452,47218,44374,56624,54334,56394
45063,46073,50103,50837,52209,52256,51594,50661,52314,53990,53980,55227,57382,60181,60154,61631,62740,64800,72801,76447
45073,38251,39679,40197,41171,36587,42848,41153,37383,40565,35159,43266,43743,50192,47132,48204,49691,50393,55195,67124
45075,30195,29700,31877,30177,34199,31979,31031,34185,31230,28680,38596,32450,35947,36536,37701,36802,34685,40016,51863
45077,41162,40733,42253,40806,39801,39280,39348,39052,41800,40136,42449,45779,47520,47148,52190,51032,48489,53022,57110
45079,43463,45370,47978,50005,45651,45925,44969,47940,47491,50028,51301,52030,51946,52159,52293,54441,56439,60442,61079
45083,37347,39694,40923,45185,39691,41850,40167,40879,42103,43688,45125,47371,50985,53581,55339,53757,60472,57755,63899
45085,33696,35461,39030,37648,37689,36457,42009,39667,39780,36633,41169,40614,45585,45994,51025,46570,46003,57775,55982
45091,46680,45739,54397,51190,50133,50797,49406,50817,54439,52565,56359,60767,62217,64319,66949,68555,72772,83613,81356
46099,45196,49810,48859,55597,47584,49243,51365,48338,52117,54829,54918,60038,61083,58742,61968,63699,72748,74253,71326
46103,42220,43508,43585,46442,47323,45704,48981,49546,48906,47838,52611,50950,54836,59006,58085,58278,64057,65801,74893
47001,36020,41652,40117,45015,44294,48310,40756,38421,40907,47821,42744,46055,48109,50616,49044,52338,60364,67746,57652
47009,42551,42909,47722,47215,45516,40846,45858,46095,44351,46819,49134,51183,50675,58809,59276,60301,62102,69756,78504
47011,40148,37185,38793,39948,39347,36978,37149,38505,42722,42563,42922,44853,48857,50560,52468,51872,56139,63659,61107
47037,40652,41994,46359,46153,46343,43616,43556,44567,47150,47993,52026,54855,58490,60856,63938,62515,65348,72473,80379
47059,32071,34291,33946,35062,33601,35196,31873,34536,35981,36694,34768,41109,37920,47383,44722,43150,56488,48918,54261
47065,40593,41855,45491,47779,42787,43935,41769,47667,47415,48379,48580,47898,51302,57280,57502,56606,66096,76219,73611
47093,42052,44184,44961,45673,45358,43610,44580,46196,49165,46860,52229,52102,55266,55632,60283,59250,64894,69999,70265
47113,39619,35216,39355,43164,38579,40438,38743,43161,39523,42412,47801,41791,45013,45360,49820,48396,53720,55666,58702
47119,40992,44769,45354,46596,42806,45435,40518,41953,45712,53990,50707,50591,57258,53794,66781,60567,68840,68157,72651
47125,45737,47864,49016,47136,46611,46703,47154,47850,51017,50941,48659,56112,58381,56019,56948,60878,63331,67264,75361
47141,30864,35139,35081,35445,30983,32983,32874,31563,31448,35516,40623,37437,39647,45199,49282,45160,52278,54373,56368
47149,47372,47254,50364,54012,53859,51489,52249,53132,57174,52502,60043,61157,68514,63739,69397,68718,78201,76857,81628
47155,37598,39555,39552,39765,42099,40402,42066,43292,40715,39175,42107,45609,49963,47411,57741,51734,50239,59315,59665
47157,40839,41175,44282,45714,41807,43990,44391,44694,45226,43938,47083,47690,49647,47500,52614,52092,54841,61516,62413
47163,34555,36289,38931,41296,36911,34590,39541,37890,40148,38251,42012,42859,44909,44652,51860,47438,48063,53585,56481
47165,51890,53306,50688,55167,54090,47110,52115,55105,55917,58316,59753,60503,65014,65948,68743,69878,70092,88764,86081
47179,39348,36551,39930,43021,39362,42213,41564,42448,41349,42950,45484,46276,40697,48765,51428,48923,56009,64899,60729
47187,78369,81449,81954,93321,85403,80533,86962,90759,88759,93337,102881,106054,105622,110700,115507,111196,117927,129275,133990
47189,56138,60278,59831,57713,61082,55343,59987,56485,56278,59685,64476,71153,69959,76756,80071,78962,80960,87003,96171
48005,37236,40670,36464,33796,37931,37775,39007,39489,42750,42156,49768,41161,45326,47519,53320,49684,50045,58180,56864
48021,46097,53157,51823,50492,48185,49880,55599,49364,48652,53631,63129,56508,72107,69067,57938,71820,80423,72663,76522
48027,42019,43231,48081,49967,45966,50175,45309,49091,50656,51221,48908,52275,52479,54495,54560,54987,58542,62137,69890
48029,42113,42860,44578,45775,45383,47921,46704,49874,49769,50760,52286,53210,54175,54149,58964,58288,63057,65854,69807
48037,32626,39430,43667,38420,40860,43760,45035,38924,41142,40493,40662,45997,50573,47134,51802,51796,54154,49771,53212
48039,49690,56774,60864,64076,67644,64633,61924,65024,66250,74799,71251,74799,82229,73623,84904,83325,82460,86083,93680
48041,30010,35899,37783,37634,32984,35407,33817,39898,37913,40973,44270,41559,45155,50110,55121,50289,49362,60393,53123
48061,24684,27672,29347,30622,30864,31736,32070,30953,34374,32093,34074,37061,36975,38378,41123,41200,48115,50649,52210
48085,70784,74051,79657,81395,77585,77090,82237,81364,80273,86040,86217,89638,94933,96051,96134,100541,101494,113305,119155
48091,55712,60511,58670,61612,66560,62735,59234,56203,72759,62389,67363,77425,71060,76203,89315,80781,93829,91171,99193
48099,41377,41783,45480,49779,41228,48794,49808,47139,51217,47042,45998,51125,52769,46131,53504,54712,62737,65846,75559
48113,42598,44815,46372,47085,45986,46860,47326,47301,47810,50076,51799,54399,56718,59839,61796,61870,63494,70852,74350
48121,61520,66792,71109,73544,70510,67892,69644,71053,74981,74196,75649,80613,86291,88117,90523,90354,97671,102428,106695
48135,35978,40348,46575,50241,44097,42282,49967,51946,55710,58701,65454,53254,55380,64165,67205,63096,57473,68071,66608
48139,50585,54370,54330,65574,57777,58063,61570,57097,57880,60294,68095,70210,72138,77794,78797,79834,89799,89856,89488
48141,30968,32111,34980,36485,36146,36015,39573,40345,39945,40170,43692,42165,44489,43958,48903,48292,51044,53424,58971
48157,70229,75202,77082,84782,80623,76269,82271,86256,88023,87973,95389,90680,90845,91931,101293,100189,96468,105205,105441
48167,44729,52993,52277,59230,56563,58324,59020,60551,60869,57991,69190,64939,70494,73840,74977,74633,78336,75565,83514
48181,38877,43328,44802,45882,43261,45577,44574,47475,44378,52058,48126,52095,56718,51158,57476,58296,62919,66106,69019
48183,36264,39263,39660,46054,42634,40348,42572,42153,45461,50917,47727,44219,47095,51361,53793,52027,59869,61496,61569
48187,49198,53285,52192,64737,58171,59801,57326,63608,58270,61538,64343,68157,66486,74459,79768,75774,80464,87030,95953
48201,44002,47129,49936,52377,50567,50422,50928,51289,52489,54178,56629,56377,58645,60232,61618,63022,63498,68706,72336
48209,43207,52703,55026,56159,51959,57332,55160,52615,58987,59085,58870,64658,65667,65943,72058,68724,76842,88617,87296
48213,32906,34041,39619,42139,42289,36570,38278,37077,38493,41112,47906,44088,44971,42020,51521,49469,49830,65283,59391
48215,24501,28660,30295,30235,30460,33732,31077,33761,35098,34801,35730,36176,37106,39165,41800,41846,44818,49142,53661
48231,42129,36461,43163,46189,41267,40218,50272,42376,44303,42038,46048,53962,55786,55248,58063,57467,56761,69253,71045
48245,35953,38584,39182,44984,41075,38553,41256,40795,41838,40652,48005,45390,47657,47177,55797,50840,56904,54797,59725
