StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01003,59.9,62.9,60.9,62.2,60.5,59.3,64.7,58.4,58.3,60.6,57.4,60.2,57.4,58.6,55.2,58.4,58.5,59.1,57.8
01015,57.6,55.8,56.3,58.4,56.9,55.9,52.1,51.7,50.6,54.7,47.4,49.4,53.8,55.7,52.7,53.8,48.8,44.7,50.5
01043,57.8,56.8,56.2,62.4,58.4,57.8,59,56.8,60.3,56.7,50.4,52.8,53,46.6,49,49.5,50.5,49.7,53.8
01049,47.6,48.2,47.4,48.1,50.8,54.6,54.8,49.8,49.4,48.7,43,44,46.6,42.1,48.8,45.1,41.1,42.7,34.1
01051,69.4,73.1,67.9,67.1,69.7,70.6,70.3,64.4,68.8,65.7,61.1,68.3,65.1,62.7,55.7,61.9,58.7,60.2,55.9
01055,53.7,55.1,54.1,52.2,55.8,55.6,54.3,55.6,51,50.9,50.1,55.1,46.3,49.7,48.2,49.7,40.2,48.2,50.7
01069,64.7,64,61.7,60.3,60.3,60.5,60,59.6,60.1,56.1,59.4,55.8,59.8,58.5,58.3,58.4,52.5,59.2,59
01073,68,67.8,68.5,68.1,68.1,68,67.1,63.5,64.2,63.3,65.7,61.1,63.8,61.6,63.1,61.9,57.5,60.7,58.8
01077,60.3,57.3,58.6,62.7,54.7,57.5,57.4,53.3,55,53.5,51.9,55.4,53.9,49.1,48.6,49.7,42.2,55.9,52
01081,66.4,70.6,65.2,66.5,61.7,62.7,67.8,63.6,66.1,58.5,66.6,59.8,60.3,63,64.8,61.6,63,61.2,60.6
01083,65.5,63.9,67,64.3,62.9,66,66.3,63.8,63.4,57.8,59.8,60.9,63.6,58.6,55.8,61.8,58.3,58.8,62.8
01089,71.8,72.6,70.8,71,69.9,70.7,70.5,69.8,68.4,67.8,67.2,67.8,66,67.6,65.2,66.3,63.7,64.6,64
01095,58.5,57.4,56,53.6,58.8,59.5,53,53.4,59,51.1,56.9,49.7,54.6,55,50.6,54.1,47.9,49.9,51.2
01097,67.1,64.8,62.4,64.2,63.6,65.8,61.7,63.4,60.6,62.5,59.7,60.4,61,56.3,60.4,59.3,60.5,59.3,54
01101,68.2,72.3,72.5,69.4,70.7,72.1,69.4,68.4,68.7,68.7,65.8,66.7,63.2,61.9,65.2,65.4,61.5,62.9,62
01103,59.5,61,63.5,63.5,61.8,61.9,58.6,57.2,57.5,56,57.5,58.1,56.1,51.1,60.6,52.3,51.9,55.5,55.8
01115,68.1,57.3,64.2,61.8,62.1,64.5,58.6,61.6,59.6,55.8,57.9,61.4,60.3,60.3,59,60.1,58.4,57.2,61.4
01117,74.4,76.5,77.9,77.3,78,76.9,73.5,71.8,72.1,71.8,69.6,69.9,70.9,67,68.2,68.6,68.4,68.1,66.2
01121,52.8,58,55.4,52.1,48.4,47.8,52.8,52,51.8,52.2,49,48.9,48.6,50.1,48.5,49.9,47.6,48.3,48.4
01125,59.6,66,64.4,61.6,64.4,66.7,67.8,64.2,65,63.1,66.3,61.2,63.2,64.4,61.9,63.8,63.4,63.5,60.6
01127,46.9,50,47.4,50.3,47.2,43.5,44.4,40.7,41.4,42.5,42.6,43,41.6,41.5,40.8,44.1,41.6,42,42.8
02020,78.2,78.1,79.7,78.6,75,79.1,74.9,72.8,71,73.8,70.4,69.6,72,68.7,67,69,71.1,70.7,66.9
02090,73.7,73,71.9,67.9,72,65.6,69.2,63.4,65.2,69.8,69.6,69.8,72.6,61.7,72.9,64.3,61.3,57.8,57.5
02170,73.7,71.8,76.8,76.4,72.5,72.7,66,70.8,67.9,68.9,72.2,73.6,66.9,65.8,66.9,68.2,66.9,66,62
04003,60.6,64.9,66.3,63.7,61.9,61.9,56.9,54.8,58.1,62.2,55.6,53,55.2,54.3,51.1,52.9,55.2,47.7,46.9
04005,63.6,66,67,65.9,57.1,65.5,61,58.5,52,58.2,52.6,59.1,53.7,49.2,49.4,52.6,51.7,48.8,52.1
04013,77.1,77.3,77,76.3,76.8,75,75,71.9,70,69.4,69.3,69.4,69,68.6,67.1,68.4,68.5,66.7,66
04015,60.8,59.2,61.9,59.8,57,61.1,56,52.1,54.2,50.5,53.1,55.5,52.6,58.3,55,54.7,50.4,51.4,51.2
04017,46.4,40.5,41.6,48.7,50.2,49,41,38.9,37,38.8,37,36.7,43.9,34.7,39.7,36.6,32.5,37.7,39.3
04019,69.2,67.9,68,69.1,68,68.3,66.4,64.9,61.9,62.6,62.6,61.4,63.5,60.1,61,61.3,59.3,59.3,58.6
04021,60,67.5,64.7,68.8,66.3,67.7,63.8,63.7,61.6,60.8,59.8,60.2,60.9,61.2,62.1,61.1,63,62,61.8
04025,62.8,61.4,58.4,62.6,61.9,58.6,59.2,53.8,57,56.8,59.1,56.5,60.5,52.7,52.1,55.4,57.2,53.7,52.8
04027,51.9,53.7,57.4,52.1,52.4,61.9,55.7,57.8,57.5,58.1,59.7,55.6,57.5,56.4,58.8,54.8,56.2,57.2,52
05007,72.7,67.6,71,74.1,73.9,71.9,68.4,69.9,69.1,66.4,68.6,69.8,68.9,65.7,67.2,66.7,66.7,67.5,62.6
05031,62.9,62.4,64,66,62.8,61.8,63.4,67.5,63.5,67.1,61.5,56,61.9,59.4,58.5,59.2,59.4,57.8,61.6
05045,72.2,65.5,67.6,67.6,72.6,68.2,71.3,71.2,67.5,65.8,65.1,65.3,65.1,61.9,62.4,65.1,59.3,58.3,64.8
05051,52.6,57.4,52.7,56.2,55.3,56.1,52.3,60.6,56.9,49.7,52.7,54.6,54.7,54.8,50.5,53.6,53,46.6,49.5
05069,56.5,61.2,58.3,53.5,56.6,57.3,51,52.9,54.3,55.4,53.9,47.1,52.8,41,49.4,48.2,48.1,46.7,48.8
05119,69.7,69.7,69.1,67,67,66.5,68.8,65.7,65,65.3,63,64.1,65.2,63.2,62.1,63.3,64,62,60.6
05125,62.1,62.6,63.8,58.3,63.2,67,71.1,62.2,60.5,62.2,61.5,59.7,62.2,62.2,60.1,61.3,62.2,55.4,63.6
05131,65.2,61.1,64.4,60.6,61.8,60.8,63.3,65.4,60.3,52.7,61.8,56.1,59.3,50.4,53.6,55.1,51.6,55.5,56.5
05143,65.1,66.5,68.2,69.5,67.7,69.3,68.1,67.1,67.2,66.4,63.8,65.2,63.4,60.2,63.4,62.3,61.5,61.3,60.8
05145,58.9,53.8,58.1,56.8,56.9,53.1,59.8,57,56.3,55.7,46.7,55.6,55.3,57.1,50.9,54.7,49.6,52.9,51.9
06001,78.2,78.3,77.4,78.4,77.8,76.9,76.9,75.6,75.5,73.9,73.6,73.9,73.9,72.9,71.9,72.6,68.6,70.4,69.9
06007,64.5,63.8,64.2,65,64.4,64.3,65.4,64.7,62.6,59.6,61.9,59.2,58.9,58.9,60.2,59.7,56.1,61.9,58.1
06013,79.2,80,79.5,78.2,77.8,78.4,77.3,77.3,73.6,74.6,74,73.9,74.8,73.6,72,73.1,72.1,71.5,70.1
06017,74.4,78,79.5,73.4,74.7,75.3,73.9,71.9,69.8,71.8,72.8,72.3,67.9,68.2,64.2,67.9,68.2,69.1,71.1
06019,73.3,74.9,73.7,76,74.6,73.9,73.6,72.4,71.1,70.1,70.7,69.8,69.6,69.7,71.3,69.4,65.3,66,64.7
06023,59.8,59.8,55.7,64.8,59.9,63.3,60.1,65.8,59.5,54.7,55.9,60.4,58.7,53.1,56,56.9,57.2,50.6,53.3
06025,66.2,70.6,68.5,64.3,68,68.1,71.2,63.7,62.1,70.1,70,64.5,63.2,61.7,64.6,62,61.5,59.1,61.8
06029,72.9,75.9,76.5,74.8,74.9,72.3,72.2,71.8,69.9,70.9,71.1,70,68.5,69.2,68.1,67.9,67.1,66.5,65.9
06031,69.8,74.5,78.2,74.1,75.3,72.4,74.3,72,69.6,69.9,69.7,67.4,74.2,68.1,66,69,66.2,64.7,71
06033,59.8,58.8,56.4,64,63.8,64.2,58.5,61.3,61.1,41.4,54.2,49,52.2,54.4,53.6,54.8,52.6,47,54.3
06037,77.3,77.9,77,77,77.6,77,76,75.7,74.2,73.3,72.8,72.5,71.8,70.7,70.2,70.4,68.9,67.7,68.5
06039,70.3,72.1,70.9,72.7,71.4,74.9,66.4,68,66.7,64.9,65.4,67.7,67.1,65.5,68.3,66.7,63.1,66.4,61.5
