StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1003,160354,169162,171769,174439,179878,183195,186717,190790,195540,200111,203709,208563,212628,218022,223234,218289,239294,246435,253507
1015,109762,112903,113103,113419,114081,118510,117797,117296,116736,115916,115620,114611,114728,114277,113605,114324,115972,115788,116429
1043,78888,80187,80554,81324,81778,80459,80536,80440,80811,81289,82005,82471,82755,83442,83768,83345,89496,90665,92016
1049,66407,68014,68016,68515,69380,71151,71375,71080,71013,71065,71130,70900,71617,71385,71513,71430,71813,71998,72569
1051,68057,75688,77525,78106,79233,79549,80162,80629,80902,80977,81468,81799,81677,81887,81209,81526,89304,89563,90441
1055,101151,103362,103217,103303,103645,104462,104303,104392,103931,103531,103057,102564,102755,102501,102268,102721,103162,103088,103241
1069,93101,95660,97171,98488,100085,101888,102369,103402,103668,104193,104173,104056,104346,104722,105882,105319,107458,108079,108462
1073,641690,656700,658779,659503,665027,658555,658931,660009,659479,660793,660367,659521,659197,659300,658573,658615,667820,665409,662895
1077,85898,87891,88561,89128,89599,92679,92781,92542,92797,93096,92596,92318,92538,92387,92729,92870,94043,95878,96814
1081,118664,125781,130516,133010,135883,140780,143468,147257,150933,154255,156993,158991,161604,163941,164542,163461,177218,180773,183215
1083,67771,72446,73898,76135,78572,83193,85369,87654,88845,90787,91663,92753,94402,96174,98915,96921,107517,110900,114654
1089,290875,304307,312734,319510,327744,335988,340111,343080,346892,350299,353089,356967,361046,366519,372909,367686,395211,403565,412600
1095,84662,87185,87644,88484,90399,93235,94166,94776,94760,94636,94725,95157,95548,96109,96774,96137,98228,99423,100756
1097,393585,404157,404406,406309,411721,413277,412577,413936,414079,415123,415395,414836,413955,413757,413210,413977,413073,411411,411640
1101,209374,223571,225791,224810,224119,229844,232032,230149,226659,226189,226519,226349,226646,225763,226486,226451,227434,226361,224980
1103,112005,115237,115050,115959,117293,119626,119953,120395,119787,119607,119565,119012,118818,119089,119679,119352,123668,124211,125133
1115,72100,65096,76609,79577,81895,83761,84398,85237,86308,86697,87074,88019,88199,88690,89512,88929,92748,93932,95552
1117,169822,178182,182113,187784,192503,195828,197936,200941,204180,206655,208713,210622,213605,215707,217702,216350,226902,230115,233000
1121,76962,80271,80255,80279,80242,82110,81664,81762,81096,81322,80862,80103,80065,79828,79978,80244,81524,80704,81132
1125,160947,171159,177906,179448,184035,195036,197211,198596,200821,202212,203976,206102,207811,208911,209355,208854,227007,236780,237373
1127,69096,70034,68816,68970,68742,66947,66661,66221,65998,65471,65294,64967,64058,63711,63521,63802,65194,64978,64886
2020,266281,278700,279671,279243,286174,293227,295570,298610,300950,301010,298695,298192,294356,291538,288000,292090,288121,287145,286075
2090,83656,86754,97484,97970,98660,98314,99192,100272,100436,99357,99631,100605,99703,98971,96849,98455,95593,95356,94840
2170,75001,80480,82669,85458,88379,89737,91946,93925,95192,97882,101095,104365,106532,107610,108317,107360,110686,113325,115239
4001,68070,71118,69980,70207,70591,71676,72401,73195,71934,71828,71474,73112,71606,71818,71887,71714,65623,65432,65036
4003,120439,127757,127866,129006,129518,131789,133289,132088,129473,127448,126427,125770,124756,126770,125922,126442,126050,125663,124640
4005,120776,124953,127450,128558,129849,134651,134511,136011,136539,137682,139097,140908,140776,142854,143476,142254,145052,144060,144472
4013,3590804,3768123,3880181,3954598,4023132,3827371,3880244,3942169,4009412,4087191,4167947,4242997,4307033,4410824,4485414,4412779,4496588,4551524,4585871
4015,185969,193035,194944,196281,194825,200181,202351,203334,203030,203361,204737,205249,207200,209550,212181,210998,217692,220816,223682
4017,106192,111399,111273,112757,112975,107551,107398,107094,107322,108101,108277,110026,108956,110445,110924,110271,108147,108650,109175
4019,902720,946362,967089,1012018,1020200,982154,989569,992394,996554,1004516,1010025,1016206,1022769,1039073,1047279,1038476,1052030,1057597,1063162
4021,214319,271059,299246,327301,340962,383842,382992,387365,389350,401918,406584,418540,430237,447138,462789,447559,449557,464154,484239
4025,194928,208014,212635,215503,215686,211061,211888,212637,215133,218844,222255,225562,228168,231993,235099,232396,242253,246191,249081
4027,175793,187555,190557,194322,196972,196509,200870,200022,201201,203247,204275,205631,207534,212128,213787,211931,206990,207842,213221
5007,184692,196045,203107,209791,225504,222894,227556,232268,237297,242321,249672,258291,266300,272608,279141,273510,293692,302863,311013
5031,84288,88244,91552,92640,95457,96771,98315,99735,101488,102518,104354,105835,107115,108558,110332,109081,112218,113017,113993
5045,91784,100685,104865,106823,109386,113980,116342,118704,119580,120768,121552,122227,123654,124806,126007,124800,125106,127665,129951
5051,91690,95164,96371,97465,98479,96145,97124,96903,97173,97322,97177,97477,98658,99154,99386,99043,100330,100089,99784
5069,76258,80655,78986,78373,78705,77358,76246,74723,73191,72297,71565,70016,69115,68114,66824,68123,65861,64246,63661
5119,358234,367319,373911,376797,381904,383632,386299,388953,391284,392702,392664,393250,393956,392680,391911,393078,397821,399145,400009
