StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
34029,0.1,3.3,3.3,3.3,3.9,4.6,4.3,5.7,3.8,5,4.7,4.7,5.2,5.7,5.1,6.3,14.1,12.4,12.5
34031,0.1,2.1,2.6,2.1,2.4,2,2.3,2.2,3.1,3.7,2.7,2.8,3.5,3.3,3.9,5.1,14.5,11.2,10.7
34035,0.1,3.3,4.1,4.1,4.9,4.1,5.6,5.6,5.8,5.7,6.1,6,6.2,5.6,6.6,9.6,31.3,24.2,19
34039,0,2.7,2.6,2.9,3.1,2.7,3.3,3.5,4.2,3.2,4,3.9,3.2,4.2,4.3,6.5,18.3,13.8,12
35001,0.4,3.2,3.8,4.2,4.4,4.3,4.3,4,3.6,4,4.8,4.5,5.4,5.2,4.1,6.6,18.7,14.5,12.4
35049,0,9.7,9.8,8,8.5,8.2,10.9,6.8,8,7.4,8,8.8,6.8,9.7,8.9,10.1,24.3,19,16.6
36005,0,3.1,2.5,2.9,3.1,2.8,3.6,3,3.1,3.5,3,3.2,2.8,3.3,2.6,4.4,11.9,7.8,8
36027,0.1,3.9,4.7,4.5,4.8,5.3,6.2,6,5.1,5.8,5.3,6.3,5.3,6.4,7.6,7.8,17.7,15.6,14.2
36029,0.2,2.5,2.4,3,2.4,2.3,2.3,2.3,2.7,2.9,2.5,3,3,3.7,3.4,5.4,15.1,13.5,11
36047,0,3.3,3.5,3.6,4.1,4.7,3.7,3.9,4.1,3.8,4,4.7,4.5,4.6,4.8,7.8,28.1,18.8,15.6
36055,0.1,2.7,3,3.2,3.3,3.4,3.5,3.1,3.3,3.4,3.8,4,4.2,4.5,4.6,7,16.7,15.2,13.5
36059,0,3.1,3.4,3.7,3.1,3.5,3.7,3.4,3.4,3.9,3.6,4.4,3.7,4.3,5,7.1,20,14.2,12.6
36061,0.1,6.7,6.7,6.6,6.1,6.6,6.4,7.4,6.7,6.1,6.9,7,6.9,7.4,7.6,11.9,36.4,24.5,18.3
36067,0,2.7,3.3,2.3,3.2,3.1,3.8,3.3,3.7,3.6,3.2,4.1,5.5,4.6,4.8,6.3,14.5,13.1,11.6
36071,0,5.2,5.1,4.4,5,5.3,5.3,4.5,5,4.7,5.9,5.3,4.8,5.2,5.8,6.7,15.8,11.9,11.5
36081,0,2.8,2.5,2.5,2.3,2.5,2.3,2.3,2.8,2.4,2.3,2.6,2.8,2.9,3.2,5.3,17.6,11.7,10.4
36085,0,3,1.9,2.7,1.8,2.2,2.3,1.9,2.4,2.6,2.3,2.8,2.3,2.9,3.4,4.4,16.7,10.2,9.1
36087,0,4.9,3.4,4.3,4.6,4.2,4.6,3.7,4.4,5,5.2,5.5,4.5,5.1,6.2,7,16.3,15.3,13
36103,0,3.1,3.5,3.6,3.3,3.5,3.6,3.9,3.6,3.5,3,3.8,4.2,3.9,3.8,5.4,15.3,12.6,10.3
36111,0,7,5.4,6.6,7.7,8,5.9,6.8,6.4,5.5,5.9,7.5,6.4,9.4,9.7,9.5,20.4,18.2,15.8
36119,0,5,4.6,4.9,5.3,4.6,4.4,5,5,5.1,5.2,5.3,5.5,5.3,5.6,8.8,27.4,17.9,15.1
37081,0,2.7,3.9,3.3,4.1,3,4.2,4.6,5.2,4.4,5.8,5.7,5.8,5.1,5.6,6.7,16.7,14,13.5
37119,0,4.3,4.3,5.5,5.9,5.2,6.1,6.8,6.2,5.6,6,7.4,8.1,8.5,10.4,11.8,34.4,30.3,28.9
37183,0.1,5.3,6,5.7,6.6,6.2,7.3,6.7,6.4,7.4,8.9,8.4,9.6,9.9,11,13.2,35.1,28.8,27.3
39035,0,2.6,3.1,2.9,3.3,3.7,3.1,3.4,3.7,3.8,3.7,4.6,4.1,4.5,4.7,6.9,17.2,16,13.7
