StateCode,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6037,2207.481866,2224.09549,2246.831898,2264.631821,2284.810745,2297.721021,2315.449463,2327.526141,2343.758275,2351.03306,2360.121199,2368.865956,2382.136379,2399.413334,2418.796925,2434.302359,2450.079641,2463.023055,2479.204549,2488.866995,2495.851766,2498.208499,2499.855425,2506.306788,2525.381508,2546.589609,2572.15454,2588.143736,2607.224511,2619.334285,2633.87099,2640.720936,2647.605965,2650.771889,2657.869763,2664.520089,2678.026793,2695.077659,2710.058526,2722.995845,2733.567684,2750.282529,2765.255275,2779.116748,2784.712391,2789.29443,2795.28409,2802.328336,2810.635888,2815.826965,2832.944438,2847.704263,2865.115634,2876.615108,2887.304031,2895.610845,2899.826856,2902.252689,2903.776463,2907.60937,2913.928611,2919.267898,2919.54515,2908.858668,2898.754214,2893.186421,2895.565045,2894.351623,2887.549635,2881.561255,2878.543693,2875.528119,2880.943568,2888.078775,2901.764913,2914.91011,2938.14427,2977.278999,3025.674473,3080.248995,3122.085366,3150.192221,3165.522081,3187.460068,3211.355458,3244.843351,3274.110894,3308.144514,3336.450279,3363.003414,3389.153945,3410.83329,3424.325359,3420.952853,3413.988324,3407.6237,3411.282363,3420.557158,3438.461175,3452.035455,3462.058738,3468.36465,3475.786621,3484.819888,3485.530148,3483.667439,3471.789708,3464.510144,3467.988866,3480.135786,3501.465063,3517.299371,3536.355941,3549.501819,3565.058414,3570.774089,3578.138591,3575.147514,3572.873231,3564.214525,3597.09147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17031,1788.558211,1799.286774,1812.900861,1824.286383,1838.08084,1851.290818,1858.344748,1862.172334,1855.601188,1845.453018,1834.270498,1833.131705,1844.455945,1859.3303,1874.84559,1884.736228,1894.25663,1905.716961,1914.390628,1920.431759,1911.533171,1897.300828,1879.409544,1871.034109,1879.138799,1899.084595,1923.759265,1941.383858,1955.553516,1963.424036,1965.873974,1959.568855,1950.116051,1933.749338,1921.918868,1918.436761,1930.277811,1947.977283,1964.596423,1978.267299,1990.888696,2002.84091,2009.715074,2006.889063,1991.904429,1975.169518,1963.194683,1963.473943,1975.004605,1989.540036,2011.140993,2027.947556,2044.106515,2053.065859,2057.709463,2058.611735,2052.159409,2043.179606,2031.524484,2024.710205,2035.065314,2051.119109,2069.482985,2070.664409,2068.343339,2064.183514,2060.955919,2050.247701,2026.851963,1993.07103,1963.447703,1951.250643,1953.525464,1970.388043,1993.912113,2029.34866,2065.000551,2097.515551,2120.422276,2134.489569,2139.711543,2137.022176,2134.03352,2139.905324,2158.257009,2180.287345,2207.872063,2237.461258,2271.146823,2296.910978,2317.574094,2326.238868,2324.611501,2317.913209,2311.186475,2313.431058,2323.487184,2342.55337,2365.773803,2390.514029,2418.131658,2442.131199,2456.401955,2462.461468,2454.677181,2439.806315,2425.299101,2427.288078,2440.878934,2463.877663,2485.171319,2514.54549,2538.473721,2560.165511,2568.540754,2568.190955,2561.302743,2556.168314,2557.673851,2563.853284,2575.276898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48201,1492.645069,1496.297253,1503.939788,1516.704045,1529.148483,1539.595926,1540.690215,1543.026735,1540.902526,1537.9247,1533.218409,1530.244981,1531.862291,1535.028819,1543.097806,1549.33022,1552.617224,1552.936898,1552.108243,1549.251898,1543.386425,1539.646589,1533.694926,1530.413879,1530.37011,1540.105123,1550.974319,1556.22489,1564.885553,1566.093091,1567.336849,1561.147626,1569.832325,1580.42188,1595.734704,1604.925358,1608.289719,1614.515001,1614.889564,1624.812224,1628.190436,1634.838193,1633.858456,1631.707573,1626.607354,1627.675961,1630.193415,1630.806869,1630.61013,1627.518875,1635.069694,1641.606448,1654.362398,1662.912285,1668.20922,1667.781584,1663.40932,1661.94655,1660.424199,1664.520479,1668.013125,1676.480299,1684.090258,1680.290178,1672.486081,1664.555381,1669.492178,1674.143729,1674.151195,1675.248415,1676.009291,1676.053846,1678.064076,1680.215236,1689.537876,1705.206194,1730.274529,1764.519993,1794.451693,1822.45572,1838.57346,1848.354291,1854.008381,1857.667168,1865.604475,1877.288639,1890.40257,1904.27071,1917.960553,1936.621764,1952.44297,1961.211898,1958.399921,1951.009051,1943.175234,1941.068246,1947.31936,1956.866834,1971.289803,1977.401768,1988.674703,1997.351363,2005.490739,2007.175483,2002.411579,1995.67268,1988.951105,1987.495433,1993.007163,2001.178005,2007.195418,2016.567729,2028.096906,2039.778824,2045.275279,2048.655153,2050.541955,2049.764786,2044.012275,2038.44398,2038.037908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4013,1163.757862,1182.870901,1191.927925,1208.724661,1208.7819,1218.654339,1218.33991,1220.215851,1223.881011,1227.711582,1232.108246,1234.131607,1240.729646,1247.602954,1256.586543,1265.314813,1274.619985,1283.129156,1288.215678,1290.649949,1292.341203,1291.852861,1293.795756,1294.815719,1303.156296,1313.487423,1328.301733,1340.124193,1352.091943,1359.718691,1366.21543,1368.990054,1372.118398,1374.730959,1378.868656,1381.530646,1387.025539,1394.163026,1409.803564,1426.869406,1441.288353,1451.670304,1460.069111,1467.683033,1474.91586,1479.75978,1486.481335,1493.158009,1498.646529,1509.42761,1522.219176,1541.490106,1555.999854,1568.950161,1578.612746,1587.932963,1593.963441,1598.453211,1604.81047,1615.447454,1627.993314,1640.943508,1647.756893,1646.948488,1645.504173,1649.727401,1666.636105,1686.515106,1706.373584,1723.768513,1740.21435,1754.03754,1769.36253,1785.726083,1812.435325,1847.944889,1898.08305,1956.0159,2017.794109,2071.455995,2111.79672,2138.978705,2155.055029,2167.114253,2178.538453,2192.391863,2209.77125,2224.489563,2236.352695,2245.540095,2252.843843,2253.475533,2243.560555,2229.296371,2216.14772,2209.066739,2204.792388,2211.166074,2229.247586,2240.48142,2247.012263,2244.374896,2249.317165,2248.486104,2244.301779,2234.886241,2223.61905,2214.700839,2215.590114,2226.903439,2241.516004,2255.277039,2264.135755,2266.277245,2267.724931,2267.224018,2266.137891,2253.836179,2241.846041,2231.971344,2234.987698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6073,2100.480931,2114.548048,2126.52046,2130.616554,2145.223916,2155.384695,2176.321693,2189.472471,2200.0839,2205.594991,2203.856475,2212.819329,2219.39708,2231.124538,2242.786743,2255.678876,2272.952391,2291.475726,2307.050081,2315.970213,2319.98952,2322.220024,2323.455351,2326.732305,2335.433873,2356.118083,2379.207658,2401.968539,2421.840536,2436.936941,2452.648566,2459.148979,2463.282811,2462.918713,2462.44195,2465.12811,2478.621404,2494.760911,2513.539636,2527.146364,2547.50637,2561.160556,2574.826288,2583.929859,2590.50642,2590.72444,2585.064385,2588.37084,2594.513123,2603.93855,2611.938244,2624.379361,2639.869275,2654.755858,2670.097689,2680.109683,2683.417969,2683.171094,2684.407626,2689.419409,2696.00225,2702.641944,2707.634609,2696.822785,2688.210638,2686.589303,2700.83341,2712.223798,2727.142213,2747.655936,2766.436055,2779.450709,2788.211035,2801.777741,2824.473999,2859.904304,2906.715363,2955.02068,3017.912886,3084.709991,3154.81957,3197.829589,3226.142909,3246.247031,3270.610146,3305.408188,3343.392473,3399.296925,3454.574205,3514.524945,3556.329553,3592.522176,3599.713823,3592.039346,3565.953836,3552.900133,3544.974259,3556.484424,3588.292561,3627.581921,3670.743866,3699.254161,3721.978036,3731.134611,3727.437779,3708.691246,3679.420943,3654.995769,3646.617471,3659.848603,3684.11617,3716.446311,3742.251076,3767.484164,3782.392505,3785.269501,3781.399541,3775.53339,3771.818221,3761.891769,3762.261103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6059,2386.524025,2400.499941,2413.178736,2430.52417,2443.58569,2460.568021,2473.756509,2490.044714,2493.616461,2499.689685,2495.297809,2501.004546,2507.546724,2519.552989,2526.982098,2534.591978,2553.326698,2575.623353,2591.030014,2593.288685,2596.77827,2593.498393,2600.54882,2593.89719,2607.616793,2623.101603,2652.254409,2672.977688,2684.088516,2695.017805,2701.693075,2708.535851,2711.84497,2708.444713,2712.172793,2714.070661,2727.54057,2734.654881,2750.082953,2760.16308,2769.365721,2777.254419,2784.008234,2786.296291,2787.874966,2790.238718,2797.272485,2800.577401,2803.729969,2810.216095,2821.761608,2831.188504,2845.001893,2855.651961,2868.516716,2872.265544,2874.868065,2876.563619,2884.05067,2884.96473,2895.364439,2902.32639,2909.750488,2889.937953,2869.282554,2856.639665,0,2875.42739,2893.835994,2911.498416,2923.309906,2932.996519,2949.755179,2974.375959,3002.01872,3027.263708,3062.925433,3120.884729,3211.902536,0,3416.27439,3470.176921,3499.715449,3515.412865,3537.413746,3560.074093,3595.874993,3637.273363,3676.70427,3712.475746,3738.891731,3751.510379,3746.508939,3731.671778,3713.702009,3694.480979,3681.237389,3681.49988,3695.917016,3714.325918,3734.688244,3760.16343,3801.072124,3837.383051,3852.151486,3849.610559,3831.752973,3829.819148,3827.57729,3839.705815,3842.476628,3855.988415,3873.458421,3899.792046,3922.088351,3937.459131,3944.381674,3947.859608,3942.10364,3930.760409,3938.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36047,2778.013936,2797.620413,2827.440506,2850.947939,2880.165229,2914.024698,2934.839368,2947.13551,2964.378466,2976.936343,2967.502821,2939.113089,2924.245868,2928.95571,2946.05662,2954.232908,2962.299119,2976.259575,2997.660884,3017.042203,3025.76652,3022.72583,3024.7221,3008.743215,2997.177665,2983.704358,2988.784659,3005.541051,3020.681876,3040.793506,3061.280135,3078.108553,3077.784718,3055.774115,3032.233591,3016.485386,3015.811395,3018.073619,3034.001598,3055.555385,3077.909086,3096.242799,3109.085709,3121.797626,3124.500471,3114.285559,3097.357006,3076.230068,3079.714088,3095.38782,3126.249608,3147.465648,3175.72536,3195.78178,3225.034519,3243.527698,3262.289605,3265.96341,3262.637215,3253.325575,3251.480361,3262.377671,3281.040035,3274.793744,3251.705875,3213.210463,3185.345299,3141.661351,3084.577131,3030.046356,2990.119786,2968.18534,2958.41626,2967.341955,2992.449301,3032.326261,3079.061463,3142.148643,3208.909206,3275.081979,3332.229844,3362.142409,3388.138343,3398.76657,3437.008544,3478.949291,3541.254851,3596.059299,3671.739243,3747.55438,3820.967835,3868.24765,3880.44745,3869.725665,3822.401833,3783.601024,3772.043863,3789.640614,3818.224864,3851.914639,3895.026639,3946.758018,3983.147229,4005.968658,4010.54058,3989.007854,3938.440869,3905.762626,3902.031713,3936.446106,3971.152924,4004.600948,4049.714699,4093.202065,4125.103595,4127.060884,4110.999714,4083.854551,4052.319773,4015.59722,4011.989978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12086,2034.173394,2047.689391,2062.66251,2074.920054,2087.912664,2097.416318,2107.43399,2115.620864,2125.58745,2127.736484,2135.696898,2141.781701,2150.656565,2154.865893,2158.827088,2158.502213,2158.009163,2154.463208,2154.987474,2150.81783,2150.854349,2147.666605,2145.303124,2139.433128,2145.817368,2153.444744,2166.063833,2167.51428,2171.002305,2171.983951,2173.58861,2177.147848,2180.972261,2185.995864,2185.173824,2185.935148,2188.881283,2195.566378,2202.039838,2208.801158,2213.273549,2219.829308,2224.872294,2231.777728,2235.559625,2241.105735,2243.564665,2247.276756,2248.10975,2246.171716,2250.033208,2256.122584,2265.735538,2270.117316,2270.833061,2273.688183,2275.167978,2285.848308,2297.970736,2310.251526,2313.645085,2316.911766,2314.181953,2302.241656,2285.393733,2279.740368,2283.741873,2285.134566,2280.251918,2285.426219,2303.725156,2326.833453,2356.703896,2400.122579,2447.612574,2500.067238,2553.091663,2621.24963,2703.544619,2782.40608,2855.334686,2912.061405,2966.676186,3031.710428,3090.341001,3170.041413,3240.064808,3320.759763,3378.362515,3422.067955,3452.025978,3465.211811,3475.398659,3469.892679,3465.604559,3467.822345,3472.95339,3483.874598,3497.10024,3513.556826,3521.475169,3521.159938,3517.876788,3512.394628,3507.80222,3507.470391,3513.351564,3509.317864,3511.472425,3525.209116,3554.048896,3579.676546,3593.563198,3594.454175,3596.68471,3594.529031,3601.293245,3599.483381,3597.357325,3594.081346,3601.926159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48113,1323.454255,1326.417855,1336.003748,1354.36153,1370.454365,1382.193905,1392.748095,1397.163349,1399.814564,1400.565028,1405.753074,1409.50507,1413.293566,1418.969315,1428.222951,1441.375483,1452.41167,1465.489223,1470.405725,1475.350363,1475.061653,1481.657949,1485.510884,1490.674603,1498.530009,1503.626489,1517.870665,1528.70443,1545.517731,1552.121389,1557.519398,1557.187799,1556.551078,1553.628081,1563.208081,1568.538854,1574.316991,1581.105804,1584.118671,1589.728445,1589.126053,1604.206145,1611.327948,1617.255714,1608.308479,1610.535155,1612.435208,1617.311048,1623.711073,1627.014473,1639.755295,1649.557128,1660.709556,1675.399814,1678.769663,1683.095365,1679.801385,1678.439334,1673.136856,1665.284711,1670.16258,1677.71854,1687.121155,1683.426569,1679.389733,1677.548793,1679.905189,1683.131306,1685.9296,1689.290811,1688.894984,1691.771054,1696.444349,1710.05048,1721.717589,1744.516635,1772.598426,1814.19991,1857.371261,1896.548835,1925.121264,1940.169725,1952.373704,1961.417364,1977.668089,1997.172914,2014.137739,2038.706299,2066.328858,2109.613525,2137.715908,2147.832465,2139.657605,2118.15813,2102.79131,2088.986363,2087.595624,2090.357254,2103.216284,2112.055518,2122.10541,2127.509055,2136.097291,2136.926805,2130.495469,2119.866016,2110.415566,2101.831578,2099.278558,2097.314795,2099.072061,2102.2501,2112.356718,2124.717379,2136.213716,2142.419519,2137.482241,2128.654411,2122.650674,2117.674084,2115.577566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6065,1683.588989,1686.207035,1689.690844,1699.309829,1708.555424,1721.895453,1732.288885,1738.894514,1747.152706,1756.073738,1762.400704,1767.477391,1768.103828,1779.664175,1783.124795,1784.118688,1789.156456,1796.457106,1810.851648,1816.931876,1833.357848,1836.763026,1845.89041,1842.559138,1860.885054,1873.492908,1890.179529,1903.888396,1914.277108,1929.102685,1938.5,1953.2241,1959.05984,1965.171614,1970.193411,1974.570521,1984.299865,1997.420301,2011.80718,2016.241151,2019.999466,2029.101209,2042.587996,2055.310986,2068.485361,2082.090694,2090.821246,2097.924511,2098.695894,2101.563041,2110.191928,2123.898488,2138.223568,2147.644166,2159.363003,2171.736456,2179.850743,2188.083965,2191.431964,2196.829153,2199.751414,2209.99891,2215.669186,2211.751966,2204.61382,2216.744758,2243.032971,2282.036424,2316.707353,2351.179315,2380.250956,2407.215701,2434.851494,2463.538576,2493.94471,2515.020009,2559.44207,2605.941081,2673.942186,2729.154986,2780.368759,2807.955788,2828.811235,2832.327641,2857.975085,2878.725958,2922.313708,2954.823665,2978.035351,2999.134046,3015.374934,3032.592813,3040.365769,3034.361705,3022.26509,3011.651999,3013.754595,3024.299096,3037.490298,3045.445178,3053.847431,3054.362231,3059.424235,3071.431779,3079.985698,3103.265656,3100.201289,3103.195509,3089.423193,3107.718653,3121.392706,3140.483481,3152.745213,3159.091503,3177.041189,3181.338963,3205.287056,3204.620948,3200.175028,3208.35634,3230.15093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36081,2486.38411,2502.611553,2513.409826,2515.601651,2530.661394,2542.180941,2582.536091,2608.718655,2626.226638,2623.714208,2616.592654,2622.409843,2621.508614,2623.844086,2616.660248,2630.124239,2646.249443,2668.841229,2681.82529,2687.693111,2696.986796,2706.338491,2711.825086,2695.462813,2686.372855,2685.31654,2703.459411,2711.230924,2723.616996,2738.85955,2758.058998,2764.797895,2760.428993,2739.624893,2713.524155,2686.471088,2685.41938,2689.684436,2709.731045,2726.670928,2748.507624,2767.905693,2784.148696,2806.099269,2813.375393,2801.230244,2790.441571,2785.125768,2789.838149,2796.443808,2798.098521,2810.795178,2831.721719,2873.273639,2893.90459,2902.813638,2891.871648,2897.946219,2882.69768,2871.19793,2865.306745,2881.23626,2883.558518,2871.546341,2864.556853,2862.375883,2862.86872,2839.411551,2807.118933,2784.372528,2772.126548,2772.178271,2762.764593,2758.990964,2753.25399,2755.671576,2762.343523,2784.374134,2821.411153,2867.384529,2895.254843,2925.365573,2944.105404,2977.471693,2982.833409,2999.497864,3011.412984,3045.418421,3086.113384,3136.825975,3186.358711,3230.338036,3258.538329,3260.36396,3249.430208,3241.454164,3245.129286,3255.006653,3265.341308,3288.674034,3314.586834,3342.430576,3373.345589,3391.02576,3398.891455,3397.020086,3382.795794,3392.360334,3390.301956,3414.989239,3437.876249,3471.054831,3493.214659,3510.310536,3532.745774,3547.310074,3547.674579,3537.730799,3527.570336,3520.302526,3526.882565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
