StateCode,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025
6037,1765.985493,1779.276392,1797.465518,1811.705457,1827.848596,1838.176817,1852.35957,1862.020913,1875.00662,1880.826448,1888.096959,1895.092765,1905.709103,1919.530667,1935.03754,1947.441887,1960.063713,1970.418444,1983.363639,1991.093596,1996.681413,1998.566799,1999.88434,2005.04543,2020.305206,2037.271687,2057.723632,2070.514989,2085.779609,2095.467428,2107.096792,2112.576749,2118.084772,2120.617511,2126.29581,2131.616071,2142.421434,2156.062127,2168.046821,2178.396676,2186.854147,2200.226023,2212.20422,2223.293398,2227.769913,2231.435544,2236.227272,2241.862669,2248.50871,2252.661572,2266.35555,2278.16341,2292.092507,2301.292086,2309.843225,2316.488676,2319.861485,2321.802151,2323.02117,2326.087496,2331.142889,2335.414318,2335.63612,2327.086934,2319.003371,2314.549137,2316.452036,2315.481298,2310.039708,2305.249004,2302.834954,2300.422495,2304.754854,2310.46302,2321.41193,2331.928088,2350.515416,2381.823199,2420.539578,2464.199196,2497.668293,2520.153777,2532.417665,2549.968054,2569.084366,2595.874681,2619.288715,2646.515611,2669.160223,2690.402731,2711.323156,2728.666632,2739.460287,2736.762282,2731.190659,2726.09896,2729.02589,2736.445726,2750.76894,2761.628364,2769.64699,2774.69172,2780.629297,2787.85591,2788.424118,2786.933951,2777.431766,2771.608115,2774.391093,2784.108629,2801.17205,2813.839497,2829.084753,2839.601455,2852.046731,2856.619271,2862.510873,2860.118011,2858.298585,2851.37162,2877.673176
17031,1430.846569,1439.429419,1450.320689,1459.429106,1470.464672,1481.032654,1486.675798,1489.737867,1484.48095,1476.362414,1467.416398,1466.505364,1475.564756,1487.46424,1499.876472,1507.788982,1515.405304,1524.573569,1531.512502,1536.345407,1529.226537,1517.840662,1503.527635,1496.827287,1503.311039,1519.267676,1539.007412,1553.107086,1564.442813,1570.739229,1572.699179,1567.655084,1560.092841,1546.99947,1537.535094,1534.749409,1544.222249,1558.381826,1571.677138,1582.613839,1592.710957,1602.272728,1607.772059,1605.51125,1593.523543,1580.135614,1570.555746,1570.779154,1580.003684,1591.632029,1608.912794,1622.358045,1635.285212,1642.452687,1646.16757,1646.889388,1641.727527,1634.543685,1625.219587,1619.768164,1628.052251,1640.895287,1655.586388,1656.531527,1654.674671,1651.346811,1648.764735,1640.198161,1621.48157,1594.456824,1570.758162,1561.000514,1562.820371,1576.310434,1595.12969,1623.478928,1652.000441,1678.012441,1696.337821,1707.591655,1711.769234,1709.617741,1707.226816,1711.924259,1726.605607,1744.229876,1766.29765,1789.969006,1816.917458,1837.528782,1854.059275,1860.991094,1859.689201,1854.330567,1848.94918,1850.744846,1858.789747,1874.042696,1892.619042,1912.411223,1934.505326,1953.704959,1965.121564,1969.969174,1963.741745,1951.845052,1940.239281,1941.830462,1952.703147,1971.10213,1988.137055,2011.636392,2030.778977,2048.132409,2054.832603,2054.552764,2049.042194,2044.934651,2046.139081,2051.082627,2060.221518
48201,1194.116055,1197.037802,1203.15183,1213.363236,1223.318786,1231.676741,1232.552172,1234.421388,1232.722021,1230.33976,1226.574727,1224.195985,1225.489833,1228.023055,1234.478245,1239.464176,1242.093779,1242.349518,1241.686594,1239.401518,1234.70914,1231.717271,1226.955941,1224.331103,1224.296088,1232.084098,1240.779455,1244.979912,1251.908442,1252.874473,1253.869479,1248.918101,1255.86586,1264.337504,1276.587763,1283.940286,1286.631775,1291.612001,1291.911651,1299.849779,1302.552349,1307.870554,1307.086765,1305.366058,1301.285883,1302.140769,1304.154732,1304.645495,1304.488104,1302.0151,1308.055755,1313.285158,1323.489918,1330.329828,1334.567376,1334.225267,1330.727456,1329.55724,1328.339359,1331.616383,1334.4105,1341.184239,1347.272206,1344.232142,1337.988865,1331.644305,1335.593742,1339.314983,1339.320956,1340.198732,1340.807433,1340.843077,1342.451261,1344.172189,1351.630301,1364.164955,1384.219623,1411.615994,1435.561354,1457.964576,1470.858768,1478.683433,1483.206705,1486.133734,1492.48358,1501.830911,1512.322056,1523.416568,1534.368442,1549.297411,1561.954376,1568.969518,1566.719937,1560.807241,1554.540187,1552.854597,1557.855488,1565.493467,1577.031842,1581.921414,1590.939762,1597.88109,1604.392591,1605.740386,1601.929263,1596.538144,1591.160884,1589.996346,1594.40573,1600.942404,1605.756334,1613.254183,1622.477525,1631.823059,1636.220223,1638.924122,1640.433564,1639.811829,1635.20982,1630.755184,1630.430326
4013,931.0062897,946.2967205,953.5423396,966.9797289,967.0255203,974.9234713,974.6719278,976.1726811,979.1048085,982.1692653,985.686597,987.3052855,992.5837168,998.0823628,1005.269234,1012.25185,1019.695988,1026.503325,1030.572542,1032.519959,1033.872962,1033.482289,1035.036605,1035.852575,1042.525037,1050.789938,1062.641386,1072.099354,1081.673554,1087.774953,1092.972344,1095.192043,1097.694718,1099.784767,1103.094925,1105.224517,1109.620431,1115.330421,1127.842851,1141.495525,1153.030682,1161.336243,1168.055289,1174.146426,1179.932688,1183.807824,1189.185068,1194.526407,1198.917223,1207.542088,1217.775341,1233.192085,1244.799883,1255.160129,1262.890197,1270.34637,1275.170753,1278.762569,1283.848376,1292.357963,1302.394651,1312.754806,1318.205514,1317.55879,1316.403338,1319.781921,1333.308884,1349.212085,1365.098867,1379.01481,1392.17148,1403.230032,1415.490024,1428.580866,1449.94826,1478.355911,1518.46644,1564.81272,1614.235287,1657.164796,1689.437376,1711.182964,1724.044023,1733.691402,1742.830762,1753.91349,1767.817,1779.59165,1789.082156,1796.432076,1802.275074,1802.780426,1794.848444,1783.437097,1772.918176,1767.253391,1763.83391,1768.932859,1783.398069,1792.385136,1797.60981,1795.499917,1799.453732,1798.788883,1795.441423,1787.908993,1778.89524,1771.760671,1772.472091,1781.522751,1793.212803,1804.221631,1811.308604,1813.021796,1814.179945,1813.779214,1812.910313,1803.068943,1793.476833,1785.577075,1787.990158
6073,1680.384745,1691.638438,1701.216368,1704.493243,1716.179133,1724.307756,1741.057354,1751.577977,1760.06712,1764.475993,1763.08518,1770.255463,1775.517664,1784.89963,1794.229394,1804.543101,1818.361913,1833.180581,1845.640065,1852.77617,1855.991616,1857.776019,1858.764281,1861.385844,1868.347098,1884.894466,1903.366126,1921.574831,1937.472429,1949.549553,1962.118853,1967.319183,1970.626249,1970.33497,1969.95356,1972.102488,1982.897123,1995.808729,2010.831709,2021.717091,2038.005096,2048.928445,2059.86103,2067.143887,2072.405136,2072.579552,2068.051508,2070.696672,2075.610498,2083.15084,2089.550595,2099.503489,2111.89542,2123.804686,2136.078151,2144.087746,2146.734375,2146.536875,2147.526101,2151.535527,2156.8018,2162.113555,2166.107687,2157.458228,2150.56851,2149.271442,2160.666728,2169.779038,2181.71377,2198.124749,2213.148844,2223.560567,2230.568828,2241.422193,2259.579199,2287.923443,2325.37229,2364.016544,2414.330309,2467.767993,2523.855656,2558.263671,2580.914327,2596.997625,2616.488117,2644.32655,2674.713978,2719.43754,2763.659364,2811.619956,2845.063642,2874.017741,2879.771058,2873.631477,2852.763069,2842.320106,2835.979407,2845.187539,2870.634049,2902.065537,2936.595093,2959.403329,2977.582429,2984.907689,2981.950223,2966.952997,2943.536754,2923.996615,2917.293977,2927.878882,2947.292936,2973.157049,2993.800861,3013.987331,3025.914004,3028.215601,3025.119633,3020.426712,3017.454577,3009.513415,3009.808882
6059,1909.21922,1920.399953,1930.542989,1944.419336,1954.868552,1968.454417,1979.005207,1992.035771,1994.893169,1999.751748,1996.238247,2000.803637,2006.037379,2015.642391,2021.585678,2027.673582,2042.661358,2060.498682,2072.824011,2074.630948,2077.422616,2074.798714,2080.439056,2075.117752,2086.093434,2098.481282,2121.803527,2138.38215,2147.270813,2156.014244,2161.35446,2166.828681,2169.475976,2166.75577,2169.738234,2171.256529,2182.032456,2187.723905,2200.066362,2208.130464,2215.492577,2221.803535,2227.206587,2229.037033,2230.299973,2232.190974,2237.817988,2240.461921,2242.983975,2248.172876,2257.409286,2264.950803,2276.001514,2284.521569,2294.813373,2297.812435,2299.894452,2301.250895,2307.240536,2307.971784,2316.291551,2321.861112,2327.80039,2311.950362,2295.426043,2285.311732,,2300.341912,2315.068795,2329.198733,2338.647925,2346.397215,2359.804143,2379.500767,2401.614976,2421.810966,2450.340346,2496.707783,2569.522029,,2733.019512,2776.141537,2799.772359,2812.330292,2829.930997,2848.059274,2876.699994,2909.81869,2941.363416,2969.980597,2991.113385,3001.208303,2997.207151,2985.337422,2970.961607,2955.584783,2944.989911,2945.199904,2956.733613,2971.460734,2987.750595,3008.130744,3040.857699,3069.906441,3081.721189,3079.688447,3065.402378,3063.855318,3062.061832,3071.764652,3073.981302,3084.790732,3098.766737,3119.833637,3137.670681,3149.967305,3155.505339,3158.287686,3153.682912,3144.608327,3150.6352
36047,2222.411149,2238.09633,2261.952405,2280.758351,2304.132183,2331.219758,2347.871494,2357.708408,2371.502773,2381.549074,2374.002257,2351.290471,2339.396694,2343.164568,2356.845296,2363.386326,2369.839295,2381.00766,2398.128707,2413.633762,2420.613216,2418.180664,2419.77768,2406.994572,2397.742132,2386.963486,2391.027727,2404.432841,2416.545501,2432.634805,2449.024108,2462.486842,2462.227774,2444.619292,2425.786873,2413.188309,2412.649116,2414.458895,2427.201278,2444.444308,2462.327269,2476.994239,2487.268567,2497.438101,2499.600377,2491.428447,2477.885605,2460.984054,2463.77127,2476.310256,2500.999686,2517.972518,2540.580288,2556.625424,2580.027615,2594.822158,2609.831684,2612.770728,2610.109772,2602.66046,2601.184289,2609.902137,2624.832028,2619.834995,2601.3647,2570.56837,2548.276239,2513.329081,2467.661705,2424.037085,2392.095829,2374.548272,2366.733008,2373.873564,2393.959441,2425.861009,2463.24917,2513.718914,2567.127365,2620.065583,2665.783875,2689.713927,2710.510674,2719.013256,2749.606835,2783.159433,2833.003881,2876.847439,2937.391394,2998.043504,3056.774268,3094.59812,3104.35796,3095.780532,3057.921466,3026.880819,3017.63509,3031.712491,3054.579891,3081.531711,3116.021311,3157.406414,3186.517783,3204.774926,3208.432464,3191.206283,3150.752695,3124.610101,3121.62537,3149.156885,3176.922339,3203.680758,3239.771759,3274.561652,3300.082876,3301.648707,3288.799771,3267.083641,3241.855818,3212.477776,3209.591982
12086,1627.338715,1638.151513,1650.130008,1659.936043,1670.330131,1677.933054,1685.947192,1692.496691,1700.46996,1702.189187,1708.557518,1713.425361,1720.525252,1723.892714,1727.06167,1726.80177,1726.40733,1723.570566,1723.989979,1720.654264,1720.683479,1718.133284,1716.242499,1711.546502,1716.653894,1722.755795,1732.851066,1734.011424,1736.801844,1737.587161,1738.870888,1741.718278,1744.777809,1748.796691,1748.139059,1748.748118,1751.105026,1756.453102,1761.63187,1767.040926,1770.618839,1775.863446,1779.897835,1785.422182,1788.4477,1792.884588,1794.851732,1797.821405,1798.4878,1796.937373,1800.026566,1804.898067,1812.58843,1816.093853,1816.666449,1818.950546,1820.134382,1828.678646,1838.376589,1848.201221,1850.916068,1853.529413,1851.345562,1841.793325,1828.314986,1823.792294,1826.993498,1828.107653,1824.201534,1828.340975,1842.980125,1861.466762,1885.363117,1920.098063,1958.090059,2000.05379,2042.47333,2096.999704,2162.835695,2225.924864,2284.267749,2329.649124,2373.340949,2425.368342,2472.272801,2536.03313,2592.051846,2656.60781,2702.690012,2737.654364,2761.620782,2772.169449,2780.318927,2775.914143,2772.483647,2774.257876,2778.362712,2787.099678,2797.680192,2810.845461,2817.180135,2816.92795,2814.30143,2809.915702,2806.241776,2805.976313,2810.681251,2807.454291,2809.17794,2820.167293,2843.239117,2863.741237,2874.850558,2875.56334,2877.347768,2875.623225,2881.034596,2879.586705,2877.88586,2875.265077,2881.540927
48113,1058.763404,1061.134284,1068.802998,1083.489224,1096.363492,1105.755124,1114.198476,1117.730679,1119.851651,1120.452022,1124.602459,1127.604056,1130.634853,1135.175452,1142.578361,1153.100386,1161.929336,1172.391378,1176.32458,1180.28029,1180.049322,1185.326359,1188.408707,1192.539682,1198.824007,1202.901191,1214.296532,1222.963544,1236.414185,1241.697111,1246.015518,1245.750239,1245.240862,1242.902465,1250.566465,1254.831083,1259.453593,1264.884643,1267.294937,1271.782756,1271.300842,1283.364916,1289.062358,1293.804571,1286.646783,1288.428124,1289.948166,1293.848838,1298.968858,1301.611578,1311.804236,1319.645702,1328.567645,1340.319851,1343.01573,1346.476292,1343.841108,1342.751467,1338.509485,1332.227769,1336.130064,1342.174832,1349.696924,1346.741255,1343.511786,1342.039034,1343.924151,1346.505045,1348.74368,1351.432649,1351.115987,1353.416843,1357.155479,1368.040384,1377.374071,1395.613308,1418.078741,1451.359928,1485.897009,1517.239068,1540.097011,1552.13578,1561.898963,1569.133891,1582.134471,1597.738331,1611.310191,1630.965039,1653.063086,1687.69082,1710.172726,1718.265972,1711.726084,1694.526504,1682.233048,1671.18909,1670.076499,1672.285803,1682.573027,1689.644414,1697.684328,1702.007244,1708.877833,1709.541444,1704.396375,1695.892813,1688.332453,1681.465262,1679.422846,1677.851836,1679.257649,1681.80008,1689.885374,1699.773903,1708.970973,1713.935615,1709.985793,1702.923529,1698.120539,1694.139267,1692.462053
6065,1346.871191,1348.965628,1351.752675,1359.447863,1366.844339,1377.516362,1385.831108,1391.115611,1397.722165,1404.85899,1409.920563,1413.981913,1414.483062,1423.73134,1426.499836,1427.29495,1431.325165,1437.165685,1448.681318,1453.545501,1466.686278,1469.410421,1476.712328,1474.04731,1488.708043,1498.794326,1512.143623,1523.110717,1531.421686,1543.282148,1550.8,1562.57928,1567.247872,1572.137291,1576.154729,1579.656417,1587.439892,1597.936241,1609.445744,1612.992921,1615.999573,1623.280967,1634.070397,1644.248789,1654.788289,1665.672555,1672.656997,1678.339609,1678.956715,1681.250433,1688.153542,1699.11879,1710.578854,1718.115333,1727.490402,1737.389165,1743.880594,1750.467172,1753.145571,1757.463322,1759.801131,1767.999128,1772.535349,1769.401573,1763.691056,1773.395806,1794.426377,1825.629139,1853.365882,1880.943452,1904.200765,1925.772561,1947.881195,1970.830861,1995.155768,2012.016007,2047.553656,2084.752865,2139.153749,2183.323989,2224.295007,2246.36463,2263.048988,2265.862113,2286.380068,2302.980766,2337.850966,2363.858932,2382.428281,2399.307237,2412.299947,2426.07425,2432.292615,2427.489364,2417.812072,2409.321599,2411.003676,2419.439277,2429.992238,2436.356142,2443.077945,2443.489785,2447.539388,2457.145423,2463.988558,2482.612525,2480.161031,2482.556407,2471.538554,2486.174922,2497.114165,2512.386785,2522.19617,2527.273202,2541.632951,2545.07117,2564.229645,2563.696758,2560.140022,2566.685072,2584.120744
