StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10100,,,,,,45694,47395,49652,51279,52641,53289,53682,54533,57184,59270,62042,64194,70693,70761
10140,37120,40272,42402,41464,36345,40019,40993,42057,41315,43356,44122,49623,47445,48255,61026,50665,54631,62523,67221
10180,35535,39784,39369,41961,42931,40630,40659,43407,44149,44303,47420,48016,51130,48021,54808,54857,54037,62660,61262
10220,,,,,,37484,40641,40680,41881,42566,43261,44041,46689,49235,50392,51682,55862,59457,62564
10300,48274,46901,50240,50369,45640,45563,44509,48224,45938,46739,48279,51918,56515,55378,53865,57314,61257,67267,63952
10420,44719,44507,47898,50036,47482,46521,47032,49731,49984,50538,51580,51598,56106,60019,57158,59313,63367,66652,70125
10460,,,,,,39615,35308,40583,44102,42603,36142,43646,43887,42591,39371,45032,51214,54093,50762
10500,41213,35515,36402,38989,36218,34002,32775,34469,34756,39071,40143,40667,43614,44896,40625,46323,48659,48376,53056
10540,39305,40782,44397,45571,47669,42900,42565,43489,45130,43428,47527,51310,51541,54113,61488,59547,65196,67009,70548
10580,50828,53202,55129,58765,57677,55796,58617,60625,59626,62265,63080,65855,68681,71301,73398,72810,78272,80970,82410
10620,,,,,,44802,43424,43256,42518,42010,40910,44140,46017,49590,52623,54104,56462,60634,65456
10660,,,,,,43090,43447,43962,44683,45569,47105,48827,51174,52447,53631,54628,59862,65679,69012
10700,33722,37030,34153,35205,37284,39343,39245,36197,38116,33446,40525,42362,41476,47528,49467,50216,50191,52678,60298
10740,43070,44799,45325,47198,46824,47383,45027,46725,48355,47581,48937,50954,50906,51134,58512,55370,60070,66392,67640
10780,34587,34966,37180,42595,39530,40017,35692,40896,39960,40209,42778,42136,40585,47391,50553,48294,47032,56339,52390
10820,,,,,,46789,48436,50365,50905,52485,54531,56347,58667,60676,63819,65430,69069,72472,77264
10860,,,,,,37020,37413,40723,40585,42463,42986,43321,41103,42005,41461,45699,46641,46922,45939
10900,51676,51464,55038,58811,56802,55630,54169,55766,56543,60320,60671,63022,63944,65929,70793,69769,72058,76041,81159
10940,,,,,,40114,39867,40224,40359,41833,41912,42145,42256,44991,47848,49795,53347,57934,61128
10980,,,,,,36695,38081,38900,38016,38353,38829,39832,40954,41991,43363,42603,44864,49133,51909
11020,33730,40730,42509,40333,38455,42990,43136,41258,42164,44019,45432,43443,45957,49942,51004,50856,57361,58022,54002
11060,,,,,,41437,41391,41563,42824,42029,41560,44331,45189,45757,49703,52535,55551,60954,61497
11100,36603,40969,42065,47822,43373,46390,47350,46434,49207,51280,51734,54478,53922,53087,53510,56055,58354,65090,63994
11140,,,,,,32873,34465,34205,34477,34415,33798,35153,35189,36809,38156,39068,37669,39867,42821
11180,40471,43326,47827,48076,45516,48034,45866,49489,50279,46091,50811,53371,60351,54586,62181,60442,64569,68384,72007
11220,,,,,,42603,43254,42830,44156,44167,43764,44455,47449,45837,49462,50146,53533,58033,62923
11260,60180,62513,67995,75035,72712,71490,71700,71494,76831,75682,78238,82203,76871,81037,80676,82890,84476,95791,94150
11380,,,,,,48699,51598,55327,57825,61250,70423,70121,70753,74233,76158,75147,80518,86458,76902
11420,,,,,,47479,48502,48291,48080,48750,48472,50418,52749,56101,58279,58905,61698,68837,71483
11460,53495,56817,61049,57848,54603,55880,56612,56330,59660,62845,61977,65601,70286,71860,76576,75730,76918,79665,83754
11500,36243,36241,37074,40056,36527,36675,39037,39169,36205,41428,42346,41687,46763,45818,48156,50128,46524,52819,50780
11540,54476,51189,56846,54848,55669,55883,58172,60166,58410,60106,61245,63902,65990,65826,68335,70261,74331,78388,83966
11580,,,,,,35979,36407,35683,34963,36114,35165,35513,35435,35057,35438,36360,39945,45000,50868
11620,,,,,,39172,40081,41160,41401,43280,44531,46913,47754,49216,51195,51554,53227,56968,58856
11660,,,,,,31968,32998,32393,32721,34109,,35595,37144,39752,41620,39500,45351,48071,50985
11700,38275,40840,43819,43180,41078,42168,41969,43172,43916,46917,44826,50541,50015,52410,57428,54992,60261,66023,67837
11740,,,,,,44542,45641,44996,46548,47034,48003,48509,50893,52730,52823,55422,58168,62254,64991
11820,,,,,,42223,43670,44330,44683,47337,46408,47492,49828,52583,54886,57466,61846,68025,68705
11860,,,,,,44175,44433,45666,45212,44648,,46103,46640,48667,50439,50683,52243,55281,62164
