StateCode,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012
35620,463701.6168,462507.3611,462240.7364,462065.6216,461897.5718,460780.2557,459211.414,457511.5277,455688.2816,454332.3388,452966.6441,451643.7311,450391.7911,449058.1338,447340.6247,445367.8408,442556.3746,439685.2276,436526.7721,433572.7436,430526.2,427246.9081,423810.8148,420512.2067,417092.0775,413771.698,410567.2438,407440.3369,404741.9442,402042.6784,399521.8673,396846.9714,394630.0537,392913.0553,391815.6495,391132.3357,390890.1046,391051.5464,391014.7333,391008.8584,390834.0984,391210.3957,391631.6718,391823.858,391388.8587,390263.6171,388700.8539,386822.8467,385369.7449,384231.7592,383588.555,382644.9642,381558.9286,380024.283,378461.0413,376866.2038,375321.046,373767.3125,372110.1846,370596.7933,369206.8647
31080,582870.1813,582603.7757,581684.8132,580004.9324,576975.5841,573732.048,568671.993,562943.7325,556113.204,549262.3054,543575.4415,537284.7638,531251.5015,523160.8552,513826.2848,501765.4374,488582.2387,475818.05,464020.322,453588.7187,445594.1395,438396.2352,431040.0537,421908.4476,414198.0955,409163.0557,405673.6211,402598.5592,399558.2267,396107.0527,393291.689,391327.1663,390783.4582,391036.9695,392955.0845,396593.2998,398875.0279,399184.5201,399413.4741,401354.7167,404215.5846,404428.5721,402682.1358,399093.1591,395361.6122,391613.383,388098.8003,386182.2779,385122.2231,385042.6676,383848.5308,382298.3407,378506.2307,376451.767,374944.1212,373223.2233,369878.4841,366252.4093,364860.8061,364567.4089,364050.8337
16980,249445.0872,250058.4971,250558.3283,250750.2534,250673.1879,250392.177,249940.756,249408.5365,248587.9129,247694.1156,246808.6336,245806.7239,244764.1385,242664.4625,241769.8162,239961.0234,239390.1651,237251.959,235956.7097,233422.7366,231329.1252,228395.4395,225637.2063,222336.5011,218643.4113,215719.9765,212867.0521,211246.7662,209272.5108,207789.5907,206227.8355,204814.9798,202789.1298,200833.4531,198885.3781,197914.0814,196968.9061,196616.649,195631.7023,195784.5255,195326.4769,195690.161,194143.6348,192810.3659,190672.724,188972.8614,186596.94,184294.3195,182197.3349,180543.2182,179408.1173,178109.2759,177260.6117,176070.0807,175412.7668,174360.5659,173337.7974,171498.357,170048.4322,168181.0342,166967.4906
19100,153231.2105,152879.6056,152400.4028,152378.1598,152678.9419,153077.3323,153467.0632,153876.7979,154414.2927,154814.0295,155083.9101,155290.0742,154724.9649,153717.9,152338.9337,151503.6821,150949.2772,150599.4873,150412.272,149993.2526,149284.4449,148322.5351,147461.4179,146832.7129,146369.6519,146273.1156,146324.4204,146521.2576,146685.7761,146707.6529,146755.8452,146621.1716,146571.7415,146499.8475,146833.5796,147200.2537,147293.209,147148.6284,146919.8057,147052.6997,147157.4645,147233.7848,146890.6833,146253.5959,145374.8419,144524.5429,143657.6601,143062.6243,142612.8911,142139.5821,141636.5813,140977.7929,140490.4189,139959.0984,139758.9007,139618.1328,139639.4267,139569.8682,139446.3018,139150.0589,138875.8127
26420,151272.9385,151379.2092,151228.9789,151310.9976,151676.8069,152255.4605,152687.1519,153149.3139,153531.7763,153901.9077,154175.8595,154456.2293,154230.548,153822.9067,153291.9914,153090.8809,152846.7399,152550.6208,152264.2044,151767.0877,151089.7117,150398.3385,149592.0425,148731.8556,147832.957,147481.4458,147383.4857,147495.1591,147668.6987,148030.1885,148513.4147,148768.3172,148726.9819,148423.8341,148348.8766,148481.548,148546.5056,148630.7911,148868.3358,149304.0086,149654.7618,149613.6416,149028.0304,147972.0162,146925.2412,146086.6358,145512.4741,145011.6791,144494.8082,143905.7408,143118.5562,142412.3243,141826.1996,141442.2163,141240.3485,141168.9068,141056.1449,140857.5272,140224.3899,139661.2617,139386.3636
47900,426505.5926,425183.0022,423960.8361,423216.3523,422180.9719,420166.7107,417362.2268,414201.5075,411387.7697,408182.3283,404669.2543,400595.9235,396642.4586,392434.9306,387664.6433,382357.2028,376359.7946,370491.7473,364529.2582,358887.8212,353152.4903,347854.2271,343206.2578,339255.8951,335178.0761,331156.393,327305.9926,324043.493,321807.9092,320257.7782,318961.3176,317457.2107,315717.9037,314457.4832,314040.9049,314685.7151,316029.973,317025.4994,318153.1486,319360.9263,320892.8824,321561.9571,321212.4327,320049.275,318804.5142,317615.1322,316307.1362,315251.213,314670.888,315009.5798,315323.897,315489.1048,314941.6824,314518.252,313690.7968,312794.854,311524.8875,310493.3036,310218.3284,310207.9106,310375.2804
37980,233201.6502,233091.4104,233382.5106,233831.7497,234517.9487,235034.3063,235429.2776,235305.4781,234852.705,234418.2923,234021.59,233574.5031,232803.0437,232333.5829,232111.3095,232132.3655,231674.9712,230805.3985,229495.9141,228002.7803,226296.2361,224584.5261,223010.6582,221575.0375,220246.2253,219227.159,218650.1622,218319.0355,217867.1719,217235.2466,216362.3097,215466.5395,214517.8247,213947.6826,213737.3773,213723.4154,213829.3668,213879.0643,214006.2248,214171.4762,214436.9644,214679.63,214540.2689,213814.6595,212490.2121,210855.1489,209135.619,207644.6438,206467.7967,205668.7537,205021.7891,204194.5482,203043.8117,201688.457,200394.1639,199295.9928,198216.8081,197191.9388,196246.4508,195488.7186,194766.6891
33100,302095.1807,301508.8824,300138.269,298252.8138,295812.3129,293084.4732,289903.1264,286356.7432,282527.1083,279049.446,275058.0101,271082.8817,265989.3837,261015.4872,255241.3981,249917.6375,244377.1309,239389.0718,233950.8789,228009.8348,221596.1325,215093.6247,209007.8664,203516.9273,198503.7247,194093.5674,189687.268,185585.5133,181348.2192,177716.8623,174469.2946,171722.6029,169253.5362,167364.0437,165926.2586,164571.7456,163627.1116,163089.2727,163008.893,162808.7077,162294.4679,161232.1802,160021.398,158674.6697,157419.1788,155814.2502,154337.8583,152999.7033,151770.5133,150634.954,149610.4996,148857.7402,148015.1952,147066.8801,146073.2995,145347.8233,144902.8183,144716.3114,144735.2938,144804.43,145083.4178
12060,190569.55,190880.4756,191213.0657,191609.2708,192011.5601,192293.4521,192482.7536,192498.7762,192263.3439,191805.4154,191091.9079,190386.4443,189327.5174,188133.0686,186697.8174,185554.8771,184559.8801,183591.2407,182432.0959,181089.1827,179635.6789,177981.4443,175854.8825,173152.2338,170292.076,167640.9898,165325.3937,163053.3643,160858.5756,158914.1652,157400.3889,156202.3244,155055.5047,153856.2209,152798.5544,152078.4935,151405.9995,150807.3992,150284.5508,150181.4969,150159.5535,149945.7123,148901.0761,147300.0306,145163.537,143202.4044,141283.6145,139573.2975,137886.5184,136477.3973,135060.1435,133501.1529,131492.4449,129463.8509,127750.9256,126705.1807,126235.0931,126016.5494,125779.6233,125008.952,124359.9165
14460,369253.7577,368199.5114,367467.479,366688.6481,365873.3082,364783.8888,363485.2834,362174.308,360864.5426,359282.1644,357506.0704,355669.2169,353889.0259,351867.0798,349908.1697,348027.9669,346417.6584,344743.0474,342830.8598,340742.8778,338321.1378,335559.5345,332842.2798,330335.9559,328380.6397,326600.0147,324549.4866,322802.7169,321686.2918,321357.0609,321186.276,320914.3574,320558.8316,320240.3113,320235.2075,320973.2715,322168.6997,323635.032,324846.896,325971.2538,326737.2255,327242.8284,327186.6918,326745.9828,325348.419,323774.655,322239.8473,321578.6871,321094.5542,320217.1722,318811.4707,317642.5061,316637.3904,316177.6395,315333.1597,314366.0924,312889.3723,311290.5002,309740.8595,308558.5196,307571.9322
38060,287557.2128,285883.7941,284885.7979,284509.7749,284264.1334,283355.4608,281651.8117,279207.7811,276298.8796,273338.1945,269415.1409,265244.6351,260820.4191,255597.6229,250016.1957,243352.013,238009.3551,232867.7917,227482.1559,220770.6004,213938.9052,208056.3097,201160.947,193988.0233,187192.9784,182900.6526,179251.964,175803.2828,171879.2832,168568.5405,165913.2929,163743.8314,161790.3106,159237.328,158238.7721,157997.2319,158357.2458,157671.8829,156556.9957,155994.9688,155280.9445,154576.6094,152424.7859,150419.1847,147882.6327,146168.6665,144352.4208,142592.1701,140422.922,138516.9517,137241.0637,135810.3905,134315.8255,132650.3094,131813.4662,131475.0444,131416.4969,131494.6456,131552.6398,132476.6647,133318.0217
