StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
36740,819597,854155,883092,899526,907080,943029,950008,950754,958298,974694,988969,1007557,1033259,1050682,1077100,1054209,1117189,1146572,1173622
36780,70207,70730,71338,71676,72140,73389,73737,73780,73795,74207,74531,75111,75633,76015,76311,76023,76554,77392,77742
36860,67172,67646,67817,68051,68265,68549,68348,68864,68377,68804,68817,68600,68828,69133,N/A,N/A,N/A,N/A,N/A
36980,50239,50599,51332,51299,50942,49636,49929,50096,50064,50396,50821,51140,51774,51605,51844,51385,52365,52347,48662
37020,30253,30372,30380,30369,30449,30305,30224,30167,30017,30063,30018,29988,30229,30272,N/A,N/A,N/A,N/A,30383
37100,266554,270664,272463,273553,274057,281681,282521,281700,282819,284527,285889,286905,288778,290984,291547,289425,294645,296132,297786
37140,46973,47484,46775,47405,48308,46761,47158,47923,46904,46214,47550,47958,47538,48849,47421,48130,47352,47460,50044
37260,34985,35276,35453,35322,35731,37311,37408,36992,36442,36664,36525,36392,37299,37374,37599,37497,36213,36369,38312
37340,252273,260654,265167,267467,268811,269975,270544,270773,270641,272283,273134,274559,278139,280390,282830,280648,294237,299110,304028
37380,39309,46554,48447,48931,49368,48615,49069,48918,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37460,89761,95030,97882,98657,99262,99690,99824,99790,108420,109797,109937,110988,112746,114504,104764,104060,106144,108667,121280
37620,75928,75154,75263,75236,75548,75146,74908,75578,43742,43301,43659,43194,43836,43680,43616,43618,43172,43160,42869
37700,65121,63830,65693,66669,65701,69983,71268,69799,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37820,33200,33685,33462,33400,33428,33962,34850,33837,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37860,191234,194854,197261,199385,200605,201613,202260,203515,203897,206220,207635,209846,213304,215510,217666,215479,226068,229844,233031
37900,159926,161253,162366,163510,164078,164540,164743,164543,165005,165392,165966,166323,167029,166773,183393,183156,183489,183723,167878
37980,2358678,2374020,2386069,2394512,2400742,2434185,2439915,2437382,2438273,2448985,2455550,2462218,2488108,2497446,2507446,2497830,2603073,2634290,2643828
38060,1590208,1622934,1666222,1715488,1737335,1800056,1813074,1817083,1832488,1845898,1860113,1882098,1911877,1940167,1970654,1943813,2028321,2063233,2103658
38220,44477,44405,44402,44782,45392,42160,41835,42051,42088,42570,42522,42509,41715,42308,42743,42188,38316,38552,34271
38300,1100709,1103616,1106077,1107558,1110987,1102173,1101310,1102289,1100717,1105960,1107498,1109924,1126506,1130046,1133294,1129809,1129527,1134144,1178863
38340,67450,67750,68041,68242,68550,68502,68500,68349,68248,68333,68406,68451,69240,69393,69223,69149,69985,70149,70074
38460,34125,34373,34491,34602,34947,35910,36089,35900,35745,35939,35966,36025,36588,36732,36836,36723,37479,37640,37772
38540,33502,34061,34803,34873,35333,36116,36267,36453,33178,33369,33456,33566,34225,34441,38313,37581,38658,39734,36735
