StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10140,59.4,64,65.5,61.4,60,58.3,54.4,59.4,61,60.4,51.7,59.2,60.3,56.5,58.2,57.1,55.5,53.3,52.8
10180,53.4,54,53.5,54.1,52.1,50.3,51.1,51.1,48.8,49.9,48.9,43.2,49,44.9,49.3,49.2,51.3,48.3,50.8
10300,69.8,72.3,69.6,69,66.6,69.2,67.6,67.4,63.1,63.7,65,62.1,65.9,61.8,58.4,61.9,65,59.8,58.9
10380,24.3,27.3,26,25.7,26.1,30,27.7,29.5,27.3,28.6,28.5,28.4,28.2,28.5,27.5,27.5,27,26.7,26.6
10420,70.4,70,70.7,70.4,69.7,70,69.1,67.1,66.7,64.8,64.5,64.2,64.2,65.2,63.5,64.1,63.3,61.8,62.3
10500,67.8,64.1,63.4,65,62.4,62.2,60,60.5,59.2,53.3,57.2,54.6,55.4,58,55.3,56.7,52.6,53.8,62.3
10540,66.1,63.1,66.7,67.6,67,65.8,65.7,63,65.9,62.1,61.5,64.3,67.7,62.7,68,65.3,65.3,64.5,66.3
10580,65.4,66.6,66.8,67.2,68.4,65.6,64.8,66.5,64.6,65.9,64.5,64.1,63,63.9,63.8,62.9,62.5,60.2,61
10700,58.5,57.4,56,53.6,58.8,59.5,53,53.4,59,51.1,56.9,49.7,54.6,55,50.6,54.1,47.9,49.9,51.2
10740,70.4,71.3,71.1,71.7,71.3,70.5,69,67.7,67.1,66.2,65.8,63.8,64.1,62,61.7,62.6,63.4,62.5,60.9
10780,58.4,52.3,53.9,54.2,50.5,50.4,51.3,50.6,50.1,52.2,53.2,48,47.4,49.4,49.3,49.7,52.2,49.6,48.5
10880,65.9,65.9,64.1,70.6,68.5,64.8,63.4,64.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10900,67.8,67.1,67.6,70.9,67.2,67.8,67.8,68.4,65.3,67.2,65.6,64.9,64.1,64.5,63.7,64,61.6,61.1,60.2
11020,54.2,57,57.6,59.4,57.7,53.4,53.4,55,54.3,53.9,55.2,53.9,54.4,54.4,53.7,54,55.9,55,51.8
11100,62.3,59.4,59.3,62.2,61.4,61.2,61.5,55.5,59,56.3,57,55.5,58.1,57.4,54.8,54.9,57.3,55.3,51.7
11180,64.1,67.6,66,68,67.4,65.9,63.4,65.4,66.7,59.6,62.6,67.1,61.1,57.2,60.5,59.7,64.1,57.7,56.4
11260,77.2,76.8,79,78.2,74.4,77.4,72.4,72.2,70.1,72.4,70.9,70.7,70.6,67.9,67,68.8,69.8,69.3,65.4
11300,67.3,68.8,65.6,67.9,67.6,63.5,64.7,65.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11340,63,64.2,65.1,64.6,61.6,63.6,61.1,60.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11460,74.5,75.5,76.5,75.5,75.1,73.2,72.7,70.2,69.5,70.1,67.9,66.6,65.3,65.5,63.8,65.2,65,63.3,61.8
11500,57.6,55.8,56.3,58.4,56.9,55.9,52.1,51.7,50.6,54.7,47.4,49.4,53.8,55.7,52.7,53.8,48.8,44.7,50.5
11540,69.4,72.2,71.7,70.5,68.6,69.5,70.9,65.8,66.5,69,66.4,67.2,66.9,64.7,63.9,64.8,59.5,62.3,60.2
11700,58.5,58.9,57.7,58.3,60.9,58.7,58.9,57.5,57.9,56.1,56.7,54.9,57.7,55.9,58.2,56,53.6,54.6,54.3
11780,65.7,64.6,61.6,68.4,59.3,64.2,59.1,61.1,56.4,62.7,53.6,57.3,54,54,60.3,54.2,48.1,54.2,N/A
11980,51.8,47.7,50.4,47.1,49.9,45.1,46,46.1,46,46.7,45.6,41.9,43.7,42.7,41,40.5,40.4,41.6,38.8
12020,67.8,65.8,67.7,67.4,70.1,66.2,68.5,62.5,63.3,60.2,60.7,61,63.5,60.5,62.4,58.6,60.5,63,58.3
12060,81,81,80.9,81.1,79.1,79.6,77.8,77.7,75.2,74.4,73.6,72.2,72.5,72.2,70.9,71.9,70,70.1,69.3
12100,69.3,71.6,72,71.8,70,70.9,67.5,67.8,69.3,67.5,68.4,67.3,64.2,66.1,61.2,64.2,63.2,56.7,62.2
12180,64.6,55.8,63.1,60.6,61.5,59.1,61.7,59.2,57.5,55.9,62.9,53.8,56.8,55,51.5,54.8,55.3,54.6,50.4
12220,66.4,70.6,65.2,66.5,61.7,62.7,67.8,63.6,66.1,58.5,66.6,59.8,60.3,63,64.8,61.6,63,61.2,58.1
12260,67.5,67.7,67.8,66,64.4,65.8,63.7,63,60.7,62.6,61.7,59.7,57,59.7,60.3,58.2,57.7,58.8,60.2
12300,64.5,65.7,66.8,65.6,65.2,65.1,63.8,66.4,58.3,60.9,62.7,61.5,62.8,60.8,64,62.5,61,56.6,57.3
12420,75.1,76.3,74.8,76,75.2,73.3,72,73.1,70.2,69.6,69.1,70.1,69.1,67.8,67.7,68.1,67.1,67.3,66.3
12540,72.9,75.9,76.5,74.8,74.9,72.3,72.2,71.8,69.9,70.9,71.1,70,68.5,69.2,68.1,67.9,67.1,66.5,65.9
12580,74.6,75.3,75.3,75.6,75.3,74.8,75.1,73.4,72.6,71.7,72,72.6,71.8,71.7,70.7,71.5,70.4,70.1,69.5
12620,63.1,63.1,63.4,63.4,66.4,67.3,63.5,64.6,61.6,63.2,58.3,60.3,57.9,57.8,58,56.3,58.5,55.5,50.2
12700,63.5,64.6,65.7,65,64.3,63.9,64.6,64,63.2,63.7,61.4,59.5,65.1,59.6,62.3,61.7,61,55.1,58.3
12940,64.8,64.1,63.3,65.5,61.7,62.5,63.4,62.3,61.2,60.3,59.2,58,59.2,58.7,56.5,58.1,58.4,58,58.2
12980,65.6,66.6,65.3,69.7,65.3,66.4,61.2,60.6,61.3,57.8,57.3,60.3,59.5,54.7,59.7,59.6,60.6,58,58.1
13020,59.1,62.8,58.6,60.9,55.6,58,54.6,58,52.4,53.8,50.2,54.6,53.8,53.6,52.6,51.3,53.5,53.3,55.5
13140,48,46.9,48.2,49.1,47.2,46,47.3,45.7,43.9,37.1,39.1,44,43.3,41.8,44.2,44.1,44.3,44.7,45.1
13180,65.2,67.4,66.8,68.9,68.1,70.4,67.6,64.5,63.3,63.7,63.4,64.2,61.6,66.2,62.9,64.4,59.9,60.9,60.5
13220,50,50.5,51.4,48.1,52.8,51.3,51,45.6,43.6,47.8,43.4,43.9,44.1,47.3,45.3,44.1,48.5,47.8,40.5
13380,70.6,67.3,67.6,71.6,66.1,69,71.3,66.3,63,64.2,66.4,67.8,66.9,67.3,64.8,65.5,62.4,64.5,61.6
13460,72.4,75.8,74.3,71.5,73.2,71.1,71.8,70.1,67.2,67.9,66.7,66,68.5,68.9,66,67.7,66.5,67.1,66.8
13740,67.9,66.6,63.3,67.6,65.6,63.8,66,62.7,65.1,61.8,65.5,65.4,60.8,62.5,59.3,61.6,57.5,55.5,60
13780,58.7,57.4,60.7,60.4,58.8,58.2,57.1,55.8,55.6,56.2,55.2,52.6,52.5,54.5,56.9,52.9,52.5,54.6,50.9
13820,66.5,66.3,67.4,67.1,66.6,66.7,64.6,62.2,62.8,61.7,62.3,60.2,61.9,59.5,61.9,61.5,58.3,59.8,58.5
13900,62.7,64.2,66.8,61.7,63,63.1,64.4,58.5,56.9,59.3,60.2,54.1,58.4,60.7,58.2,57.5,56,57.3,57.9
13980,60.7,64.1,63.3,60.4,60.8,58.6,59.3,57.6,54.6,54.3,58.9,53.3,52.3,51.2,57.8,53.6,52.3,52.4,54.5
14020,63.9,68,65,66.3,68.5,65,67.2,59.6,62.7,63.7,64.6,63.4,64.2,64.6,62.8,62.6,62.9,64.3,62.4
14060,71,72.3,71.4,70.8,68.3,70.5,71.6,68.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14100,56.1,56.1,58,57.1,54.4,55.5,52.1,54.6,57.2,55,50.8,51.1,55.9,55.4,51,52.6,46.5,49.4,48.8
14140,49.6,38.7,42.8,42.7,43,39.8,43.5,41.9,38.3,40.1,39,40.8,39.5,41.4,35.9,40.3,34,36.9,36.4
14260,77.8,76.4,77.1,77.9,76.7,75,73.4,75.3,71.7,73.1,71.7,71.4,69.6,68.9,70.3,69.6,68.4,67.1,65.9
14460,73.6,73.1,73.3,73.9,73.7,73.2,73.4,72.5,71.1,70.4,71.1,70.9,70.9,69.5,69.8,69.7,68.7,66.3,67.6
14500,77.9,77.2,76.5,77.1,75.6,76.6,73.8,72.9,72.6,72.1,71,70.5,68.7,68.3,66.7,68.3,66.3,66.3,63.2
14540,64.3,66,70.3,65.1,70.6,62.8,64.2,68.6,59.7,59.1,57.5,59.7,63,61.9,57.4,59.3,58.6,60.7,63.2
14580,67.7,71.2,68,68.3,70,63.9,64.6,65.2,64,64.2,66.6,63.1,67.7,62.2,64.5,63.4,63,61.5,65.1
14660,61.8,66.5,65.2,63.6,63.1,59.7,61.1,59.5,62.1,59.4,58.6,61.2,57.4,58.6,60.4,59.2,57.9,60.3,56.3
14700,59.2,57.7,54.6,62.8,59.3,59,57.7,57.2,57.4,56.6,49.5,56.4,51.8,50.4,54.9,56.6,55.7,55.4,54.8
14740,73,74.9,75.3,74.1,73.5,73.2,74,73.4,71.1,69,71.3,71.3,69.8,67.9,71.9,69.9,69.1,68.5,65.6
14860,72,73.7,72.8,73.2,73.3,73.3,73,71.8,70,70.6,71.6,70.6,69.5,68.7,67.5,68.9,68.1,66.6,63.9
15180,45.7,47.5,52.4,48.2,46.3,46.2,43.9,45.2,40.1,44.9,40.7,40.9,41.2,39.9,40.7,40.8,38.9,40.2,37
15260,66.1,58.3,61.5,59.8,59.7,61.3,60.3,55.1,53.3,57.5,52.6,60.5,56.3,47.2,57,55,48.8,45.9,55.2
15380,63.4,63.6,62.5,63.6,64,63.4,60.9,63.1,61.7,60.2,61.3,60.2,61.2,59.4,59.4,59.1,56.8,57,54.7
15500,65.8,65.6,69.6,67.1,64,68.4,63.7,65.4,58.9,60.6,59,63.3,59.1,62.1,61.2,60.3,63.8,61.2,58.8
15540,73,73.3,72.4,74.2,74.8,72,72.5,73,68.5,66.8,68.7,68.7,69.1,69.4,68.9,68.6,66.2,68.3,67.7
