StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10140,68309.0,71587.0,71335.0,71342.0,71797.0,72882.0,72546.0,71692.0,71078.0,70818.0,71122.0,71628.0,72697.0,73901.0,75061.0,73769.0,76841.0,77038.0,77290.0
10180,146427.0,158548.0,159439.0,160012.0,160266.0,164941.0,165858.0,167800.0,168144.0,166900.0,168922.0,170860.0,169747.0,174006.0,171795.0,171354.0,178608.0,180982.0,180224.0
10300,97102.0,102191.0,101243.0,100801.0,99837.0,99763.0,99440.0,98987.0,99188.0,99047.0,98573.0,98504.0,98623.0,98266.0,98451.0,98310.0,98956.0,98567.0,97520.0
10420,684459.0,700943.0,699356.0,698553.0,699935.0,702951.0,701456.0,702262.0,705686.0,703825.0,704243.0,702221.0,703505.0,704845.0,703479.0,703286.0,700015.0,697627.0,698398.0
10500,158772.0,165062.0,162767.0,163074.0,164238.0,162659.0,161617.0,155019.0,156277.0,152596.0,156997.0,152506.0,151754.0,151158.0,147384.0,147431.0,146961.0,146387.0,147062.0
10540,107920.0,111489.0,113264.0,115348.0,116584.0,116910.0,118122.0,118360.0,118765.0,119356.0,120547.0,122849.0,125047.0,127335.0,129749.0,127216.0,129839.0,130467.0,131496.0
10580,816044.0,850957.0,853358.0,853919.0,857592.0,870832.0,871478.0,874646.0,877905.0,880167.0,881830.0,881839.0,886188.0,883169.0,880381.0,880766.0,899286.0,904617.0,904682.0
10700,84662.0,87185.0,87644.0,88484.0,90399.0,93235.0,94166.0,94776.0,94760.0,94636.0,94725.0,95157.0,95548.0,96109.0,96774.0,96137.0,98228.0,99423.0,100756.0
10740,783920.0,815430.0,832774.0,841408.0,856216.0,892014.0,899149.0,902794.0,901932.0,905213.0,906209.0,913924.0,913113.0,916791.0,914480.0,915986.0,921311.0,923925.0,923518.0
10780,142353.0,150827.0,148925.0,151428.0,154101.0,154120.0,154505.0,154441.0,154753.0,154872.0,154484.0,154789.0,153984.0,153044.0,152037.0,152715.0,150890.0,149189.0,148171.0
