StateCode,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023
10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.86647658,21.81987092,22.0818823,22.00241411,21.92678186,22.10259794,22.08275088,22.22799265
10180,20.4536602,20.46479065,20.4452559,20.44539118,20.66690833,20.79172299,20.82724663,20.71807117,20.67399167,20.6590666,20.71806934,20.70827266,20.68436607,20.60240372,20.44073777,20.50686869,20.36150311,20.43425973,20.30701275,20.20523101,20.07656995,19.97405055,19.85840849,19.65643333,19.56809788,19.8473563,20.26953667,20.56834964,20.8723496,21.08692911,21.17960592,21.23713517,21.22536957,21.42966061,21.49504456,21.7644304,21.95580736,21.8780542,21.6096206,21.42768714,21.29344915,21.31990274,21.20578926,20.99564224,20.61978958,20.33709962,20.17396463,20.15026611,19.98217061,19.99533532,20.10802206,20.28721503,20.51093218,20.62581118,20.67632006,20.66941234,20.56468693,20.68418523,20.67053646,20.84948026,20.78251921,21.02884918,21.14291975,21.3708469,21.38081585,21.60539412,21.7837476,21.98967473,22.02217788,22.17434871,22.3047218,22.50483663,22.73476197,22.53001269,22.49926764,22.2649388,22.22525519,21.99078241,22.02874332,22.15703433,22.21627738,22.2465456,21.98849743,21.5261049,21.07522874,21.19321413,21.56819834,22.02450928,22.38964229,22.6934452,22.83288489,23.12877359,23.35314092,23.36959832,23.39089097,23.33458757,23.43264362
10220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.54664866,16.12718171,15.93473302,0,15.99546755,16.07495991
10420,16.96537037,17.02703236,17.03195682,17.08442396,17.16005528,17.31603652,17.50794402,17.52347466,17.44403713,17.42512559,17.34576031,17.45216501,17.49552168,17.42255495,17.17585207,17.07449723,17.05324417,17.15895279,17.1102775,16.96408535,16.78377276,16.68659711,16.5776525,16.46154078,16.34052084,16.3797226,16.412808,16.45206618,16.42855115,16.41265338,16.39895607,16.27905801,16.11980296,15.97267421,15.8278082,15.78992367,15.76385481,15.91601854,16.08303219,16.21380959,16.28148467,16.38339158,16.45201869,16.55967753,16.60634272,16.67043918,16.76813424,16.89102782,17.07099531,17.09495358,17.24205042,17.22770946,17.3223555,17.26525214,17.28711813,17.30399122,17.22210812,17.20959545,17.10746184,17.06698449,17.04279958,16.96667328,17.0874631,17.17636082,17.3410697,17.32584863,17.315652,17.22643252,17.09732872,17.04493922,17.00874459,17.11613173,17.17254025,17.26923054,17.24958672,17.39637092,17.63649166,17.89923776,17.9926876,18.10913437,18.1116782,18.09066095,18.07227932,18.05054171,18.03601303,18.1029921,18.25443995,18.57377944,18.66831588,18.95231507,18.98249736,19.05293553,19.00434171,19.00483129,18.98580972,18.99326668,18.94017537
10460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0884766,29.96491326,29.77817559,29.50771746,30.22879803,30.62772873,31.14374614,31.70008789,31.56159024
10500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.05998508,16.96370342,16.82012869,16.90285683,16.82736629,16.88467122,16.80526161,16.75992354,16.61195005,16.50489059,16.51222497,16.72554828,16.82072048,17.00465021,17.07801723,17.19235854,17.3412073,17.50969927,17.7403963,18.00446823,18.28192222,18.67395071,18.83993644,19.06294802,19.28665924,19.2466342,19.0974367,18.78621281,18.62370471,18.49864884,18.47293467,18.31402127,18.25679496,18.09370541,18.0671785,17.96426487,17.88404913,17.90676864,17.90757802,17.99573492,18.08811369,18.10205838,18.06191218,18.33839022,18.62512422,18.88733646,18.4801626,18.27762691,18.26784691,18.53076728,18.9332086,19.17135285,19.63872115,19.7579541,20.05645379,20.3650682,20.26502101,20.66585983,20.76215146,21.36392733,21.25689843,21.23399186,21.13332457,21.40637195,21.56083531,21.64132889,21.45689079,21.39632078,21.40326338,21.26737592,21.01104315,20.66623825,20.55502256
10540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.50756178,22.66958402,0,23.17623423,23.24491855,23.92250818,24.03653914,24.53993235,24.35377329,24.97717759,24.69409021,25.11579508,24.96916152,25.57014458,25.766765,25.66630274,25.87746696,26.08697708,26.53057825,26.73717422,26.83256049,26.84496505,26.52392962,26.40690112
10580,19.55894047,19.64728108,19.67447963,19.59378706,19.53114465,19.54570915,19.71006091,19.73978152,19.67205165,19.27636946,19.16719888,19.17359297,19.31473922,19.35569854,19.37355938,19.37221193,19.33584662,19.30892164,19.31760797,19.37788114,19.41511333,19.31149568,19.02289499,18.89082873,18.79562034,18.97161227,18.92661621,19.05679637,19.13489341,19.15689486,19.16196704,19.03230499,18.96161189,18.76200132,18.72603685,18.71822049,18.89308413,19.05287273,19.09455472,19.20308651,19.15827142,19.16369605,18.99307266,18.93795708,18.96514942,18.9785919,18.90557257,18.78864969,18.83369332,18.92900465,19.05329327,19.12106735,19.22822621,19.43277853,19.51817968,19.40569789,19.24712859,19.17788475,19.34002549,19.44807942,19.55227824,19.58964728,19.61847093,19.58067227,19.40155662,19.28784978,19.27389805,19.27439995,19.1873654,19.14203522,19.11199723,19.13580281,19.0649038,19.11035257,19.15532958,19.38508354,19.52468339,19.71343453,19.76562506,19.83840806,19.88230798,19.80979218,19.8619259,19.92263792,20.04407816,20.14952371,20.35645692,20.54974883,20.84173098,21.00266043,21.21168095,21.25981949,21.28910087,21.26592949,21.13832261,21.05066839,20.93026242
10620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
