StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
43900,14214.0,11502.0,16197.0,15322.0,16818.0,17131.0,17525.0,14592.0,17162.0,16673.0,14786.0,15404.0,17045.0,17892.0,12778.0,12937.0,12393.0,11717.0,14250.0
44060,10111.0,12855.0,14410.0,12663.0,13573.0,14110.0,15813.0,15020.0,23616.0,24091.0,21360.0,21619.0,21651.0,20119.0,15278.0,17533.0,13369.0,14023.0,19015.0
44100,9516.0,9529.0,8620.0,10254.0,8945.0,7231.0,8112.0,8226.0,7920.0,7843.0,8261.0,8767.0,7565.0,9362.0,9612.0,8385.0,9248.0,11554.0,8189.0
44140,15824.0,23096.0,22742.0,22157.0,19646.0,18261.0,23294.0,24659.0,19190.0,19599.0,21383.0,18399.0,18788.0,20358.0,21583.0,21102.0,22567.0,21190.0,12946.0
44180,14210.0,14245.0,15391.0,15294.0,16289.0,18465.0,19979.0,16695.0,16251.0,18022.0,18150.0,17958.0,20216.0,13061.0,8391.0,13409.0,13584.0,12543.0,12864.0
44220,6374.0,5785.0,8016.0,7713.0,6519.0,5946.0,6633.0,6972.0,6706.0,5983.0,6881.0,6484.0,7239.0,5980.0,6845.0,6421.0,4038.0,5121.0,5916.0
44300,5066.0,7517.0,5561.0,7359.0,5736.0,7005.0,5414.0,6763.0,7557.0,7522.0,9358.0,8356.0,8104.0,8641.0,8438.0,7682.0,8336.0,6026.0,4910.0
44420,4215.0,4942.0,4866.0,3922.0,5391.0,5615.0,5756.0,4699.0,7255.0,5571.0,6566.0,5095.0,3550.0,5125.0,5088.0,4667.0,4013.0,3566.0,1878.0
44700,11645.0,13009.0,19276.0,23547.0,20346.0,18404.0,21071.0,18844.0,19631.0,15673.0,15564.0,13432.0,16197.0,13644.0,18432.0,14100.0,13439.0,17589.0,14070.0
44940,4975.0,5417.0,5593.0,6160.0,8517.0,7718.0,5263.0,6140.0,6575.0,7085.0,6164.0,5836.0,6189.0,7886.0,10120.0,11812.0,8530.0,9884.0,7945.0
44980,4696.0,5746.0,5792.0,5491.0,5649.0,6699.0,5879.0,5956.0,5394.0,6237.0,4882.0,6693.0,7759.0,6655.0,7033.0,6474.0,5543.0,4936.0,6224.0
45060,27290.0,31105.0,34967.0,28056.0,30772.0,32200.0,35969.0,31142.0,32605.0,32878.0,36444.0,37740.0,37661.0,38916.0,41110.0,36166.0,26781.0,21689.0,24679.0
