StateCode,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,21.9,22,21.9,22.2,23.2,23.4,23.4,24.1,24.7,25.5,25.5,26.3,26.85,27.4,28.8,28.8
02,27.3,26.5,27.9,26.3,28,27.9,28,29.6,29.5,28.7,30.1,30.1,31.4,32.7,30.5,32.2
04,25.1,25.5,25.9,26.5,27.3,27.3,27.5,27.7,28.8,29.3,29.7,30.1,31.25,32.4,32.9,33.5
05,18.7,18.8,19.4,20.3,20.9,20.6,21.3,21.8,22.3,23.4,23.3,23.3,24.25,25.2,25.4,26.1
06,29.5,29.8,30,30.2,30.9,31,31.7,32.2,32.9,33.6,34.2,35,35.55,36.1,36.9,37.4
08,35.5,35.8,36.3,36.6,37.4,37.7,38.3,39.2,39.8,41.2,41.6,42.6,43.5,44.4,45.9,46.4
09,35.6,35.5,35.5,36.1,37,37.2,38,38.3,38.6,38.6,39.5,39.8,40.95,42.1,41.8,42.9
10,27.4,28.7,27.8,28.8,29.5,29.7,30.5,30.9,30.9,31.4,31.3,33.2,34.4,35.6,36.5,36.4
11,48.2,48.4,50,52.4,52.9,55,54.9,56.7,56.8,57.3,60.4,59.6,61.3,63,65.3,65.9
12,25.8,25.2,25.7,25.8,26.8,27.2,27.2,28.4,28.6,29.6,30.3,30.6,31.85,33.1,34.2,34.9
13,27.4,27.5,27.2,27.5,28.2,28.3,29,29.9,30.4,30.9,31.8,32.5,33.55,34.6,34.6,35.4
15,29.1,29.5,29.5,29,30,31.1,31,31.3,31.9,32.9,33.5,33.6,34.45,35.3,35.4,36.9
16,23.9,23.8,24.3,25.2,25.4,26.2,25,25.9,27.6,26.7,27.6,28.7,29.7,30.7,32.2,32.1
17,29.8,30.5,30.7,31,31.6,32.1,32.7,32.9,33.9,34.4,35,35.7,36.4,37.1,37.6,38.2
18,22.8,22.5,22.6,23,23.4,23.8,24.6,24.9,25.6,26.8,27.1,26.9,27.85,28.8,29.6,30.2
19,24.2,25,24.9,25.8,26.3,26.4,27.6,26.8,28.4,28.9,29,29.3,29.9,30.5,32.3,31.5
20,29.6,29.4,29.7,30.1,30.3,31,31.5,31.7,32.8,33.7,33.8,34,34.65,35.3,35.6,35.8
21,19.6,20.9,20.5,21,21.7,22.5,22.2,23.2,23.4,23.9,24.8,25.1,26,26.9,27.8,27.8
22,20.2,21.4,21.4,21.1,21.9,22.5,22.9,23.1,23.3,23.7,24.2,24.9,25.65,26.4,27.1,26.9
23,25.3,26.9,26.7,28.3,27.9,28.2,29.3,30.1,30.1,32,31.5,33.1,34.5,35.9,36,36.9
24,35.1,35.6,36,36.8,36.9,37.4,38.2,38.7,39.3,39.6,40.8,40.8,41.65,42.5,43.8,43.7
25,38,38.2,38.9,39.1,39.2,40.2,41.1,41.4,42.7,43.4,44.5,44.9,45.75,46.6,46.6,47.7
26,24.7,24.5,25.1,25.6,26,26.8,27.3,27.7,28.2,29.1,29.5,30,30.8,31.6,32.1,32.6
27,31.5,31.4,31.8,32.3,33.1,33.5,34.2,34.6,34.8,36,36.7,37.2,38,38.8,39.1,39.9
28,19.3,19.5,19.5,19.8,20.6,20.3,21,20.8,21.7,21.8,23.1,22.3,23.5,24.7,24.7,25.5
29,25,25.2,25.5,26,26.4,26.9,27.4,27.8,28.4,29,29.5,30.2,30.95,31.7,32.2,33.2
30,27.1,27.3,28.8,28.2,29.4,28.9,29.2,30.6,30.9,32.3,31.7,33.5,34.1,34.7,34.5,34.6
31,27.1,27.3,28.6,27.9,28.9,29.3,29.5,30.2,31.4,31.6,32.4,33.2,33.8,34.4,34.6,35.2
32,21.8,21.7,21.6,22.4,22.3,22.5,23.1,23.5,23.4,24.8,24.8,25.6,26.55,27.5,27,28.7
33,33.3,31.9,32.7,33.3,34.5,34.5,35,35.6,36.5,36.9,36.8,37.5,38.85,40.2,41.3,40.7
34,34.4,34.5,35.3,35.2,36.2,36.5,37.3,37.5,38.5,39.7,40.7,41.2,42.15,43.1,43.5,43.7
35,24.7,25.3,24.9,25.5,26.1,26.3,26.4,26.4,27.1,27,27.6,27.6,28.8,30,30.4,31.6
36,31.9,32.3,32.5,32.9,33.3,34,34.4,35,35.6,36,37.2,37.8,38.85,39.9,39.9,40.6
37,26,26.5,26.4,26.9,27.3,28.3,28.7,29.4,30.4,31.3,31.9,32.2,33.55,34.9,35.9,36.7
38,26.8,25.7,27.6,26.3,27.9,27.1,27.4,29.1,29.5,30.7,29.6,30.4,31.05,31.7,31.8,33.5
39,24,24.1,24.6,24.6,25.2,26.1,26.6,26.7,27.5,27.9,28.9,29.2,29.95,30.7,31.9,32
40,22.1,22.7,22.8,23.8,23.7,23.7,24.1,24.6,25.2,25.5,25.6,26.2,27.05,27.9,28.5,28.7
41,28.1,29.1,28.7,29.3,29.9,30.7,30.8,32.1,32.6,33.7,33.9,34.5,35.4,36.3,36.3,37.6
42,26.2,26.3,27,26.9,27.8,28.6,28.9,29.6,30.7,31.4,31.8,32.3,33.4,34.5,35,35.3
44,30,30.4,30.2,31.1,31.4,32.3,30.4,32.7,34,33.4,34.3,34.8,35.65,36.5,39.6,39
45,23.6,24.3,24.5,24,25,26,26.2,26.8,27.2,28,28.3,29.5,30.5,31.5,32.5,32.9
46,25,25.1,26.2,26.3,26.2,26.5,27.7,27.5,28.8,28.1,29.2,29.7,30.65,31.6,31.5,33.2
47,22.8,23,23.1,23.6,24.2,24.7,25.2,25.7,26.1,27.3,27.4,28.7,29.55,30.4,31,31.6
48,25.3,25.5,25.9,26.4,26.7,27.5,27.7,28.3,28.8,29.5,30.3,30.7,31.9,33.1,33.9,34.2
49,29,28.4,29.3,29.7,30.7,31.3,31.1,31.8,32.5,34.6,34.8,34.7,35.75,36.8,37.9,38.3
50,32.1,33,33.6,35.4,35.7,35.7,34.8,36.9,36.3,38.2,38.7,38.6,41.5,44.4,44.2,43.6
51,33.6,33.9,34.2,35.1,35.4,36.1,36.7,36.9,38,38.7,39.3,39.5,40.65,41.8,42.1,42.4
53,30.7,31,31,31.8,31.6,32.7,33.1,34.1,35.1,35.4,36.6,36.9,37.9,38.9,39.4,40.4
54,17,17.2,17.5,18.4,18.6,18.9,19.1,19.5,20.8,20.2,21.3,21,22.55,24.1,24.7,23.9
55,25.6,25.6,26.3,26.4,27.1,27.7,28.4,28.3,29.4,30.3,30,31.3,31.9,32.5,33.2,33.7
56,23.6,23.7,24.1,24.7,24.7,26.5,26.5,26.2,27.1,27.6,26.8,29.1,29.15,29.2,29.5,30.4
72,21.1,21.4,22.2,23.3,24.2,24.2,24.4,24.7,25.2,25.7,26.6,27.2,27.8,28.4,29.8,30.7
