state_id,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501
AK,62,68,71,79,87,99,100,94,66,51,48,48,53,60,67,76,85,99,101,94,64,58,54,52,58,63,71,80,91,101,107,97,72,52,51,54,60,64,71,77,87,98,94,82,59,61,59,47,47,52,53,59,71,80,81,62,44,33,28,28,29,34,44,52,62,80,90,58,30,21,23,26,30,44,55,61,70,86,93,81,51,40,38,33,33,43,61,63,74,86,95,87,60,49,42,43,48,54,61,69,79,94,98
AL,78,83,85,88,93,99,104,98,79,71,71,73,75,77,79,83,88,93,99,94,72,67,65,66,72,73,77,81,86,92,98,91,78,66,63,64,66,68,71,73,78,87,91,84,66,67,71,69,63,57,58,59,59,66,68,55,44,40,37,34,33,35,42,49,51,54,60,41,32,30,30,31,37,43,50,52,57,66,75,68,55,51,50,49,50,50,52,55,58,67,77,72,55,53,53,54,58,59,62,65,68,77,84
AR,77,80,83,86,88,95,99,94,79,74,74,74,73,74,77,81,86,89,95,91,72,69,67,67,68,70,74,78,81,87,92,88,77,71,68,68,72,73,74,75,78,87,89,85,69,72,75,70,63,60,60,59,62,68,73,70,56,41,39,37,36,38,44,47,51,58,63,54,44,38,36,38,38,46,52,53,54,66,77,74,61,56,52,51,53,53,52,57,59,66,75,73,58,54,54,57,57,57,59,64,67,73,77
AZ,62,65,64,58,57,65,71,63,52,51,52,54,56,58,56,52,52,61,66,54,49,48,47,50,51,52,51,50,51,58,65,54,50,50,50,52,56,55,51,49,50,60,65,50,44,42,53,58,50,38,35,34,40,44,45,36,31,29,29,29,29,30,32,33,35,40,42,31,30,26,24,26,32,39,48,52,58,69,74,63,52,51,46,45,47,48,44,43,44,57,64,51,50,54,58,64,57,58,58,54,58,67,70
CA,45,46,50,51,54,64,66,50,42,36,36,37,40,41,43,44,47,54,54,36,36,36,33,36,38,40,43,44,47,58,62,46,43,41,40,44,47,48,51,53,57,68,68,46,44,50,57,49,46,43,42,42,47,57,57,38,34,33,32,31,31,33,36,37,42,48,45,29,27,27,27,30,33,40,47,48,52,64,69,53,46,43,37,38,39,41,43,43,47,57,60,43,40,37,35,40,44,46,47,49,54,65,66
CO,45,51,58,63,71,80,87,73,48,44,43,42,43,50,57,63,70,81,84,70,49,43,40,38,42,47,50,54,60,72,79,65,52,44,39,39,44,48,53,58,65,77,82,72,45,46,52,43,44,44,44,44,51,62,66,42,34,30,26,23,27,30,33,36,43,53,54,30,23,18,18,23,29,38,44,50,57,70,77,68,48,39,37,36,38,44,49,51,57,71,76,61,43,40,38,40,45,52,57,60,67,79,80
CT,71,80,86,86,88,94,100,93,67,60,54,56,65,71,78,78,79,89,98,93,61,54,53,55,64,72,77,79,80,91,99,94,73,53,51,55,64,69,71,74,75,90,96,87,56,63,73,51,43,45,44,43,50,62,71,64,37,29,28,28,33,37,44,45,50,60,67,41,27,19,18,23,29,38,44,42,48,62,68,48,37,30,25,28,32,42,40,41,45,54,59,47,39,32,27,33,37,39,39,40,46,58,62
DC,39,44,35,30,38,49,53,35,32,31,28,31,36,44,27,32,43,50,55,38,29,26,26,30,37,43,32,31,41,51,57,38,32,27,27,32,37,35,33,33,40,53,58,33,30,37,43,35,31,30,32,34,41,52,57,40,38,36,35,35,38,42,36,33,45,55,62,37,34,35,36,35,42,45,41,36,47,60,65,45,38,36,38,43,44,47,44,40,50,64,64,48,41,39,41,46,52,54,50,45,54,67,73
DE,79,82,85,84,89,99,110,111,95,73,73,73,74,79,80,79,79,89,101,93,66,64,62,66,70,73,76,75,79,87,100,99,81,63,61,66,71,71,70,69,73,84,93,84,59,66,76,79,61,50,46,50,54,62,66,64,51,43,37,33,35,37,39,39,44,53,60,49,33,39,38,38,40,44,51,50,51,66,79,61,51,49,44,45,49,53,51,46,50,56,69,62,47,45,45,46,52,53,51,51,56,65,72
