state_id,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501
AK,3784,3737,3635,3297,2983,2640,2358,2381,2453,2729,3042,3395,3710,3932,3878,3648,3417,3007,2701,2687,2895,3050,3314,3736,4017,4103,3916,3596,3265,2947,2599,2628,2755,2925,3201,3462,3601,3546,3397,3250,2910,2612,2273,2191,2187,2278,2434,2518,2458,2378,2233,2030,1790,1564,1315,1218,1171,1221,1312,1490,1715,1850,1757,1552,1251,1047,840,737,765,912,1145,1452,1813,1767,1595,1484,1367,1173,1008,930,943,1005,1075,1224,1523,1645,1684,1559,1482,1315,1159,1089,1101,1177,1395,1705,1893,2035,2008,1852,1640,1439,1262
AL,30468,29926,29557,28923,27925,27071,25612,25774,25913,26204,26520,26457,26519,26367,26102,25586,24859,23744,22568,22631,22863,23093,23384,23580,23769,23753,23549,23328,22713,21764,20720,20559,20424,20454,20491,20805,20824,20689,20460,20221,19495,18631,17550,17274,16929,16995,16305,14977,13878,13180,12406,12077,11683,11090,9939,8619,8045,7653,7224,7407,8488,9247,9143,8997,8492,7925,6947,6505,6578,6952,8171,9627,11163,11733,11864,12433,12826,12409,11630,11092,10925,10987,11204,11579,12259,12783,13604,14579,15056,14724,13969,14090,14587,15072,15776,16557,17376,18136,18819,19329,19272,18468,17735
AR,17574,17375,16947,16721,16345,15764,14986,15247,15314,15524,15617,15929,15717,16115,16023,15690,15327,14767,13887,13770,13868,14121,14408,14854,15235,15311,15289,15428,15188,14555,13991,13916,13755,13542,13529,13588,13509,13403,13231,13037,12756,11965,11248,10950,10761,10594,9817,9015,8459,7722,7260,7019,6612,6241,5528,4801,4538,4345,4228,4566,5156,5560,5672,5596,5219,4842,4289,3976,3945,4055,4691,5348,6530,6928,7041,7427,7897,7552,7010,6730,6681,6720,6853,7140,7512,7879,8375,8940,8998,9000,8530,8286,8459,8766,9144,9586,10029,10559,10904,11069,11226,10745,10191
AZ,30283,29370,29305,30518,30884,29804,28983,29077,28882,28831,28411,27523,26807,26341,26465,27742,27827,26319,25543,25422,25153,24920,24308,23997,23685,23994,24289,25944,26726,26182,26399,27130,26599,26038,25126,23823,22344,21606,21632,21674,21394,19765,18560,17451,17144,20068,18861,14614,12457,11691,11582,11711,11120,9531,8079,6674,6421,6821,7085,7978,9232,9907,10349,10631,10296,9220,7980,6826,6765,7686,11135,15372,20621,23182,23725,25185,24771,21639,19785,18317,16905,15448,14594,14137,13894,14544,15422,17563,19101,18811,18084,18606,20461,22390,24558,21737,21342,21152,22369,24100,25223,23703,24365
CA,83653,84217,82769,79935,74465,63828,58469,58022,59104,62067,66223,69107,71686,71529,70769,69070,64646,55937,52155,54877,57857,62710,68443,73817,78816,82195,85858,86995,85791,75420,69935,70473,71798,73600,79124,81007,82924,81716,79669,77411,70562,57720,51831,51455,52489,54869,57818,54730,50226,47061,47014,47793,44523,36847,30995,29404,29422,30689,32106,34887,39163,40208,40067,39135,33635,26612,22698,23715,26338,29492,40426,48883,59196,59973,58145,58449,56046,46827,40126,36953,34821,33489,35289,37531,39845,41612,43688,45905,46119,40314,36174,36326,38622,42968,48586,53171,57148,58649,61418,62030,60379,50412,47924
CO,24590,24837,24444,23041,20510,17815,16228,15864,16413,17375,18803,20767,22584,22897,22370,20909,18624,15902,14581,14517,15232,16459,17898,20381,22086,22898,23363,23019,21810,19132,17443,17349,17960,18894,20727,23161,24928,24682,24147,23581,20988,18800,15193,14312,15360,16367,18163,19181,18358,17300,15916,14298,12042,10069,8549,7935,7815,7719,8117,9578,11094,11545,11481,10819,8904,8516,5898,5912,6411,7382,10316,13367,17129,18029,17943,17871,16804,14061,12224,11293,11316,12189,13246,15049,16782,17661,18186,17901,17071,14668,12893,12958,14068,16029,18446,21793,23738,24593,25151,25243,23063,19184,17850
CT,24227,23522,22870,22187,20373,18231,16355,16276,16893,17558,19302,20036,20162,19762,19680,19296,18140,16078,14137,14185,15067,16140,17506,18609,19132,19000,19161,18831,17804,15974,14295,14330,14836,15425,16708,17619,17744,17561,17358,17057,15545,13335,11738,11584,11797,11264,10818,10225,9742,9173,9044,8959,8116,7041,5748,4878,4832,5150,5627,6383,7177,7372,7136,6779,5679,4670,3757,3335,3414,3821,4712,5341,5922,5708,5523,5523,5162,4305,3607,3323,3266,3465,3729,3932,3920,3943,4182,4300,4233,3529,3167,3071,3158,3432,3808,4266,4480,4585,4956,4971,4610,3677,3271
DC,1329,1203,1339,1416,1427,1262,1124,1206,1235,1286,1413,1533,1472,1275,1525,1625,1668,1318,1099,1037,1158,1334,1402,1504,1512,1412,1610,1832,1836,1493,1278,1246,1327,1427,1504,1618,1566,1582,1666,1727,1653,1335,1190,1134,1174,1261,1326,1395,1432,1482,1757,1965,1939,1717,1476,1445,1499,1581,1649,1845,1809,1709,2019,2184,2055,1667,1371,1358,1478,1550,1787,1948,1884,1824,1988,2195,2113,1797,1547,1490,1568,1709,1735,1770,1776,1722,1941,2061,1978,1699,1586,1655,1879,2138,2304,2419,2349,2270,2542,2691,2617,2321,2132
DE,7009,6971,6940,6911,6694,6177,5844,5886,5922,6134,6179,6146,6145,5933,5905,6038,5783,5278,4849,4858,4865,5079,5185,5305,5303,5273,5282,5311,5230,4938,4540,4559,4641,4735,4802,4844,4669,4547,4466,4395,4183,3862,3613,3590,3614,3498,3425,3168,2813,2561,2351,2203,2059,1886,1588,1436,1361,1371,1356,1584,1731,1734,1775,1792,1625,1461,1263,1276,1335,1347,1639,1764,1986,2021,2011,2160,2186,1977,1782,1692,1688,1691,1741,1826,1888,1889,2013,2087,2134,2044,1916,1933,2014,2125,2228,2369,2382,2455,2584,2684,2687,2503,2374
