StateName,1/31/2005,1/31/2006,1/31/2007,1/31/2008,1/31/2009,1/31/2010,1/31/2011,1/31/2012,1/31/2013,1/31/2014,1/31/2015,1/31/2016,1/31/2017,1/31/2018,1/31/2019,1/31/2020,1/31/2021,1/31/2022,1/31/2023
1,2.43346195,2.873781856,5.756504456,2.380145853,5.4677854,0.746740457,-6.120263104,-9.73026943,-5.656181394,-2.1145034,-5.032416645,-4.932334636,-5.662369244,-5.951097194,-5.618983796,-0.887202997,7.420995657,11.26099751,13.3652087
2,-4.51461011,-0.94577542,-1.764429859,-4.184019533,-1.976683129,1.348085132,-3.428589714,-4.159795053,-5.917259271,-3.231559883,-2.963841822,-3.2604979,2.006067901,1.685064566,1.297651363,8.239613516,9.366686501,3.712808901,8.691083815
4,2.317152072,33.48082524,30.01221099,16.50929858,-8.274470805,-18.05911484,-26.48028242,-32.96247654,-21.85516717,-12.39053607,-11.15022037,-7.04842825,-6.43133271,-4.078530348,-1.267796487,-0.04252553,9.221408938,29.55631019,28.94367553
5,1.087861141,4.688559931,5.314943058,4.462286985,5.253578392,0.815504949,-2.326373994,-6.858208419,-4.706058028,-4.961938789,-4.297085944,-4.656802031,-4.715286707,-3.618792414,-4.652850168,-3.713140694,2.229975096,10.91020239,9.743625246
6,14.90699446,27.37151681,22.57684942,8.293077352,-14.97603729,-19.07099097,-20.34775124,-26.63408414,-22.24960386,-8.257951247,-4.269057861,-4.082068391,-3.378888771,1.939829703,2.652879844,2.080302345,9.417019026,17.5843484,16.44361641
8,-0.975467373,-0.722987568,-5.670251036,-9.393722794,-10.80206309,-9.564596804,-14.21666021,-18.29303456,-15.47695541,-12.03502163,-7.975010323,1.285837569,5.628403178,9.690637058,8.736239415,9.85490652,16.36529325,26.39193752,27.17251628
9,19.11000091,27.56267979,25.24741079,17.33573896,10.24409318,7.836761117,1.390655991,-7.212917357,-8.299107079,-9.849618876,-11.07015975,-12.2113222,-11.9704156,-11.75898333,-13.63443486,-14.55065044,-7.890516574,-2.950878764,2.671664109
10,4.515113724,17.31039524,20.95226663,13.50242508,8.047624769,4.459092743,-4.831995137,-10.79131877,-11.83693451,-10.33972661,-9.808164981,-6.322804521,-3.559117021,-3.936541349,-8.680531467,-7.155907383,1.733252559,-0.892200151,7.635071161
11,8.123238229,16.67889161,13.34851688,7.24366933,-0.679647182,-6.99998943,-9.073021581,-14.65061687,-8.552198419,-3.130837362,-1.758210798,4.657192183,-0.323691136,0.070060148,-2.985867508,0.157284486,8.123196647,-1.129844087,-9.118125133
12,7.272887777,27.61597278,31.84243212,16.31790064,-2.238786741,-16.57068486,-22.77289486,-29.11457409,-26.13194999,-17.54071058,-13.33526509,-7.535599965,-3.11009451,-0.660148205,-0.647770893,0.557774192,6.544690699,19.25970103,30.24712052
