StateName,1/31/2005,1/31/2006,1/31/2007,1/31/2008,1/31/2009,1/31/2010,1/31/2011,1/31/2012,1/31/2013,1/31/2014,1/31/2015,1/31/2016,1/31/2017,1/31/2018,1/31/2019,1/31/2020,1/31/2021,1/31/2022,1/31/2023
1,3.132639586,3.146105533,3.234265503,3.131009063,3.225435842,3.081055949,2.871047942,2.760646043,2.885240577,2.993552846,2.904316669,2.907377396,2.885051339,2.876221406,2.886378161,3.03108638,3.285169289,3.402604955,3.466956341
2,3.58289764,3.716811,3.686092635,3.595302388,3.678128257,3.802883514,3.623648376,3.596211363,3.530266045,3.631041525,3.641087108,3.629955684,3.827572997,3.815527991,3.800991088,4.061474287,4.103765439,3.891615028,4.078414804
4,4.312022975,5.62537535,5.479195125,4.910132486,3.865652838,3.453291772,3.098392644,2.825209024,3.293312096,3.692186634,3.744458122,3.917322803,3.94332949,4.042485278,4.160939992,4.212577439,4.602993879,5.45998178,5.434163091
5,3.077224175,3.186833353,3.205901135,3.179945359,3.204033128,3.068933357,2.973291153,2.835337196,2.900850989,2.893061701,2.913300543,2.902350395,2.900570058,2.933948534,2.902470694,2.93107647,3.111991363,3.3762269,3.340715026
6,7.424683727,8.230075398,7.920269288,6.997327299,5.49379988,5.229205578,5.146708066,4.740518401,5.023820384,5.927887155,6.1856284,6.197710673,6.24314643,6.586813956,6.632887494,6.595890557,7.06995048,7.597680213,7.52397213
8,4.470682636,4.482081398,4.258726192,4.090621783,4.02703913,4.082907296,3.872879553,3.688842572,3.815980725,3.971374476,4.154672711,4.572774274,4.768829051,4.952227629,4.909139226,4.959643939,5.253569819,5.706244962,5.741485925
9,4.35538579,4.66446712,4.579806809,4.290507986,4.031194301,3.943167605,3.707458811,3.392859862,3.353142162,3.296446024,3.251815629,3.210087792,3.218896802,3.226628051,3.158050141,3.124547729,3.368082715,3.548705905,3.754300256
10,4.23568907,4.754244063,4.901838361,4.599918272,4.378851316,4.233418705,3.856878337,3.61536454,3.57298882,3.633666237,3.655208861,3.796460233,3.90846433,3.893168436,3.700908519,3.762697033,4.122948448,4.016546599,4.362131736
11,6.791855687,7.32928653,7.120086131,6.736604798,6.238894748,5.841876927,5.711657601,5.361296079,5.744373563,6.084921095,6.171143832,6.574132976,6.261254438,6.285988269,6.094027503,6.291467342,6.791853075,6.210615236,5.708824382
12,4.285191207,5.097829058,5.266661899,4.646509061,3.905231789,3.332720644,3.084963207,2.831634443,2.950780248,3.293971378,3.461964786,3.693641909,3.870425973,3.968293091,3.968787523,4.016944996,4.256102182,4.764024096,5.202934564
13,3.351732245,3.398520249,3.354956399,3.24169558,3.193151139,2.954750347,2.764620447,2.468851139,2.523981829,2.761043024,2.848036635,2.92094501,2.939787984,3.035778152,3.12605839,3.204158581,3.459690481,3.845255488,4.141797919
15,5.936606481,7.101676859,7.347135674,6.923085125,6.857623065,6.361192248,6.753214811,6.092214602,6.149451533,6.5422436,6.641776323,6.950093024,7.035890048,7.199012164,7.184516542,7.20809692,7.596238091,8.090546163,8.563787522
16,3.463512048,4.052185177,4.196832657,4.160801671,4.117601514,3.772775994,3.397744791,3.077415294,3.27970933,3.526833543,3.653813709,3.670392978,3.963871761,4.078869474,4.214983195,4.483580799,5.231836491,6.182958566,5.914974543
17,3.62369615,3.799308622,3.792254189,3.596486215,3.369573698,3.114743096,2.885023652,2.558691011,2.465003343,2.623842448,2.660559539,2.72219801,2.746482198,2.795653192,2.69984665,2.716624615,2.852007703,2.94393444,2.963208322
18,2.435817501,2.483363484,2.431640463,2.420153409,2.499484651,2.497531744,2.354813407,2.287381021,2.305777738,2.276224415,2.312179817,2.328940859,2.372341915,2.452176423,2.543929455,2.600694476,2.771430746,2.985764049,3.105466536
19,2.468436683,2.547519195,2.460763319,2.41124884,2.436153451,2.415913918,2.316867052,2.215679934,2.248007496,2.284464246,2.300827362,2.382255041,2.355317801,2.381192654,2.418377627,2.464348141,2.558635537,2.641707373,2.77354558
20,2.46679486,2.389430166,2.372676346,2.296174578,2.400509156,2.38181228,2.296858678,2.173082056,2.211292441,2.191443399,2.206255736,2.288131466,2.295919147,2.314608178,2.279821542,2.375872436,2.573516445,2.692295148,2.88004139
21,2.67682885,2.650578825,2.663261477,2.597156452,2.671757439,2.63812575,2.536254357,2.43355731,2.381343176,2.462687818,2.399128322,2.443545046,2.469075661,2.49451502,2.55212428,2.617656855,2.839696948,2.939355739,3.08882182
22,3.505443464,3.534012174,3.658432818,3.518398987,3.594965474,3.571838967,3.610097319,3.417395245,3.381585685,3.465854652,3.492270794,3.73449594,3.664179818,3.558227567,3.363079087,3.51253657,3.65844141,3.61791846,3.478311022
23,4.247761104,4.531747727,4.333799185,4.227694951,4.079292561,3.826394829,3.734365885,3.631025252,3.607927015,3.531821129,3.438159088,3.511254564,3.491645153,3.767704984,3.776410729,3.785498355,4.218639549,4.589457997,4.737256192
24,4.245008855,4.84473573,4.979505626,4.644579429,4.158456249,3.789970048,3.543827463,3.320608717,3.361732358,3.503364648,3.529647372,3.502392867,3.517455089,3.539410723,3.499190054,3.566169377,3.795063369,3.960877181,3.953434474
25,6.019106603,6.029234323,5.543530721,5.061111509,4.772935972,4.801307135,4.705595821,4.31517136,4.336292733,4.48644025,4.57822678,4.575640632,4.723940124,4.876173048,4.742904196,4.772460556,5.174659694,5.422557966,5.478805921
