StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,70.5,71.7,70.9,70.9,69.5,70.1,69.8,68.7,68,67.6,67.8,68.4,68,68,68.7,69.35,70,70.2,70.1
02,63,64.4,63,64.9,65.2,63.9,63,63.3,63.4,62.4,63.9,64.4,63.5,65.6,64.7,65.7,66.7,66.1,66.3
04,68.1,68.4,68,68.1,67,65.2,63.7,62.5,62,61.1,61.9,63.2,64.7,64.8,65.2,66.4,67.6,67.4,67.6
05,67.7,68.2,67.7,67.3,66,67.4,66.5,66.2,65.7,65.7,65.1,64.5,65.2,65.7,65.4,66.15,66.9,66.4,66.1
06,58.4,58.4,58,57,56.5,55.6,54.8,54,53.7,53.7,53.5,53.6,54.7,54.8,54.8,55.3,55.8,55.8,55.9
08,67.8,68.7,68.8,67.4,67,65.9,64.3,64,64.5,63.8,63.7,64.7,65.2,65.1,65.8,66.3,66.8,66.4,65.6
09,69.4,69.5,70,68.9,68.8,67.9,67.4,66.9,66.3,66.3,66.1,64.7,66.2,65.7,65,65.8,66.6,66.2,65.7
10,72.3,74.4,72.4,73.4,73.6,72.9,71.5,70.8,71.6,70.2,70.8,69.7,70.9,71,70.3,71.4,72.5,74,73.5
11,42.5,45.7,44.5,43.4,44.7,42.4,41.1,41.5,40.6,40.5,39.9,39.2,42.2,42.2,41.4,41.45,41.5,41,39.1
12,69.5,70.2,70.6,69.6,68.4,68.1,66.7,65.6,64.7,64,63.7,64.1,65.1,65.9,66.2,66.75,67.3,67.1,68
13,66.8,67.6,68.5,67.4,67,66.1,64.5,63.6,62.6,62.2,61.8,61.5,62.8,63.8,64.1,65.05,66,65.8,66
15,59.6,59.5,59.5,59.1,56.6,57.9,56.7,56.9,56.2,56.6,56.6,57.1,58.5,58.2,60.1,61.3,62.5,62.5,62.4
16,71.4,71.2,72,70.8,71.5,69.6,68.7,68.3,69.3,68,68.9,68.4,69.6,70.7,71.5,71.65,71.8,72.3,72.5
17,69.8,69.8,70,69.2,67.9,67.7,67.3,66.6,65.9,65.4,65.2,65.2,66.1,65.9,66,66.75,67.5,67,67.3
18,72,72.1,71.6,71.8,70.4,70.2,69.7,69.3,68.5,68.5,68.1,68.3,69,68.9,69.3,70.15,71,70.7,70.4
19,73,73.2,73.6,72.8,72,72.3,72.3,71.9,70.8,70.8,70.6,70.6,71.5,71.2,70.5,71.2,71.9,72,71.7
20,69.4,69.9,70.1,69.4,67.7,68,67.8,66.3,66,66.6,66.4,65.6,65.8,66.1,66.4,66.7,67,67.7,66.6
21,70.6,70.6,70.7,69.5,68.6,68.6,68.8,67,67.3,66,66.3,66.8,66.4,67.3,67,67.8,68.6,68.7,68.7
22,67.8,68.4,67.9,68.5,67.9,67.5,66.4,65.7,65.9,64.4,64.5,64.2,65.1,65.4,66.4,66.85,67.3,67.6,68
23,71.7,72.7,73.9,72.1,72.7,72.6,70.9,71.4,70.1,71.3,70.9,71.8,73.1,71.2,72.1,73.45,74.8,74.1,74.4
24,68.9,69.4,69.9,69.4,68.5,67,67.3,66.4,66.4,65.8,65.9,65.8,66.7,66.9,66.8,67.3,67.8,67.7,67.9
25,64,64.9,65,64.5,64.2,62.2,62.1,62.2,61.5,61.5,61.7,61.9,62.3,61.7,62.1,62.6,63.1,62.2,62.2
26,74.6,75.1,74.8,73.9,73.1,72.7,71.7,71,70.5,70.2,70.4,70.3,71.3,71.1,71.5,72.35,73.2,73.1,73.7
27,75.7,76.2,75.2,74.6,73.7,73,72.7,71.4,71.5,71.6,70.9,71.2,71.5,71.4,71.9,72.4,72.9,72.1,71.9
28,69.8,70.6,71.2,70,69.4,69.7,69.8,68.1,67.1,67.6,67.3,67.2,68.5,68.2,67.3,68.45,69.6,69.9,71
29,70.6,70.6,70.6,70.1,69,68.9,68,67.4,66.9,66.9,66.1,66,66.9,66.7,67.1,67.95,68.8,67.6,68.7
30,69,69.8,69.6,68.5,69.2,69.6,67.9,67,66.8,66.3,66.6,68,69.1,67.4,68.8,69.1,69.4,68.8,69.2
