StateCode,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,1.344722257,1.273518,1.01450062,1.096312026,-0.36336843,0.357381344,0.337641068,0.02100872,0.82204466,0.469241813,0.531421197,1.277430521,0.710241297,0.448892189,0.627898895,0.623980926,1.122312432,0.87784912
02,0.854707088,2.053942659,0.40103305,0.173604373,8.161468148,1.340758471,-1.142096908,-0.068589335,0.375385877,0.28583373,0.393920886,2.026574651,0.436637137,0.475888325,1.253958677,1.238429285,0.38763118,0.158281687
04,2.369100041,2.397417369,2.067890011,1.11458722,3.402724024,0.619024301,0.248781578,0.72690586,0.586960332,0.68183943,1.091195365,1.284946048,1.224232583,1.322374701,1.018140809,1.00787918,1.525129154,1.660728172
05,1.946736732,1.102452976,0.831396722,0.898722515,0.608851595,0.504849683,0.283433914,0.116847673,0.850067342,0.485951259,0.534506581,1.12990764,0.759939538,0.625705802,-0.302017264,-0.302932171,1.083961969,0.957846583
06,1.428311433,1.016517846,0.6419708,0.301579578,1.849256137,0.279259424,-0.09467111,0.605951315,0.800013806,0.624424796,0.521689437,0.824208159,0.709565382,0.624357966,0.505105028,0.502566539,0.791695289,0.926270734
08,2.048385479,1.533145447,1.164167009,0.733136195,2.138473049,0.469637288,0.26408518,0.751164742,1.289953104,1.442792627,1.299974622,1.981711227,1.619496163,1.649294097,1.555815916,1.53198111,1.945148405,1.848811194
09,0.625780293,0.439727701,0.322825516,0.18348217,2.930822221,0.391542889,-0.404272437,0.004704295,0.373637835,0.162288971,0.206476228,1.224031031,0.239078218,0.252182105,0.372731332,0.371347205,0.258083077,0.371228313
10,2.132461213,1.502614492,1.118833613,0.840528594,2.578797285,0.809369995,0.129093975,0.416028934,1.310146475,1.035185775,1.048053987,1.571966942,1.34133297,1.163774139,1.601526938,1.576282351,1.708815707,1.216820809
11,1.84501845,0.471898197,0.396854715,-0.06973574,4.093083278,0.698028541,0.447963922,0.908585265,1.059163297,1.114362605,1.326567527,0.363401051,1.504241797,1.012269267,5.369655591,5.096017028,0.945502151,1.735566505
12,3.330726608,2.165307448,0.936282388,0.567831218,1.649142896,0.368908876,0.047179264,0.182062176,1.068493463,0.717763938,0.997287055,1.499063656,1.124567538,1.322728824,1.966373349,1.928452768,2.019432277,1.893921484
13,2.702901206,2.278047351,1.629071575,0.927057179,0.688469514,0.284395728,0.108112903,0.063492775,1.003001828,0.742908334,0.881707071,1.49678735,1.027776493,1.203901933,1.106489888,1.094380676,1.428168577,1.57187812
