StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,2082140,2110139,2137012,2158692,2182358,2174428,2182199,2189567,2190027,2208030,2218391,2230180,2258669,2274711,2284922,2299269,2313616,2339582,2360120
02,274246,276590,282271,283403,283895,307065,311182,307628,307417,308571,309453,310672,316968,318352,319867,323878,327889,329160,329681
04,2544806,2605095,2667550,2722712,2753059,2846738,2864360,2871486,2892359,2909336,2929173,2961136,2999185,3035902,3076048,3107366.5,3138685,3186554,3239474
05,1249116,1273433,1287472,1298176,1309843,1317818,1324471,1328225,1329777,1341081,1347598,1354801,1370109,1380521,1389159,1384963.5,1380768,1395735,1409104
06,12989254,13174781,13308705,13394143,13434537,13682976,13721187,13708197,13791262,13901594,13988399,14061375,14177270,14277867,14367012,14439580.5,14512149,14627041,14762527
08,2053178,2095235,2127358,2152124,2167902,2214262,2224661,2230536,2247291,2276280,2309122,2339140,2385495,2424128,2464109,2502446,2540783,2590205,2638093
09,1423343,1432250,1438548,1443192,1445840,1488215,1494042,1488002,1488072,1493632,1496056,1499145,1517495,1521123,1524959,1530643,1536327,1540292,1546010
10,374872,382866,388619,392967,396270,406489,409779,410308,412015,417413,421734,426154,432853,438659,443764,450871,457978,465804,471472
11,277775,282900,284235,285363,285164,296836,298908,300247,302975,306184,309596,313703,314843,319579,322814,340148,357482,360862,367125
12,8256847,8531860,8716601,8798213,8848172,8994091,9027271,9031530,9047973,9144650,9210287,9302140,9441585,9547762,9674053,9864281,10054509,10257553,10451823
13,3771466,3873405,3961643,4026181,4063506,4091482,4103118,4107554,4110162,4151387,4182228,4219103,4282254,4326266,4378350,4426796,4475242,4539156,4610506
15,491071,500021,506751,512842,515663,519992,522314,524387,526305,530118,532413,537170,542955,546261,550328,557603,564878,568058,572042
16,595572,615703,631022,641543,647537,668634,674394,673048,676192,685098,692482,700829,721818,735703,751113,763221.5,775330,796968,815304
17,5144623,5199743,5246116,5276082,5290878,5297077,5296209,5290149,5289653,5307508,5317618,5327165,5359416,5376176,5388210,5414252,5440294,5452461,5470727
18,2724429,2756583,2777953,2795063,2809487,2797172,2800799,2808430,2809640,2829630,2841450,2854595,2885342,2903576,2921115,2935618,2950121,2977176,3002580
19,1306943,1319980,1329388,1328740,1342052,1337563,1340588,1345711,1349607,1362034,1369379,1380087,1397739,1409568,1418600,1422319.5,1426039,1438456,1448736
20,1196211,1207391,1219100,1226429,1231995,1234037,1237738,1238703,1239755,1248861,1253889,1259870,1273776,1280553,1288430,1286391.5,1284353,1292571,1299931
21,1865516,1888336,1906198,1920533,1934995,1928617,1932731,1937321,1936634,1950504,1957133,1965577,1984235,1995187,2006335,2007281,2008227,2023679,2036559
22,1940399,1829933,1858586,1883134,1963337,1967947,1978974,1987059,1990967,2011037,2024737,2037067,2061582,2076136,2089824,2091605.5,2093387,2113178,2124930
23,683799,691164,696681,700550,704574,722217,725650,724187,723140,727693,729392,730786,742644,746592,750964,747792,744620,751697,757424
24,2273793,2300749,2318430,2333250,2341332,2380605,2391508,2395635,2404177,2422317,2434465,2447211,2449123,2458779,2470307,2508335.5,2546364,2559057,2572382
25,2688014,2709208,2722323,2735645,2748475,2808727,2819028,2810394,2813641,2828592,2845805,2858087,2894590,2915043,2928818,2973295,3017772,3036303,3045867
26,4478507,4513502,4526914,4535568,4541470,4531231,4525654,4525081,4525266,4540088,4550324,4560164,4595274,4614552,4629605,4609994.5,4590384,4605363,4642957
27,2252022,2282837,2304473,2331203,2331243,2348242,2354075,2361074,2368754,2385261,2397081,2409701,2437726,2455637,2477515,2497344,2517173,2547867,2574932
28,1235496,1241439,1254936,1267191,1282015,1276441,1281760,1283897,1283192,1294738,1300932,1307492,1323754,1332631,1339047,1335544,1332041,1342764,1350552
29,2592809,2622995,2647379,2664062,2682015,2714017,2723449,2720087,2719109,2735803,2746644,2760226,2792445,2806296,2819334,2813483,2807632,2826295,2844440
30,428357,432080,435586,438337,441318,483006,489183,486161,485767,491515,494222,497749,510408,515161,519938,520927,521916,529167,535481
31,766951,774571,780592,785841,789397,797677,801182,804274,806888,814957,820925,827191,837540,845011,851167,852732.5,854298,863831,873525
32,1019427,1065267,1102409,1127100,1138045,1175070,1183917,1182842,1186936,1198969,1209864,1221759,1249733,1268717,1285681,1295607.5,1305534,1328788,1348248
33,583324,589840,594126,597088,600087,614996,617702,617005,616496,619865,622604,625337,634689,638112,642298,643138.5,643979,648571,653070
34,3443981,3472782,3498786,3515923,3524954,3554909,3562720,3574763,3578260,3591847,3593722,3604688,3615891,3628198,3641854,3710722.5,3779591,3785097,3803652
35,838668,850153,862095,871721,878066,902242,908168,906838,905134,912910,914979,917641,937976,943232,948470,948256,948042,956743,965373
36,7853020,7907514,7940072,7977383,8017978,8108211,8119804,8123585,8126399,8191528,8207161,8232039,8327621,8363847,8404205,8467383,8530561,8585784,8631232
37,3940554,4026558,4124066,4200447,4258573,4333479,4362956,4375400,4394515,4452464,4491090,4540697,4622656,4684962,4748148,4774923,4801698,4892627,4979177
38,304458,306982,310438,313018,315625,318099,320888,329249,339293,350534,362889,368545,374591,377661,379974,377204.5,374435,377722,378124
39,5007091,5045356,5065254,5080242,5094314,5128113,5133528,5128846,5124126,5147282,5156546,5164400,5201701,5217617,5232943,5251220.5,5269498,5293227,5317134
40,1588749,1607416,1623100,1637213,1650184,1666205,1674724,1677646,1682358,1699556,1711515,1721072,1734074,1743073,1749520,1755816.5,1762113,1776732,1788886
41,1558421,1586600,1609764,1628902,1639539,1676476,1684244,1682531,1684107,1700611,1718509,1732887,1768582,1788743,1808482,1822745.5,1837009,1859349,1879510
42,5422362,5453647,5478158,5496509,5518579,5568820,5579394,5572765,5565354,5590712,5603051,5611995,5694402,5713136,5732580,5751526,5770472,5815191,5839797
44,447810,449574,450877,451770,452180,463416,464741,462618,461658,462630,462555,462598,468266,469153,470177,477551,484925,486017,487127
45,1927864,1975816,2022033,2056179,2084361,2140337,2157063,2156768,2158784,2188258,2210150,2236262,2284820,2318291,2351364,2373660.5,2395957,2446680,2490327
46,347931,352289,356264,361455,364691,364031,366521,368247,370207,376347,380307,383827,392650,397506,401749,401218.5,400688,408009,417187
47,2637441,2681320,2724929,2758261,2780788,2815087,2829125,2834808,2840998,2869419,2892407,2919698,2958799,2992412,3028437,3058214.5,3087992,3144583,3195170
48,9026011,9224920,9433119,9599073,9724258,9996209,10099242,10154835,10256203,10426760,10588236,10754268,10933375,11101498,11283892,11575856,11867820,12135376,12394809
49,873097,901322,925295,944475,952860,981821,993125,996777,1006164,1022593,1038065,1054242,1084685,1108739,1133543,1161848.5,1190154,1228707,1258529
50,307345,309566,311420,312618,314259,322698,324385,324052,323936,325774,326874,329539,335248,337133,339412,338079.5,336747,338998,341357
51,3174708,3230821,3273206,3306473,3330481,3368674,3387801,3398389,3412577,3446585,3468952,3491185,3512917,3538985,3562258,3607293.5,3652329,3685233,3717625
53,2651645,2699658,2744324,2791765,2814297,2888594,2907605,2914775,2928300,2963293,2991584,3025802,3103263,3148084,3195098,3226119,3257140,3313479,3361561
54,872203,877587,882631,886419,893766,882213,881821,882800,879424,884574,885539,886710,892240,893742,894983,876722.5,858462,861686,863756
55,2498500,2532958,2558278,2568752,2584342,2625477,2634806,2632625,2633420,2648342,2656669,2668443,2695303,2710718,2725153,2736713.5,2748274,2770355,2787388
56,235721,239088,242344,246418,249404,262286,265554,265207,265471,268205,269469,270625,276733,278615,280281,277327,274373,277106,280119
72,1440683,1437597,1434322,1432203,1428627,1637216,1567959,1583437,1572849,1571275,1573532,1555880,1561802,1553061,1559505,1543153,1526801,1598570,1613134
