StateCode,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,5.162829795,4.566433747,5.207870987,-5.102423475,-0.037047099,2.32494935,0.38391887,3.066820609,-0.044341758,4.517861312,3.332961019,4.033984046,3.611578663,3.756442911,2.105965129,2.062528988,10.68573442,4.253108556
02,5.617597895,8.317478491,6.415059145,-2.201285422,-3.550251669,5.031280971,-0.166605234,6.682715028,-0.905353212,2.475448081,4.205575625,-4.263474621,1.591943264,1.502434563,1.578256894,1.553734965,13.20059092,-1.69085689
04,6.736371438,5.551676716,2.14275692,-4.342792103,-4.012719253,-0.170980359,2.391402085,1.430184419,3.211708926,2.844131981,4.012273751,5.644348183,4.710061681,4.741248354,5.640963661,5.339750288,7.981927711,3.683885849
05,4.571559187,4.194103664,1.78580794,-2.555712998,1.279644661,1.177330514,3.493472315,0.994714799,1.853817482,1.776452911,5.56971068,3.46235395,2.600885129,4.015978921,3.652557607,3.523847063,5.528480049,5.895511618
06,5.623822932,5.83105305,1.789884567,-3.425050392,-2.075308412,-0.7295349,1.817166198,3.192291867,2.895829872,4.14480164,5.021705426,6.002450582,4.835317875,6.85866865,2.77660368,2.701591199,7.825032094,4.336380815
08,2.690910527,6.146303951,3.225748026,-2.742442054,-2.496842865,2.481219702,2.487948436,3.625473443,4.216037944,4.251015448,2.778951321,5.2249372,4.103187349,7.190805109,3.323738769,3.216820073,8.568580251,4.041342859
09,4.071150785,4.012803128,3.983810087,-2.27567607,-4.478324432,2.687718641,2.316244126,-0.264581723,4.396554294,1.853015075,2.92518151,1.000912396,2.939273002,3.254833132,3.131937133,3.036825662,5.560396796,3.659432991
10,0.636202594,3.36342816,6.187511445,-1.946920968,-1.781568765,5.312729421,-0.678409902,-0.974064881,3.232721364,2.577198741,0.819524937,1.773078355,3.107299688,8.287940745,0.651932285,0.647709656,15.58987776,-0.989364032
11,9.79648885,4.764017204,6.662739106,2.337061585,2.720526227,3.646782589,5.479690767,1.485364132,6.032084295,5.554935239,-0.161315915,9.093317087,3.436847472,8.289614215,-1.180283095,-1.194380162,12.14257171,7.1099805
12,7.216081823,5.075282998,-0.054388754,-6.36694713,-0.730954936,-0.247697539,1.672723989,2.211367673,3.099748023,4.135853191,2.901307004,3.409359025,5.453093509,6.788431719,3.237543688,3.136013869,9.896609686,5.783299424
13,2.69274625,4.919713017,3.510664279,-6.431253809,-2.437486867,-0.911048891,2.612645902,1.313308903,3.119446361,3.89894771,4.517602061,4.899269964,4.579677127,5.48709919,3.693933527,3.562342946,9.432233056,2.464406826
15,5.245044053,4.228253761,5.440341355,-4.635938941,-1.666198633,-1.918134222,7.178790379,2.657752154,2.311084975,5.595470744,1.394823504,4.367140422,3.146659808,3.602952177,1.055931265,1.044897862,8.957422487,3.097622704
16,3.431218782,7.903884288,2.860355004,-5.570035312,-3.19636736,-0.342607496,4.956046238,2.84464376,2.304255819,0.86500491,7.316416365,0.806840774,6.429870752,9.743986471,4.487778488,4.295027182,9.493937479,2.963522704
17,3.473935535,4.072607007,3.900303008,-4.034853739,-1.841900456,0.494600921,3.574783033,1.946061628,2.195338908,3.732330618,2.302477009,3.333333333,3.235331471,6.392434261,2.181045572,2.134491343,6.236410221,4.690514679
18,3.18459755,4.52482707,1.091721463,-5.299587208,-1.785399789,4.090735884,1.154227142,1.181504662,4.033327021,2.196335396,3.526478271,3.568834346,2.888466437,3.331180713,4.461573182,4.271018563,6.442152909,4.03084525
19,2.022518288,6.295655301,3.569314049,-1.910984075,-0.172758305,3.056650195,3.095474134,2.496222305,2.839418714,1.906464105,2.760523239,4.129998044,2.364691822,2.895504962,3.168209301,3.070916247,6.079268293,2.651319193
20,5.959925443,4.338361406,5.744873659,-4.703350141,0.920174833,1.465072425,2.608038559,1.454986963,3.005571686,2.670272741,1.908878418,2.706835351,3.183155507,6.645710949,1.640440028,1.613963918,7.487056328,2.042800145
21,5.360057802,2.273189068,3.156430824,-3.529298474,-0.024955081,2.693325346,1.417077854,4.014476081,-1.016152446,5.253968993,3.193630432,3.677747058,3.869767442,4.075865226,3.134142843,3.038899396,6.780270995,2.994556883
22,7.100656157,4.039453949,6.858720618,-2.837674068,0.030593994,-1.813904247,2.899314707,2.840909091,0.885336473,2.630456739,-1.270584119,2.212820626,3.814064362,6.613088404,0.992696728,0.982939124,6.391230057,5.076151292
23,1.490619378,5.637790925,1.510198745,-1.818337949,0.177111121,0.475826694,1.46851172,0.567342482,5.296547026,4.108204278,3.078028508,6.024981631,-1.199424276,5.97460523,4.958081597,4.723868349,7.374125712,6.02504925
24,5.766982725,4.506938475,3.620740306,-1.804521936,-0.603418409,1.670200715,1.597051597,1.913613228,2.052895162,2.536129024,4.084538611,2.319336247,3.052886996,4.199802984,1.997394452,1.958279879,5.308027449,3.881420345
25,4.859750979,4.005803579,4.868115129,-2.018317763,-3.135094646,1.267882459,3.945337979,2.187055204,3.582554517,2.122614228,6.610692643,2.773018845,3.165988241,7.525521388,2.214507881,2.166529905,5.402420659,5.683261367
26,2.48267773,1.627739392,1.336809176,-6.865468914,0.349132693,1.250743179,1.909484352,3.017563328,3.26062188,2.481593677,2.756244617,4.604511164,3.256296782,5.091980175,3.284438776,3.179993825,5.493086396,3.279789807
27,3.842457327,3.293041853,2.66298699,-2.91858679,-0.282292865,2.695685101,3.427327317,3.048925407,1.283318507,3.264423155,3.325037802,4.251589201,2.817745803,6.084050345,2.096041183,2.053009264,5.941842512,3.337462654
28,4.660270812,5.410031039,3.995817051,-3.027255888,0.559406211,0.184526879,0.476719304,2.339937997,4.522824856,2.300907258,2.860099032,4.251089716,2.729215006,2.404007424,3.192697414,3.093917975,8.217012891,2.814924411
29,2.065564397,5.305665134,3.885711752,-3.494996479,-2.051780937,2.135391978,0.163546754,3.55243706,3.051288061,3.876930711,3.001711852,3.54037027,1.679793945,5.380153456,3.865247609,3.721406051,4.792471745,5.761367669
30,3.37395995,7.147955793,0.282557258,-3.05126678,0.812816029,3.646931983,1.931165483,4.206229479,-1.37102955,6.866257987,1.046274415,6.714374238,3.637657813,3.2985107,5.333053383,5.06303882,6.928172777,4.691635493
31,3.705899792,3.542683731,5.538918976,-4.700863301,2.219312879,3.900181788,0.848974073,1.413559924,2.422239502,4.384466462,3.511164448,5.345442409,-0.673670168,6.149481248,2.837305667,2.75902373,4.160617807,7.174159806
32,7.787427037,3.894486584,2.359158766,-5.358315147,-4.386869388,-4.06658693,1.702536432,2.954180064,0.429435877,1.906705539,5.243081383,5.115984052,1.10856335,7.894826587,2.368986662,2.314164415,9.142348432,5.572836741
33,5.134935175,4.500444013,2.183777197,-4.964616905,0.784255453,2.629337178,1.010423484,1.501264223,3.583995018,5.667949258,0.900388319,3.446768918,2.194028427,3.923137443,6.757086215,6.329402998,1.72610637,7.607342875
34,4.536904916,3.978594695,4.986947117,-2.892949501,-0.967194405,-0.329486857,3.27463014,0.714829116,2.499821848,0.421307304,5.405555094,5.204529333,2.062730996,4.907022266,2.067031288,2.025170383,7.895090486,3.565275154
35,8.367118319,2.025646706,4.959953681,-1.10324538,-2.17997583,-0.301734379,1.417915783,3.087551107,2.122082422,1.292324175,3.010003966,-0.008556516,0.909207599,10.12529416,1.970353258,1.932280506,10.62009187,4.25610287
36,3.848019402,4.145259225,4.70717943,-2.452126425,-0.93488721,2.027775726,2.175723129,1.631590136,2.630340428,3.34929855,3.383730485,3.155351381,4.545874811,6.28500678,1.529649969,1.506604199,7.055198213,3.190165542
37,4.655159714,4.797653959,4.206402507,-6.176287353,-0.796812749,1.361768915,2.809909828,1.674418605,1.415936915,2.736489389,5.757892536,4.285940218,2.090915984,6.472936589,4.038122809,3.881387611,8.889498483,4.924349076
