StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,36879,38783,40554,42666,40489,40474,41415,41574,42849,42830,44765,46257,48123,49861,51734,52823.5,53913,59674,62212
02,56234,59393,64333,68460,66953,64576,67825,67712,72237,71583,73355,76440,73181,74346,75463,76654,77845,88121,86631
04,44282,47265,49889,50958,48745,46789,46709,47826,48510,50068,51492,53558,56581,59246,62055,65555.5,69056,74568,77315
05,34999,36599,38134,38815,37823,38307,38758,40112,40511,41262,41995,44334,45869,47062,48952,50740,52528,55432,58700
06,53629,56645,59948,61021,58931,57708,57287,58328,60190,61933,64500,67739,71805,75277,80440,82673.5,84907,91551,95521
08,50652,52015,55212,56993,55430,54046,55387,56765,58823,61303,63909,65685,69117,71953,77127,79690.5,82254,89302,92911
09,60941,63422,65967,68595,67034,64032,65753,67276,67098,70048,71346,73433,74168,76348,78833,81302,83771,88429,91665
10,52499,52833,54610,57989,56860,55847,58814,58415,57846,59716,61255,61757,62852,64805,70176,70633.5,71091,82174,81361
11,47221,51847,54317,57936,59290,60903,63124,66583,67572,71648,75628,75506,82372,85203,92266,91177,90088,101027,108210
12,42433,45495,47804,47778,44736,44409,44299,45040,46036,47463,49426,50860,52594,55462,59227,61144.5,63062,69303,73311
13,45604,46832,49136,50861,47590,46430,46007,47209,47829,49321,51244,53559,56183,58756,61980,64269.5,66559,72837,74632
15,58112,61160,63746,67214,64098,63030,61821,66259,68020,69592,73486,74511,77765,80212,83102,83979.5,84857,92458,95322
16,41443,42865,46253,47576,44926,43490,43341,45489,46783,47861,48275,51807,52225,55583,60999,63736.5,66474,72785,74942
17,50260,52006,54124,56235,53966,52972,53234,55137,56210,57444,59588,60960,62992,65030,69187,70696,72205,76708,80306
18,43993,45394,47448,47966,45424,44613,46438,46974,47529,49446,50532,52314,54181,55746,57603,60173,62743,66785,69477
19,43609,44491,47292,48980,48044,47961,49427,50957,52229,53712,54736,56247,58570,59955,61691,63645.5,65600,69588,71433
20,42920,45478,47451,50177,47817,48257,48964,50241,50972,52504,53906,54935,56422,58218,62087,63105.5,64124,68925,70333
21,37369,39372,40267,41538,40072,40062,41141,41724,43399,42958,45215,46659,48375,50247,52295,53934,55573,59341,61118
22,36729,39337,40926,43733,42492,42505,41734,42944,44164,44555,45727,45146,46145,47905,51073,51580,52087,55416,58229
23,42801,43439,45888,46581,45734,45815,46033,46709,46974,49462,51494,53079,56277,55602,58924,61845.5,64767,69543,73733
24,61592,65144,68080,70545,69272,68854,70004,71122,72483,73971,75847,78945,80776,83242,86738,88470.5,90203,94991,98678
25,57184,59963,62365,65401,64081,62072,62859,65339,66768,69160,70628,75297,77385,79835,85843,87744,89645,94488,99858
26,46039,47182,47950,48591,45255,45413,45981,46859,48273,49847,51084,52492,54909,56697,59584,61541,63498,66986,69183
27,52024,54023,55802,57288,55616,55459,56954,58906,60702,61481,63488,65599,68388,70315,74593,76156.5,77720,82338,85086
28,32938,34473,36338,37790,36646,36851,36919,37095,37963,39680,40593,41754,43529,44717,45792,47254,48716,52719,54203
29,41974,42841,45114,46867,45229,44301,45247,45321,46931,48363,50238,51746,53578,54478,57409,59628,61847,64811,68545
30,39301,40627,43531,43654,42322,42666,44222,45076,46972,46328,49509,50027,53386,55328,57153,60201,63249,67631,70804
31,43849,45474,47085,49693,47357,48408,50296,50723,51440,52686,54996,56927,59970,59566,63229,65023,66817,69597,74590
32,49169,52998,55062,56361,53341,51001,48927,49760,51230,51450,52431,55180,58003,58646,63276,64775,66274,72333,76364
