StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,37.4,37.2,37.3,37.4,37.4,37.8,38.1,38.2,38.3,38.6,38.7,39.0,38.9,39.3,39.4,39.6,39.8,39.6,39.6
02,33.9,33.5,33.3,33.0,32.6,33.8,33.9,33.8,33.1,33.3,33.3,33.5,34.5,34.9,35.0,35.3,35.6,35.9,36.5
04,34.5,34.6,34.9,35.1,34.9,35.9,36.2,36.6,36.8,36.9,37.4,37.5,37.7,38.0,38.3,38.45,38.6,38.8,39.3
05,37.0,37.1,37.0,37.3,37.1,37.3,37.5,37.6,37.8,37.8,37.9,38.0,38.1,38.1,38.8,38.65,38.5,38.9,38.9
06,34.4,34.4,34.7,34.9,34.9,35.2,35.4,35.5,35.7,36.0,36.2,36.4,36.5,36.7,37.0,37.3,37.6,37.9,38.2
08,34.7,35.4,35.7,35.8,35.7,36.0,36.2,36.2,36.4,36.3,36.4,36.7,36.8,36.9,37.1,37.35,37.6,37.7,37.9
09,39.3,39.1,39.1,39.3,39.5,40.0,40.3,40.4,40.5,40.5,40.6,40.9,40.9,41.1,41.2,41.15,41.1,40.9,41.5
10,37.9,37.5,37.8,38.3,38.2,38.8,39.1,39.2,39.1,39.6,39.7,40.6,40.1,41.1,41.4,41.5,41.6,41.5,42.0
11,35.9,35.0,34.9,34.9,35.1,33.9,33.4,33.7,33.8,33.8,33.8,33.9,34.0,33.9,34.3,34.55,34.8,34.9,34.9
12,39.5,39.8,40.0,40.3,40.1,40.7,41.1,41.1,41.5,41.6,41.8,42.1,42.0,42.2,42.4,42.6,42.8,42.7,42.8
13,34.3,34.6,34.8,35.0,34.6,35.4,35.5,35.7,35.9,36.1,36.4,36.5,36.8,36.8,37.2,37.35,37.5,37.6,37.9
15,38.5,37.2,38.1,38.3,37.9,38.7,38.5,38.3,38.1,38.1,37.7,38.9,39.2,39.3,39.6,39.9,40.2,40.8,41.4
16,34.6,34.3,34.3,34.4,34.2,34.7,35.0,35.2,35.7,35.9,35.8,36.1,36.3,36.8,36.9,37.1,37.3,37.5,37.8
17,35.6,35.7,35.9,36.0,36.2,36.6,36.8,37.0,37.2,37.5,37.7,37.9,38.0,38.3,38.6,38.8,39.0,39.1,39.5
18,36.1,36.3,36.5,36.8,36.8,36.9,37.1,37.3,37.3,37.4,37.5,37.6,37.7,37.8,38.0,38.1,38.2,38.2,38.3
19,38.6,37.8,38.0,38.2,38.0,38.2,38.1,38.0,38.0,38.2,38.1,38.0,38.3,38.1,38.5,38.5,38.5,38.9,39.1
20,36.1,36.3,36.3,36.2,35.9,36.2,36.3,36.0,36.0,36.2,36.2,36.5,36.7,37.1,37.2,37.25,37.3,37.6,37.9
21,37.5,37.3,37.4,37.8,37.7,38.0,38.2,38.4,38.5,38.5,38.8,38.7,38.9,39.1,39.2,39.15,39.1,39.4,39.2
22,35.4,35.6,35.7,35.9,35.6,35.9,35.9,36.0,36.0,36.1,36.4,36.5,36.8,37.3,37.7,37.85,38.0,38.2,38.7
23,41.2,41.0,41.7,41.9,42.2,42.7,43.2,43.5,44.0,44.1,44.6,44.5,44.6,45.1,45.1,44.9,44.7,45.1,44.9
24,37.1,37.3,37.4,37.6,37.7,38.0,38.0,38.1,38.2,38.3,38.3,38.5,38.7,38.8,39.0,39.15,39.3,39.7,39.8
25,38.2,38.3,38.5,38.7,39.0,39.1,39.3,39.5,39.4,39.4,39.4,39.5,39.5,39.5,39.7,39.8,39.9,40.3,40.3
26,36.9,37.3,37.6,38.0,38.5,39.0,39.2,39.5,39.6,39.6,39.7,39.7,39.8,39.8,39.8,40,40.2,40.3,40.5
27,36.7,36.8,37.1,37.4,37.5,37.5,37.6,37.6,37.7,37.8,37.9,37.9,37.9,38.2,38.4,38.6,38.8,39.0,39.1
28,35.5,35.4,35.4,35.5,35.1,36.1,36.1,36.2,36.6,36.7,37.0,37.2,37.5,37.7,38.3,38.45,38.6,38.9,39.3
29,37.4,37.2,37.5,37.6,37.6,38.0,38.0,38.2,38.1,38.5,38.4,38.4,38.5,38.8,38.9,39.05,39.2,39.1,39.3
30,40.2,39.5,39.1,39.1,39.3,40.1,39.7,40.2,39.6,39.6,39.9,40.1,40.0,40.1,40.5,40.3,40.1,40.2,40.6
31,36.2,36.0,36.1,36.3,35.8,36.3,36.3,36.3,36.3,36.2,36.1,36.3,36.5,36.7,36.8,37,37.2,37.4,37.4
32,35.2,35.6,35.7,35.9,35.5,36.3,36.7,36.8,37.1,37.4,37.8,37.9,38.0,38.2,38.4,38.55,38.7,39.0,39.4
33,39.5,39.3,39.8,40.3,40.4,41.3,41.5,41.9,42.3,42.5,42.8,42.7,43.2,43.1,43.0,43.05,43.1,43.3,43.4
34,38.0,38.2,38.4,38.7,38.7,39.0,39.2,39.4,39.4,39.4,39.6,39.5,39.8,40.0,40.2,40.25,40.3,40.4,40.4
35,36.2,35.2,36.0,36.0,35.5,36.7,36.6,36.8,36.9,37.2,37.4,37.7,37.7,38.1,38.6,38.85,39.1,39.4,39.9
36,37.5,37.4,37.7,38.0,38.1,38.0,38.1,38.1,38.2,38.2,38.3,38.4,38.7,39.0,39.2,39.5,39.8,40.0,40.2
37,36.2,36.6,36.8,37.0,36.9,37.3,37.7,37.8,37.9,38.3,38.4,38.7,38.8,38.9,39.1,39.25,39.4,39.2,39.4
38,39.1,37.1,37.1,37.0,37.0,37.4,36.6,36.2,35.5,35.1,34.9,35.0,35.4,35.4,35.5,35.65,35.8,36.2,36.3
39,37.6,37.6,37.8,38.2,38.5,38.9,39.1,39.3,39.3,39.4,39.3,39.3,39.3,39.5,39.6,39.6,39.6,39.9,39.9
40,36.5,36.2,36.1,36.3,35.7,36.3,36.3,36.3,36.2,36.2,36.3,36.4,36.6,36.7,37.0,37.1,37.2,37.1,37.1
41,37.0,37.6,37.9,38.0,38.0,38.5,38.7,38.9,39.1,39.3,39.1,39.2,39.3,39.6,39.7,39.9,40.1,40.5,40.7
42,39.7,39.6,39.7,40.0,39.9,40.2,40.3,40.5,40.6,40.7,40.7,40.6,40.8,40.8,40.8,40.85,40.9,40.9,41.1
44,38.4,38.4,38.3,38.8,39.4,39.6,39.5,39.8,39.9,39.8,39.7,40.2,39.5,40.0,40.1,40.35,40.6,40.7,40.8
45,37.1,37.1,37.4,37.6,37.5,37.8,38.0,38.3,38.6,38.8,39.0,39.1,39.4,39.7,39.9,40.05,40.2,40.5,40.5
46,37.0,37.3,37.1,37.6,36.8,37.3,37.1,36.7,36.6,36.6,36.9,36.8,36.9,37.2,37.7,37.65,37.6,38.5,38.5
47,37.3,37.2,37.5,37.7,37.7,38.0,38.3,38.2,38.5,38.6,38.7,38.6,38.6,38.9,39.0,39.1,39.2,39.2,39.1
48,33.2,33.1,33.2,33.2,33.1,33.6,33.7,33.9,34.0,34.3,34.4,34.5,34.7,34.9,35.1,35.3,35.5,35.6,35.9
49,28.5,28.4,28.4,28.7,28.9,29.2,29.6,29.9,30.2,30.5,30.6,30.7,31.0,31.0,31.2,31.5,31.8,32.1,32.3
50,40.7,40.6,40.6,41.5,41.5,41.5,42.0,42.4,42.5,42.8,43.1,43.1,42.6,43.1,42.8,42.85,42.9,43.2,43.7
51,37.2,36.9,37.0,37.5,37.0,37.5,37.6,37.5,37.6,37.7,37.8,38.2,38.2,38.3,38.5,38.65,38.8,39.0,39.3
53,36.7,36.7,37.1,37.3,36.9,37.2,37.3,37.5,37.4,37.5,37.5,37.7,37.7,37.7,37.9,38.05,38.2,38.4,38.6
54,40.7,40.7,40.4,40.6,40.8,41.2,41.4,41.5,41.7,41.9,42.2,42.3,42.4,42.8,42.9,42.85,42.8,42.9,42.8
55,37.9,37.6,38.0,38.2,38.4,38.5,38.7,38.8,39.0,39.2,39.4,39.4,39.5,39.6,39.9,40,40.1,40.4,40.5
56,39.1,37.5,36.9,36.6,36.7,36.7,36.8,36.9,36.6,36.6,36.5,37.2,37.5,38.5,38.1,38.55,39.0,39.1,39.3
72,34.4,34.7,35.4,35.9,36.3,37.2,37.5,37.8,38.6,39.3,40.0,40.7,41.4,42.9,43.1,43.6,44.1,44.7,45.0
