state_id,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501
AK,289000,286375,284725,279900,279700,275000,269225,270555,276375,279000,279950,281250,279375,279000,275000,274900,269900,267950,267725,267600,276000,284900,289999,289000,284950,283625,279900,279000,281000,279900,280968,285000,291857,296500,298000,297250,297625,293364,290909,289648,289000,285000,284950,289200,292450,293265,304000,309700,313500,315000,310500,299900,299450,299900,300000,309500,326875,329700,340000,337000,335000,339450,339950,339000,339725,349500,350000,366950,384950,399900,408072,407072,399000,399500,399450,399000,399000,399600,396725,397500,399000,415000,415000,412225,399900,399300,399900,399000,389450,385000,392000,396500,399900,422000,432500,430000,429950,425000,425000,425000,420000,415000,419450
AL,185900,185000,184900,182795,180500,179900,179900,181450,188300,193000,196000,198900,198060,197116,198000,196250,195000,194900,194900,197450,199900,209500,213838,214900,215000,214950,215000,212000,213263,212500,212354,216450,224186,229952,234900,235000,236189,236182,234955,233774,234675,229900,229900,236000,240668,245000,249900,254900,253403,254900,255143,250000,249900,249900,249900,252500,259500,267088,270000,269500,269900,274950,277000,275000,275722,272450,269000,269900,283630,299900,312383,322421,324024,323983,319900,315900,313700,309900,315000,319450,322500,330000,336500,339436,339000,331335,330000,329250,325000,320000,319875,322438,329645,330950,338788,338900,334900,330000,329000,329200,324500,319200,318450
AR,161288,159900,159900,159900,159250,158500,158950,159450,163250,165000,169000,169900,169900,169900,169900,169900,169900,169000,169000,169900,175000,175884,179900,179900,179950,180050,182900,183553,179900,179900,179400,179950,184243,189900,192450,195000,194900,193564,191559,190585,189900,188700,185806,189500,193225,198700,199900,205000,209300,210000,209900,208000,200000,199900,198500,199900,199950,209288,214000,220700,225000,230000,231000,229900,232063,229950,224900,225000,235000,249500,259825,266810,275000,275000,275000,280000,279950,280000,280000,284575,285000,289500,291075,297000,299900,299900,299000,293000,299000,298900,295000,293838,295000,299900,299950,299000,298314,299000,299000,296950,295000,291000,289000
AZ,295000,289945,290368,293000,293730,290000,294950,299450,309500,315000,318750,318000,312000,308500,307000,309450,308500,309900,314450,322000,329900,334363,337000,334000,329945,325279,325000,325000,325000,324900,325700,330000,341571,349450,349945,350000,350000,353545,354364,355000,352500,350000,357000,365839,372000,355993,365000,393950,399900,399900,399900,399900,394000,384500,389000,390975,399700,412500,430000,440000,450000,450000,449750,450000,450000,450000,460000,470950,477500,499000,522450,525000,500000,489950,478500,470000,462500,454990,461700,469500,479975,495000,500000,512500,510000,502500,499990,499450,494000,494000,499250,504000,500000,511495,517500,514900,499400,495000,496250,495000,489990,477000,481388
CA,515000,500000,499447,499000,497000,485000,487000,499000,515450,529900,549000,549900,549000,534950,530200,527250,523513,510000,508125,524963,549000,557500,568495,570000,568500,559475,551211,550000,549945,539000,531500,543950,562371,579000,589450,599000,596500,590882,584705,580586,574900,551828,549450,575000,599000,580000,610000,652450,691500,699900,705000,719000,712450,704450,699000,724900,732500,749000,749900,749970,744600,722500,705000,700000,699450,692928,695000,715447,749450,760000,775000,775000,750000,737500,725000,715000,699900,695000,687450,699475,722000,750000,774500,777000,775000,768000,760000,756500,749500,725000,713319,730000,749888,771500,786438,785000,777000,769900,767675,759500,749000,715000,702498
CO,419000,419000,417370,415900,419250,424730,427000,439000,442225,448417,449900,449900,449900,444575,445000,445636,444950,449000,450000,462500,474844,478116,474900,474500,464250,452750,450000,449900,449000,449900,450000,462447,472114,475000,476500,479900,479000,472273,468182,467455,469950,473212,481950,499900,509391,499450,499900,517000,520000,520000,505975,505000,507656,510500,520000,529950,549000,555400,575000,585000,582595,581674,575000,578000,569450,549500,579834,598235,615996,630000,649750,649000,629900,615750,600000,599000,580950,575614,579950,592450,623498,639900,649450,650000,650000,642400,629990,607450,599000,594900,585000,594500,599900,602500,617400,620000,621495,610000,599500,595000,579000,564950,559500
CT,330000,328500,329000,325000,325000,319000,317000,326950,339450,349900,359950,368100,362500,349950,349900,349900,347000,339000,339000,349900,365000,374950,377450,379900,369500,359450,354900,351000,349900,344900,344250,355700,371043,387900,395000,394900,384748,378536,376491,375000,372303,366125,365000,379900,399450,399350,409000,432000,449900,449900,442000,439000,429950,436950,442900,461350,465000,469450,474900,462450,449350,429900,422400,419000,415000,419450,439000,474925,469375,464900,484450,487000,479900,479000,477000,475000,469900,469000,487900,532000,565950,559900,579650,580900,569000,509956,499900,499900,499000,490000,491419,507450,503650,532500,562000,549900,531950,525000,515000,499994,499000,496325,483700
DC,579900,554900,549950,569000,567450,559000,575000,574675,599450,609450,609498,622223,599900,587000,625000,622557,606749,577500,570950,594250,615000,627000,649900,649000,644000,624500,630000,638000,625000,599900,619625,625146,635671,649950,656800,649900,649900,658082,670355,679900,689000,684725,675000,675000,699450,685000,698500,699950,698081,680000,649225,629900,599900,606000,588450,564250,554575,572400,570000,592000,579900,584900,599000,599900,587000,581375,549990,549950,559500,579950,599900,619950,619450,599125,621250,646587,649900,649000,632450,622450,637800,649999,664750,675000,675000,649900,674900,659950,649000,625000,619900,607425,615000,625000,624950,611000,599450,585000,607500,617000,619000,597450,585000
DE,279900,276602,279238,274990,270995,270900,271588,274900,278700,279990,280938,281250,284900,287420,285000,283650,279675,279900,279947,283950,290990,299500,300000,299925,299900,299900,299900,299900,299900,299900,299000,299950,306386,315164,319950,324900,324900,324900,324900,324900,320840,319963,323400,325000,329950,331684,335900,339945,344450,346450,349900,348000,348500,348767,349900,352150,368450,381150,379250,387200,379900,384500,384000,395000,396998,399500,414950,436475,452500,455250,462423,461150,469945,466500,465950,465000,453970,450000,458324,475322,479998,494900,499997,499900,499000,499000,495495,499000,489900,474990,477450,479995,495000,499945,507798,500000,501630,499900,488445,487450,480000,479940,479895
