StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,60.5,61.2,60.8,61.2,60.6,60.8,59.7,58.3,57.9,57.3,56.8,56.6,56.3,55,55.3,54.45,53.6,54.6,54
02,71,69.1,71.4,70.4,67.8,69.2,65.1,65.1,63.4,66.1,65,63,64.1,61.4,60.8,60.9,61,60.8,57.2
04,70.8,71.1,70.9,71,70.4,69.9,68.7,66.1,64.6,64.4,64.2,64,64.4,63.2,62.3,62.75,63.2,61.8,61.1
05,58.6,58.2,59.4,59,58.6,57.6,58.8,57.6,55.7,55.5,54.7,54.3,55.3,53.9,52.9,53.4,53.9,52.8,52.5
06,75.9,76.4,76,76.1,75.6,75,74.5,73.9,72.6,71.8,71.1,71,70.5,69.6,68.9,68.4,67.9,67.1,67.1
08,76.5,77.2,76.7,76.3,75.9,75.3,75,73.9,72.3,72.7,72.1,71.6,71.2,70.1,70.8,70.2,69.6,69,69
09,71.7,72.2,71.8,72.6,72.1,71.4,70.7,70.7,69.2,69.8,69.3,67.9,68,67.2,66.2,65.7,65.2,64.5,63.4
10,69.5,66.6,71.1,69,70,71.2,69.8,69.7,67.9,69.3,65.3,64.2,64.6,63.3,65.5,64.6,63.7,63.1,64.6
11,75.3,76.2,76.7,77.6,78.2,77.1,78.9,78.6,76.2,76,76.1,75.6,75.9,75,76.4,75.85,75.3,73.8,77.3
12,65.5,65.7,65.7,65.1,64.6,63.9,62.7,61.1,59.1,58.1,57.1,57.1,56.8,56.1,56.2,56.4,56.6,56.3,55.6
13,72.7,72.4,72.6,72.7,71.1,71.1,69.3,69.3,67.5,66.8,66.1,65,64.9,64.6,64.1,63.9,63.7,63.6,63.2
15,67.7,68.6,67.4,68.3,70.2,67.7,67.5,67.8,67.8,66.2,65.7,65.9,64.2,64.3,64.4,64.25,64.1,62.7,62.1
16,69.5,70.1,69.9,70.1,69.6,68.7,67.2,67.8,66.5,65.7,65.3,64.4,64.3,64.1,64.2,64.05,63.9,62.7,61.4
17,69.1,69.5,70.1,70.3,69.6,69,68,67.7,65.6,64.9,64.3,63.9,63,62.3,62.4,61.8,61.2,61.2,60.2
18,69.4,70.4,71.1,70.9,70.1,70.1,68.8,68,66.8,66.7,66.3,65.5,65.5,65,65.2,64.7,64.2,63.4,63.4
19,61.9,63.3,63.4,63.8,63.3,62.4,62.2,61.8,61.1,60.7,59.8,60.6,61.5,60,59.8,59.95,60.1,59.4,59.2
20,64.9,65,65.4,66.3,64.9,64,63.3,62.4,60.4,60.2,60.1,59.7,58.9,59,57.9,57.9,57.9,57.4,57
21,63.2,62.3,62.3,62.5,62.2,62,60.4,60.8,58.8,59.3,57.9,58.7,58.2,56.6,56.9,56.95,57,56.6,56.1
22,58.2,56.3,57,57.4,56.7,55.8,54.7,55.4,53.9,53.2,52.3,52.3,52.6,52.1,51.6,52.35,53.1,51.6,51.7
23,63.7,65.1,66.1,66,66.5,65,64.8,63.8,61.4,62.2,62.1,61.9,61.4,60.8,60.4,60.35,60.3,58.8,56
24,76.4,76.9,77.1,77.3,76.7,76.4,76,75.1,74,73.5,73.9,73.5,72.8,72.4,71.9,71.65,71.4,71,70.6
25,71.9,72,72,72.6,72.7,72.1,71.9,71.4,70.2,69.5,69.9,69.5,69.9,68.2,68.2,68.05,67.9,65.5,66.4
26,69,69,69.2,68.7,67.3,66,64.7,63.6,61.7,61.5,60.6,60.6,60.2,59.3,59.3,59.1,58.9,57.9,57.2
27,71.3,71.7,71.5,71.8,71.3,70.4,69.8,68.6,67.5,66.8,66.3,67.2,67.1,65.3,65.1,64.65,64.2,64.3,63.8
28,57.3,57,57.3,56.5,56.1,54.5,54.2,52.9,51.8,51.1,49.5,50.1,49.1,48.2,49.1,48.85,48.6,49.9,48
29,66.3,66.7,67.5,67.2,66.7,65.8,65.4,64.1,63,62.7,62.3,61.8,61.9,60.6,60.2,60.6,61,60.1,59.7
30,59.2,59.7,58.5,56.8,58,58.9,58.1,57.9,56.6,55,56.7,56.5,57.1,56.4,55.3,55.05,54.8,54.2,55.2
31,63.2,64.7,64.5,65.3,64.9,63.8,63,63.1,61.8,61.1,61.6,60.3,60.9,59.4,59.4,59.5,59.6,59.4,58.8
32,77.7,78,77.2,77.7,76.9,75.9,73.6,71.6,69.9,68.4,68.1,68,69,67.8,67.3,67.4,67.5,66,64.5
33,70.2,71.1,71.2,72.2,70.1,69.5,70.4,68.5,67.9,66.9,67,66.5,65.7,63.9,64.9,63.85,62.8,61.2,62.5
34,70.6,71.3,71.4,71.8,71.3,71,70.2,70.1,69,68.3,67.4,67.5,66.9,66.2,65.6,64.9,64.2,63.3,63.9
35,60.3,62.1,61,61.3,60.4,60.8,59.3,58.3,56.8,56.2,55.9,54.8,53.6,53.2,52.8,52.7,52.6,53.5,52.2
36,65,65.5,64.9,65.4,65.2,64.9,63.9,64.3,62.6,62.4,62.1,61.1,60.9,59.8,59.5,58.85,58.2,58.2,57.4
37,67.7,67.6,67.9,68.7,67.8,67.1,67.2,66,65.2,64.4,63.7,63.4,63,62.1,63.2,62.6,62,62,61.2
38,53.7,54.5,55.6,55.8,55.3,53.4,55,53.5,52.9,51.9,52.3,53.5,54.5,53.3,52,52.35,52.7,53.5,52.7
39,68.9,68.7,69.2,69.2,68.4,67.8,67.1,65.9,64.6,63.9,63.6,63.1,62.7,62.3,62.1,61.7,61.3,60.4,60
40,60.4,60,61.4,61,59.5,60.2,58.9,57.7,57.5,55.9,55.5,55.8,54.7,53.7,54.4,54.05,53.7,53.7,52.9
