state_id,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501
AK,1224,1082,898,788,600,488,702,766,1040,1284,1430,1466,1368,1354,1064,820,716,528,808,894,1168,1268,1450,1452,1370,1282,900,862,630,468,768,886,1076,1298,1444,1368,1262,1168,956,782,628,544,674,820,1048,866,1232,1464,1234,1272,1034,788,656,494,748,848,972,1110,1356,1464,1424,1324,1038,920,592,428,512,674,998,1140,1260,1394,1260,964,850,640,422,308,448,562,782,796,912,1084,1128,1008,560,602,410,320,476,516,684,878,930,1136,1070,916,742,624,436,290,504
AL,7756,6884,6676,6096,5332,4912,6444,7272,7862,8080,8078,7622,7772,7198,6364,6190,5790,4880,6048,7254,8100,8282,8020,7744,7520,7252,6564,6016,5548,4928,6422,7050,7084,8024,8198,7876,7582,6936,6724,6280,5540,4610,6216,6572,7328,5910,7148,7520,7600,7568,6578,6600,6116,6350,6628,8870,7306,7354,7460,7830,8344,7826,6716,6452,6008,5152,5820,6554,7412,8128,8450,8626,7636,6882,7778,6124,5210,4064,5384,5650,6320,6380,6598,6668,6672,6636,6232,6180,5328,4368,5286,6478,7016,7592,7242,7388,7064,7016,6708,6442,5684,4756,5942
AR,4376,3954,3800,3776,3464,2960,3854,4336,4278,4476,4640,4584,4944,4460,3896,3736,3418,3020,3436,4054,4124,4830,4666,4432,4556,4142,4040,3740,3376,2764,3778,3922,4336,4908,4442,4432,4148,3916,3678,3592,3088,2782,3724,3656,4116,3334,3792,4172,4118,4000,3822,3696,3268,2694,3116,3300,3614,4008,4168,4266,4628,4444,3980,3792,3336,2922,3000,3128,3828,4356,4432,4508,4624,3926,3674,3768,3146,2488,3074,3220,3462,3756,3948,3810,3860,3966,3564,3600,3230,2764,2836,3610,4136,4406,4326,4424,4512,4356,3852,3630,3372,3054,3408
AZ,12196,12218,12886,13464,12174,10160,13392,14490,15272,14640,14538,13356,12744,12668,13020,13128,12320,9676,13718,14006,14624,15162,14608,13520,12606,12868,12920,12970,12256,9328,13310,13314,13428,14362,14024,12356,11294,11328,12016,12272,10852,8078,11714,12376,14164,10808,11620,11496,11996,13016,13510,13948,11428,9148,11512,11708,13106,13258,13412,13260,13148,13392,12560,12404,11372,9404,10592,11670,12396,13144,15010,15080,13672,11816,11090,10520,8128,6712,9412,9552,9270,9464,9498,8654,8284,12084,9072,9552,8622,6228,9306,10386,10556,10512,9874,9288,8602,8992,10164,9992,9144,6606,11728
CA,47100,45164,41326,39896,34064,23476,33748,37180,42852,46968,48258,47302,44520,44252,40636,38428,33626,24220,35038,40040,42436,47994,49628,48380,47884,44016,43532,41226,37200,25284,35422,35952,41744,48124,48840,48168,42634,39652,37622,35332,29616,19588,32302,35508,36270,27096,37912,39012,41480,42816,43898,43116,33774,26804,32868,36670,41256,43210,44680,45542,44652,42426,39772,38752,31338,23192,30324,34992,39556,42968,44888,42830,37416,33570,31290,27812,21996,14892,21082,23692,24118,28032,30946,29314,27340,26904,27892,26124,23018,16576,24240,24854,29588,34500,33988,33064,31338,30632,31988,28958,24528,15762,29094
CO,13240,12520,10848,9768,8064,5852,7610,9238,11736,12132,13584,14742,13344,11952,10484,9386,7856,5936,8264,9190,11640,12716,13388,13448,12192,11392,10472,9102,7986,5900,8624,9334,11292,13670,14392,14524,12370,11196,10336,9446,7096,6308,7682,8176,11534,7062,12748,14020,13176,12432,11602,10776,7886,6172,7864,8910,10234,10808,11664,13652,12636,11744,10772,9976,7854,5474,6748,8050,10110,12384,13362,14116,11720,9974,8876,7896,5714,3752,5700,6648,7896,9356,10060,10438,9152,9012,7928,7106,5726,3924,6396,7644,8920,10582,11442,11180,10120,9296,9398,7886,5712,4454,7966
CT,5688,4924,5476,4892,3926,3140,4264,4880,5974,6920,7592,6330,5612,6408,5188,4750,3966,2680,3738,4966,5728,7148,7076,6464,5296,4894,5168,4536,3606,2920,3846,4456,5744,6800,7354,6188,5154,4896,4666,4382,3492,2294,3830,4768,5286,3392,5372,6836,6468,6364,6390,5796,4392,3130,3608,3604,5376,5882,6628,6652,5488,5120,4654,4344,3582,2518,2756,3240,4164,5016,5546,5426,4316,3804,3614,3460,2598,1804,2278,2546,2886,3540,5006,3748,3252,3284,3112,3124,2726,1732,2128,2354,3040,3782,3938,3928,3576,3132,3644,3326,2496,1556,2254
DC,888,714,1134,928,836,484,840,936,992,1160,1292,1206,852,814,1120,1114,876,496,780,826,1064,1222,1174,1100,1010,762,1300,1068,852,584,722,844,1136,1440,1284,1176,964,908,948,954,744,420,798,836,1032,716,900,1112,1160,1124,1376,1224,978,704,952,928,1212,1302,1300,1384,1172,894,1570,1200,1002,562,928,1040,1194,1288,1270,1242,956,758,1226,868,678,372,720,728,1004,1008,954,982,812,704,1064,854,566,472,740,792,1012,1128,1042,1088,822,720,1410,966,700,456,802
DE,1848,1774,2154,1592,1378,1004,1438,1728,1844,2016,2004,1962,1768,1616,1764,2600,1352,1028,1266,1700,1872,2012,2100,1980,1676,1708,1620,1608,1356,1032,1288,1536,1920,2256,2126,1916,1734,1828,1976,1932,1412,884,1372,1708,1894,1226,1588,1834,1804,1836,1892,1852,1592,1326,1324,1262,1466,1670,1768,1940,1848,1866,1890,1688,1456,1082,1176,1364,1612,1592,1698,1764,1508,1406,1398,1200,1082,704,944,1026,1182,1240,1282,1216,1268,1226,1344,1184,1128,820,874,1084,1212,1330,1470,1300,1268,1300,1394,1340,1128,834,856
