StateCode,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,3.522114962,0.626675625,0.73574106,1.004054141,1.626560832,0.364491407,0.401499977,0.242616014,0.323870508,0.198004816,0.088928147,0.235375157,0.269224228,0.313306141,1.393910285,1.374747538,0.682933333,0.67343332
02,4.414514651,2.003572852,0.411864025,1.774752183,2.220844614,1.22313494,1.208078393,0.503521093,0.217647987,0.230748766,0.468831253,-0.282924515,-0.318601775,-0.799118028,0.077097103,0.077037709,0.124202748,-0.024128149
04,5.771668823,2.796433788,2.546635735,1.470697735,-2.759962509,1.072198626,1.091399081,1.119581033,1.582404555,1.43476535,1.508567947,1.229232827,2.214509989,1.492976647,-0.016493291,-0.016496012,1.139051685,0.980365113
05,4.051223222,0.851159356,0.726436496,1.192831802,1.112876153,0.560410952,0.379580657,0.347288744,0.236401427,0.398972616,0.337250235,0.536468191,0.317746787,0.132024919,0.133988158,0.13380887,0.65256812,0.725464
06,3.341332668,0.262403817,0.556588524,0.557716524,1.048921932,0.917148172,0.927302388,0.765194684,1.226058156,0.882206043,0.268743107,0.730282486,0.051577456,-0.113309778,-0.347217872,-0.348427675,-0.531359579,-0.164360957
08,4.189451507,2.274972088,1.603224509,1.726748857,0.484064076,1.341335862,1.383404771,1.557276589,1.66083722,1.880330837,1.538896018,1.202210252,1.57673572,1.109143888,0.463061686,0.460927308,0.479295755,0.645282149
09,3.242005084,-0.071330563,-0.03018009,0.486568805,1.670841045,0.101647352,0.26916457,0.159678159,0.01660141,-0.161009732,-0.401962078,0.3280346,-0.432502904,-0.206512505,0.565312133,0.56213432,0.571555834,-0.248993093
10,4.262100424,1.322591379,0.963037314,1.377861669,1.654800129,0.818654566,1.097631554,0.943962002,1.065623619,1.10301898,0.648142471,1.037114063,0.543901432,0.681678834,1.520902395,1.49811749,1.496137072,1.325024843
11,12.89257995,1.162794697,0.601911976,1.321994549,0.799790547,2.240538139,2.318299795,2.233984846,1.92497784,2.023849092,1.330203443,1.879413362,1.222383612,0.468926835,-2.529156967,-2.594783104,0.261622267,1.06712831
12,4.069481101,0.891956827,0.422420544,1.143742423,1.647197705,1.136826906,1.364425696,1.218020819,1.741111019,1.900011848,1.683007361,1.804546274,1.500757706,0.837641568,0.706291822,0.701338327,2.128884234,1.644890589
13,6.153386942,1.930907083,1.477189031,1.48121817,-1.186504186,1.056598,1.067068356,0.728048391,1.052584489,1.163840824,0.935020157,1.154255264,0.86386735,0.931111106,0.85775522,0.850460352,1.049208829,1.066180904
15,3.823421567,-0.164138723,0.37478923,0.54184217,5.284447389,0.820535911,1.273121377,0.843273028,1.104444701,0.848290422,-0.212768484,-0.07133072,-0.493647104,-0.325169255,0.906896951,0.898746249,-0.09413459,-0.351202197
16,5.075184468,2.246013372,1.628249129,1.442759493,1.659269207,0.861306437,0.677798213,1.028245415,1.384994814,1.252153611,1.70460382,2.00832967,2.170427323,1.873039001,3.185614401,3.087266011,2.004815555,1.325041915
17,3.14797388,0.160365088,0.381371849,0.06855758,-0.520843298,0.203166416,0.046591649,0.053435835,-0.01207098,-0.159814232,-0.454556942,0.003780795,-0.476041951,-0.543588142,-0.001388909,-0.001388928,-0.705813983,-0.257057048
18,3.61290924,0.50318998,0.496478569,0.726399732,1.051016851,0.405215464,0.313215349,0.51348149,0.394968606,0.345998207,0.202018829,0.509041613,0.375891467,0.602835258,0.547857995,0.544872865,0.397473694,0.426779483
