StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,4442558,4599030,4627851,4661900,4708708,4785298,4802740,4822023,4833722,4849377,4858979,4863300,4874747,4887871,4903185,4971531,5039877,5074296,5108468
02,641724,670053,683478,686293,698473,713985,722718,731449,735132,736732,738432,741894,739795,737438,731545,732109,732673,733583,733406
04,5829839,6166318,6338755,6500180,6595778,6413737,6482505,6553255,6626624,6731484,6828065,6931071,7016270,7171646,7278717,7277516.5,7276316,7359197,7431344
05,2701431,2810872,2834797,2855390,2889450,2921606,2937979,2949131,2959373,2966369,2978204,2988248,3004279,3013825,3017804,3021847.5,3025891,3045637,3067732
06,35278768,36457549,36553215,36756666,36961664,37349363,37691912,38041430,38332521,38802500,39144818,39250017,39536653,39557045,39512223,39375029.5,39237836,39029342,38965193
08,4562244,4753377,4861515,4939456,5024748,5049071,5116796,5187582,5268367,5355866,5456574,5540545,5607154,5695564,5758736,5785402.5,5812069,5839926,5877610
09,3394751,3504809,3502309,3501252,3518288,3577073,3580709,3590347,3596080,3596677,3590886,3576452,3588184,3572665,3565287,3585442,3605597,3626205,3617176
10,818587,853476,864764,873092,885122,899769,907135,917092,925749,935614,945934,952065,961939,967171,973764,988574,1003384,1018396,1031890
11,515118,581530,588292,591833,599657,604453,617996,632323,646449,658893,672228,681170,693972,702455,705749,687899.5,670050,671803,678972
12,17382511,18089889,18251243,18328340,18537969,18843326,19057542,19317568,19552860,19893297,20271272,20612439,20984400,21299325,21477737,21629432.5,21781128,22244823,22610726
13,8821142,9363941,9544750,9685744,9829211,9712587,9815210,9919945,9992167,10097343,10214860,10310371,10429379,10519475,10617423,10708494.5,10799566,10912876,11029227
15,1238158,1285498,1283388,1288198,1295178,1363621,1374810,1392313,1404054,1419561,1431603,1428557,1427538,1420491,1415872,1428712.5,1441553,1440196,1435138
16,1395634,1466465,1499402,1523816,1545801,1571450,1584985,1595728,1612136,1634464,1654930,1683140,1716943,1754208,1787065,1843994,1900923,1939033,1964726
17,12440351,12831970,12852548,12901564,12910409,12843166,12869259,12875255,12882135,12880580,12859995,12801539,12802023,12741080,12671821,12671645,12671469,12582032,12549689
18,6093372,6313520,6345289,6376792,6423113,6490621,6516922,6537334,6570902,6596855,6619680,6633053,6666818,6691878,6732219,6769102,6805985,6833037,6862199
19,2862541,2982085,2988047,3002557,3007857,3049883,3062309,3074186,3090416,3107126,3123899,3134693,3145711,3156145,3155070,3174074.5,3193079,3200517,3207004
20,2662616,2764075,2775997,2802134,2818747,2859169,2871238,2885905,2893957,2904021,2911641,2907289,2913123,2911510,2913314,2923948,2934582,2937150,2940547
21,4058633,4206074,4241474,4269245,4314113,4346266,4369356,4380415,4395295,4413457,4425092,4436974,4454189,4468402,4467673,4488533.5,4509394,4512310,4526154
22,4389747,4287768,4293204,4410796,4492076,4544228,4574836,4601893,4625470,4649676,4670724,4681666,4684333,4659978,4648794,4636420.5,4624047,4590241,4573749
23,1283673,1321574,1317207,1316456,1318301,1327567,1328188,1329192,1328302,1330089,1329328,1331479,1335907,1338404,1344212,1358229.5,1372247,1385340,1395722
24,5461318,5615727,5618344,5633597,5699478,5785982,5828289,5884563,5928814,5976407,6006401,6016447,6052177,6042718,6045680,6105404.5,6165129,6164660,6180253
25,6182860,6437193,6449755,6497967,6593587,6557254,6587536,6646144,6692824,6745408,6794422,6811779,6859819,6902149,6892503,6938613,6984723,6981974,7001399
26,9865583,10095643,10071822,10003422,9969727,9877574,9876187,9883360,9895622,9909877,9922576,9928300,9962311,9995915,9986857,10018834,10050811,10034118,10037261
27,4989848,5167101,5197621,5220393,5266215,5310584,5344861,5379139,5420380,5457173,5489594,5519952,5576606,5611179,5639632,5673511,5707390,5717184,5737915
28,2824156,2910540,2918785,2938618,2951996,2970036,2978512,2984926,2991207,2994079,2992333,2988726,2984100,2986530,2976149,2963057,2949965,2940057,2939690
29,5631910,5842713,5878415,5911605,5987580,5996231,6010688,6021988,6044171,6063589,6083672,6093000,6113532,6126452,6137428,6152807.5,6168187,6177957,6196156
30,910651,944632,957861,967440,974989,990898,998199,1005141,1015165,1023579,1032949,1042520,1050493,1062305,1068778,1086524.5,1104271,1122867,1132812
31,1706976,1768331,1774571,1783432,1796622,1830429,1842641,1855525,1868516,1881503,1896190,1907116,1920076,1929268,1934408,1949050,1963692,1967923,1978379
32,2381281,2495529,2565382,2600167,2643085,2704642,2723322,2758931,2790136,2839099,2890845,2940058,2998039,3034392,3080156,3112073.5,3143991,3177772,3194176
33,1272486,1314895,1315828,1315809,1324575,1316759,1318194,1320718,1323459,1326813,1330608,1334795,1342795,1356458,1359711,1374351.5,1388992,1395231,1402054
34,8521427,8724560,8685920,8682661,8707740,8801624,8821155,8864590,8899339,8938175,8958013,8944469,9005644,8908520,8882190,9074660,9267130,9261699,9290841
35,1887200,1954599,1969915,1984356,2009671,2065932,2082224,2085538,2085287,2085572,2085109,2081015,2088070,2095428,2096829,2106353,2115877,2113344,2114371
36,18655275,19306183,19297729,19490297,19541453,19392283,19465197,19570261,19651127,19746227,19795791,19745289,19849399,19542209,19453561,19644737,19835913,19677151,19571216
37,8411041,8856505,9061032,9222414,9380884,9561558,9656401,9752073,9848060,9943964,10042802,10146788,10273419,10383620,10488084,10519623,10551162,10698973,10835491
38,609645,635867,639715,641481,646844,674499,683932,699628,723393,739482,756928,757953,755393,760077,762062,768505,774948,779261,783926
39,11155606,11478006,11466917,11485910,11542645,11536182,11544951,11544225,11570808,11594163,11613423,11614373,11658609,11689442,11689100,11734558.5,11780017,11756058,11785935
40,3433496,3579212,3617316,3642361,3687050,3761702,3791508,3814820,3850568,3878051,3911338,3923561,3930864,3943079,3956971,3971805,3986639,4019800,4053824
41,3560109,3700758,3747455,3790060,3825657,3838957,3871859,3899353,3930065,3970239,4028977,4093465,4142776,4190713,4217737,4231946,4246155,4240137,4233358
42,11979147,12440621,12432792,12448279,12604767,12709630,12742886,12763536,12773801,12787209,12802503,12784227,12805537,12807060,12801989,12883022.5,12964056,12972008,12961683
44,1032662,1067610,1057832,1050788,1053209,1052886,1051302,1050292,1051511,1055173,1056298,1056426,1059639,1057315,1059361,1077485.5,1095610,1093734,1095962
45,4113961,4321249,4407709,4479800,4561242,4636312,4679230,4723723,4774839,4832482,4896146,4961119,5024369,5084127,5148714,5169709.5,5190705,5282634,5373555
46,746033,781919,796215,804194,812383,816463,824082,833354,844877,853175,858469,865454,869666,882235,884659,890017.5,895376,909824,919318
47,5810590,6038803,6156719,6214888,6296254,6356897,6403353,6456243,6495978,6549352,6600299,6651194,6715984,6770010,6829174,6902196,6975218,7051339,7126489
48,22270165,23507783,23904380,24326974,24782302,25257114,25674681,26059203,26448193,26956958,27469114,27862596,28304596,28701845,28995881,29261911,29527941,30029572,30503301
49,2427350,2550063,2645330,2736424,2784572,2776469,2817222,2855287,2900872,2942902,2995919,3051217,3101833,3161105,3205958,3271966.5,3337975,3380800,3417734
50,602290,623908,621254,621270,621760,625960,626431,626011,626630,626562,626042,624594,623657,626299,623989,634779.5,645570,647064,647464
