StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,0.3,0.3,0.3,0.31,0.33,0.41,0.42,0.43,0.43,0.42,0.41,0.41,0.4,0.39,0.39,0.4,0.39,0.35,0.36
02,1.13,1.03,1.06,0.99,1.03,1.23,1.19,1.18,1.18,1.17,1.14,1.19,1.18,1.17,1.18,1.21,1.17,1.08,1.06
04,0.61,0.51,0.51,0.57,0.72,0.84,0.88,0.87,0.79,0.75,0.71,0.69,0.65,0.62,0.61,0.64,0.5,0.44,0.44
05,0.52,0.49,0.49,0.5,0.51,0.57,0.59,0.62,0.61,0.63,0.61,0.63,0.6,0.61,0.61,0.61,0.57,0.54,0.53
06,0.47,0.46,0.5,0.6,0.73,0.77,0.81,0.84,0.8,0.76,0.75,0.74,0.73,0.72,0.72,0.74,0.7,0.67,0.7
08,0.58,0.57,0.57,0.57,0.6,0.61,0.63,0.62,0.61,0.57,0.53,0.51,0.49,0.48,0.49,0.5,0.48,0.45,0.47
09,1.42,1.35,1.4,1.5,1.62,1.69,1.81,1.89,1.97,2,2.05,2.06,2.09,2.12,2.13,2.13,1.95,1.78,1.73
10,0.39,0.38,0.41,0.42,0.43,0.49,0.5,0.52,0.54,0.53,0.54,0.56,0.56,0.57,0.56,0.56,0.53,0.48,0.47
11,0.37,0.36,0.39,0.42,0.46,0.54,0.57,0.57,0.57,0.53,0.51,0.56,0.53,0.57,0.56,0.57,0.55,0.57,0.63
12,0.78,0.73,0.8,0.85,0.97,1.09,1.12,1.1,1.05,1,0.96,0.9,0.86,0.84,0.83,0.85,0.8,0.71,0.73
13,0.71,0.73,0.75,0.76,0.82,0.92,0.95,0.97,0.95,0.91,0.89,0.89,0.91,0.9,0.87,0.9,0.81,0.72,0.73
15,0.2,0.22,0.22,0.23,0.25,0.26,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.28,0.27,0.25,0.26
16,0.9,0.77,0.67,0.66,0.69,0.74,0.77,0.77,0.74,0.75,0.74,0.73,0.67,0.63,0.63,0.65,0.49,0.46,0.49
17,1.57,1.52,1.53,1.57,1.73,1.93,2.13,2.3,2.32,2.29,2.27,2.24,2.21,2.2,2.16,2.24,2.07,1.95,1.93
18,0.94,0.93,0.96,0.96,0.85,0.84,0.86,0.85,0.86,0.86,0.86,0.85,0.83,0.82,0.8,0.83,0.75,0.7,0.72
19,1.27,1.25,1.24,1.23,1.28,1.33,1.42,1.45,1.48,1.47,1.5,1.55,1.54,1.54,1.52,1.56,1.5,1.39,1.32
20,1.24,1.22,1.23,1.24,1.29,1.34,1.37,1.38,1.39,1.39,1.38,1.37,1.37,1.38,1.36,1.41,1.33,1.24,1.24
21,0.66,0.67,0.68,0.69,0.71,0.77,0.8,0.84,0.84,0.85,0.84,0.85,0.85,0.83,0.82,0.85,0.79,0.74,0.71
22,0.17,0.15,0.14,0.14,0.17,0.43,0.44,0.46,0.5,0.49,0.51,0.54,0.52,0.54,0.53,0.55,0.55,0.53,0.54
23,1.12,1.03,1.03,1.05,1.09,1.16,1.21,1.23,1.27,1.33,1.35,1.35,1.33,1.3,1.29,1.32,1.09,0.95,0.92
24,0.77,0.69,0.7,0.76,0.87,0.98,1.06,1.09,1.09,1.09,1.07,1.07,1.06,1.06,1.05,1.07,0.98,0.94,0.95
25,0.82,0.86,0.9,0.96,1.03,1.07,1.13,1.18,1.2,1.2,1.21,1.21,1.18,1.19,1.17,1.21,1.11,1.03,1.01
26,1.23,1.28,1.37,1.44,1.62,1.81,1.84,1.82,1.77,1.7,1.6,1.55,1.51,1.46,1.44,1.5,1.32,1.22,1.2
27,0.81,0.85,0.9,0.94,1.04,1.1,1.16,1.22,1.19,1.14,1.12,1.11,1.09,1.07,1.08,1.1,1.02,0.98,1.01
28,0.5,0.49,0.47,0.46,0.51,0.72,0.76,0.77,0.79,0.82,0.77,0.79,0.78,0.77,0.78,0.79,0.75,0.71,0.69
29,0.82,0.84,0.85,0.87,0.9,0.93,0.98,1,1.02,0.98,0.97,0.96,0.95,0.95,0.93,0.95,0.88,0.81,0.81
30,0.99,0.88,0.82,0.81,0.83,0.85,0.84,0.87,0.85,0.83,0.83,0.83,0.8,0.8,0.83,0.82,0.74,0.68,0.67
31,1.66,1.7,1.74,1.71,1.75,1.81,1.85,1.86,1.83,1.84,1.78,1.73,1.69,1.66,1.61,1.68,1.5,1.42,1.43
32,0.5,0.48,0.53,0.63,0.84,0.98,0.97,0.96,0.86,0.74,0.69,0.63,0.58,0.56,0.53,0.57,0.48,0.43,0.46
33,1.63,1.63,1.67,1.7,1.85,1.91,2.03,2.11,2.15,2.17,2.18,2.18,2.13,2.08,2.04,2.12,1.76,1.61,1.51
34,1.6,1.57,1.63,1.73,1.88,2.01,2.16,2.3,2.38,2.37,2.41,2.43,2.42,2.42,2.41,2.47,2.25,2.07,1.98
35,0.56,0.52,0.51,0.51,0.54,0.66,0.68,0.73,0.72,0.75,0.77,0.79,0.79,0.77,0.77,0.79,0.72,0.67,0.66
36,1.18,1.08,1.12,1.13,1.22,1.37,1.49,1.56,1.64,1.68,1.65,1.67,1.68,1.69,1.69,1.72,1.61,1.54,1.5
37,0.75,0.75,0.75,0.75,0.77,0.81,0.83,0.85,0.84,0.85,0.85,0.84,0.84,0.8,0.77,0.81,0.7,0.63,0.6
38,1.49,1.44,1.4,1.41,1.41,1.36,1.31,1.21,1.1,1.02,0.95,0.96,0.94,0.99,0.98,0.98,0.93,0.96,0.99
39,1.23,1.26,1.3,1.28,1.36,1.43,1.5,1.55,1.55,1.57,1.55,1.53,1.53,1.51,1.47,1.53,1.4,1.29,1.25
40,0.71,0.71,0.7,0.72,0.73,0.8,0.85,0.85,0.86,0.88,0.87,0.89,0.89,0.88,0.86,0.89,0.84,0.78,0.76
41,0.94,0.84,0.8,0.8,0.87,0.97,1.04,1.1,1.08,1.07,1.04,0.98,0.93,0.91,0.9,0.93,0.82,0.76,0.77
42,1.46,1.41,1.39,1.34,1.34,1.39,1.44,1.49,1.53,1.54,1.56,1.58,1.57,1.54,1.49,1.55,1.35,1.26,1.21
44,1.09,1.07,1.14,1.23,1.35,1.46,1.52,1.63,1.66,1.63,1.64,1.62,1.61,1.56,1.53,1.57,1.29,1.23,1.12
