StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,0.1,2.4,2.5,2.2,2.4,2.8,2.6,2.5,2.5,2.8,3.1,3.3,3.3,3.4,3.3,6.45,9.6,8.8,8.7
02,0.2,5,5.9,5.9,4.6,5.4,4.8,5.5,4.2,3.8,4.4,5.1,4.5,5.2,4.3,7.3,10.3,9.4,9
04,0.4,4.5,4.8,4.8,5.1,5.7,5.5,5.4,5.4,5.7,5.5,6.3,6.2,6.7,7.5,14.1,20.7,19.1,17.4
05,0.2,3.2,3.4,3.2,3.4,2.9,3.3,3.4,2.8,3.3,3,3.2,3.6,3.7,3.5,6.6,9.7,8.7,8.6
06,0.2,4.7,4.7,4.7,5.1,5.1,5.3,5.2,5.2,5.3,5.5,5.8,5.9,6,6.3,13.85,21.4,17.1,14.6
08,0.3,5.7,5.9,6.3,6.7,6.3,6.2,6.6,6.8,6.5,7.1,7.9,8.4,8.5,9.1,16.4,23.7,21.1,19.8
09,0,3.4,3.7,4,4,3.9,4.2,4.1,4.3,4.6,4.7,5.2,5.1,5.6,5.5,12.45,19.4,15.8,14.2
10,0,2.6,3.1,3,3.2,3.6,3.6,4.4,3.7,4.4,4.7,4.4,5.1,5.6,5.1,11.8,18.5,15,13.6
11,0,4,5,4.6,5.1,5,4.7,4.6,4.3,4.9,6,6,7.3,6.1,7.3,27.75,48.2,33.7,27.2
12,0.2,4,4.1,4.4,4.7,4.6,4.6,4.9,5,5.3,5.5,6,6.1,6.2,6.9,11.75,16.6,16.3,15.7
13,0.1,4.2,4.3,4.7,4.8,4.8,4.6,4.7,4.8,4.9,5,5.6,5.7,5.9,6.9,12.5,18.1,16.3,15.2
15,0.5,4.3,4.2,4.5,4.4,5.1,4.5,4.3,4.4,4.4,4.6,4.9,4.3,5.3,4.7,7.7,10.7,9.5,8.6
16,0.2,5,5.3,5.2,5.1,6,6.1,5.8,5.5,6.2,6.1,5.8,5.6,6.2,7.3,10.25,13.2,13.1,13.5
17,0.1,3.6,3.6,3.9,3.9,4.3,4,4.1,4.2,4.3,4.4,4.9,4.8,5.1,5.4,12.3,19.2,15.8,14
18,0.1,3.1,3.2,3.1,3.2,3.2,3.1,3.3,3.3,3.3,3.5,3.7,4.2,3.8,4.3,8.05,11.8,10.4,10.3
19,0.2,4.7,4.8,4.4,4.9,4.8,4.6,4.7,4.1,4.7,4,4.7,5.1,5.1,5.7,9.55,13.4,10.9,10.4
20,0.2,4.3,4.3,4.2,4.3,4.4,4.3,4,3.9,4,4.2,4.4,4.7,4.7,5.1,9.45,13.8,12,10.3
21,0.1,3.2,3.2,2.8,3.1,3.6,2.9,3,3.2,3.2,3.1,3.7,3.9,4,4.3,7.85,11.4,10.4,9.4
22,0.1,2.1,2.7,2.3,2.4,2.1,2.1,2.3,2.3,2.6,2.8,3,3.3,3.3,3.9,6.15,8.4,8.1,8
23,0,4.8,4.8,5.2,5.3,5.1,5.4,5.2,5.7,5.4,5.7,5.7,5.9,5.9,6.2,11.95,17.7,15.6,14.3
24,0.1,3.6,3.6,3.8,4.1,4.3,4,4.1,4.2,4.1,4.3,4.7,4.8,5.1,5.5,14.75,24,19.1,16.9
25,0.1,3.5,3.9,3.9,4.2,4.2,4.4,4.1,4.4,4.8,4.7,5.1,5.2,5.2,5.4,14.55,23.7,18.4,15.6
26,0.1,3.4,3.3,3.4,3.5,3.5,3.5,3.6,3.8,3.6,3.5,4,4.1,4.1,4.5,10.4,16.3,13.6,12.2
27,0.1,4.9,5.1,4.8,4.9,5.4,5.2,5.3,4.8,5.1,5.4,5.8,5.8,6,6.4,13.65,20.9,17.1,16.1
