StateCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,4.02,5.1,4.89,5.61,6,6.48,6.43,7.13,6.79,6.35,6.13,6.17,6.66,6.23,5.59,5.72,5.09,5.35,4.79
02,14.02,15.6,15.1,14.68,15.36,18.37,19.49,18.75,20.7,19.91,19.12,19.5,20.8,17.23,19.2,18.64,15.47,14.62,12.76
04,9.23,10.53,10.77,10.9,10.73,12.62,14.08,14.03,14.92,14.87,14.16,13.63,13.1,12.38,11.25,11.52,8.83,8.45,7.78
05,5.01,5.19,5.51,5.52,5.83,6.62,6.53,6.8,7.16,6.8,6.39,7.64,7.68,7.03,6.72,7.02,6.67,5.19,4.69
06,3.49,3.88,4.27,4.62,4.72,4.9,5.15,5.39,5.39,5.84,5.54,5.48,5.84,5.5,5.49,5.22,4.62,4.58,4.55
08,6.8,7.55,7.51,7.68,8.09,8.22,8.58,8.35,8.94,8.5,8.64,8.54,8.83,8.4,7.6,7.86,6.65,5.72,6
09,2.27,2.4,2.43,2.7,2.85,3.25,3.6,3.36,3.23,3.23,3.17,3.38,3.59,3.39,3.37,3.24,2.73,2.71,2.54
10,13.32,13.19,13.73,14.55,15.12,17.52,18.66,16.21,16.99,15.75,15.48,17.79,16.83,14.85,14.52,15.28,12.88,14.5,12.09
11,1.09,0.75,1.45,1.34,3.02,2.74,1.89,2.78,3.74,3.61,3.18,2.63,3.78,2.78,2.74,2.52,2,1.72,2.7
12,12.15,13.12,14.29,16.08,17.01,18.29,18.7,19.01,19.62,19.87,19.57,18.89,18.21,17.8,18.09,16.53,14.37,13.11,12.82
13,2.93,3.31,3.88,3.67,4.12,4.23,4.67,4.26,4.63,5.07,4.26,4.32,4.47,3.53,3.4,3.81,3.03,2.89,2.94
15,12.3,12.94,10.21,11.75,11.5,12.49,12.58,12.89,14.46,13.14,13.94,13.82,14.1,13.76,12.75,11.35,9.39,11.58,11.94
16,7.98,8.07,7.56,7.83,9.09,9.57,12.08,11.54,10.98,12.32,11.74,11.74,11.83,11.29,11.13,10.63,9.87,8.63,8.76
