StateCode,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
17774,42857,45625,45795,47000,49018,49141,50556,52361,54531,60417,70481,77917,70313
17815,45206,46027,44521,46481,,46754,48074,50491,50272,52824,56942,61336,66145
17827,41667,40625,43375,57813,57361,57361,58750,60893,62583,56875,55000,57969,60536
17837,47136,49040,48878,48858,,49410,51723,56497,63869,53801,61791,62090,80488
17846,41950,43098,43276,45134,51148,51602,52412,54082,54073,53948,59643,62143,66250
17847,38765,42428,43484,41698,,45022,46607,48447,53811,51815,52481,54425,56582
17853,45793,44054,45691,46801,49934,48106,51382,53074,56125,54086,61205,61547,63824
17878,50481,50147,50365,53583,,53158,53281,57813,63421,69400,68594,74464,76875
17884,26875,28021,29141,29423,,29500,31875,45096,45703,45625,47750,46250,41875
17888,49583,44792,44375,47292,46429,47083,42361,39306,40208,55313,49125,-666666666,-666666666
17945,18125,20938,42986,42639,43047,43828,46618,87988,84688,-666666666,-666666666,-666666666,25625
17339,79592,77720,73365,77652,,70603,71688,80593,81892,76609,90625,96593,97375
17406,60444,61029,60481,58734,,58544,59518,61947,66100,71477,76153,80930,85183
17502,59597,59429,65250,73594,63295,72404,73685,76722,81402,86985,70000,74476,73513
17532,60694,56514,55317,59413,,63558,64847,67371,74671,70398,76302,84453,87857
17540,59741,55355,54915,54783,,62690,67172,68561,64977,71641,78712,81667,83229
17543,66678,67159,67111,67769,67408,69853,72643,73411,72813,75946,80027,88607,94609
17584,63086,65257,65369,61524,65382,64868,64304,68673,79250,85486,92551,101273,106363
17701,35071,36785,37456,38051,39563,40666,41850,44059,45779,46406,48408,52860,52770
17702,48997,48556,45923,46737,,49288,53493,56006,56163,58082,60214,64096,70514
17724,38836,38250,41232,42675,,47653,47976,51799,47131,47557,48463,53946,55839
17728,58039,57844,58778,55409,57818,60648,61358,60110,62328,61719,64923,73110,77594
17729,35000,38438,37917,38929,36250,37708,35000,32500,28750,36250,40000,48750,44375
17771,44701,47798,48418,47721,51941,52128,53015,55774,58690,57361,61111,65288,69405
17813,44408,46053,44868,44844,,52976,54531,54318,55625,58125,61058,63611,68854
17842,42792,44330,45859,48199,,52500,53301,55000,55456,56114,57799,60338,61797
17850,36818,45500,36161,31563,36058,47500,39559,53385,54034,44500,44297,48142,49500
17856,51765,52101,54261,53552,,59468,56069,56180,62609,67043,67961,76083,92400
17857,46146,48442,50952,52135,50719,55252,57528,58638,59353,64424,61752,66672,64306
17864,49722,46500,44806,48086,47014,47143,48920,53188,53227,58836,61574,69650,76607
17867,38472,51042,63333,58750,53393,51875,36875,37031,38125,36250,55625,54167,58750
17901,43487,44073,41063,43630,,44947,45066,45889,46271,45198,49942,55429,61632
17930,31705,40489,33594,41875,,44706,46848,46016,48750,36875,44375,43958,48125
17949,65909,54028,52875,45833,,45313,47368,49135,48906,52981,55179,51250,62557
17954,35721,40263,36588,34330,,37609,34043,32324,31625,32413,42854,49829,56736
17970,34292,33958,34358,35603,33370,36469,35000,39659,41194,48145,52166,59241,61726
17936,44018,42188,40833,42500,,54808,63750,54286,56765,56691,63375,64508,82344
17944,41042,41300,42500,53750,55714,50469,51389,58250,58750,86250,88068,88393,62411
17952,26250,21042,22500,30139,,37500,38333,39375,45500,39500,46875,56528,62500
17982,32404,33125,31964,39583,,52059,51250,51250,46071,48056,48750,55357,72656
17983,51875,42821,42132,43333,51167,53173,59643,61071,61250,62589,67750,67130,69722
