StateCode,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
17774,36.1,38.33,31.61,30.82,24.62,24.71,23.8,23.04,20.88,16.73,14.02,16.94,17.23
17815,8.89,7.61,7.1,7.47,7.54,6.57,7.87,7.41,9.24,9.89,11.28,10.97,12.47
17827,11.18,7.74,8.03,8.38,7.66,6.81,6.02,8.22,9.86,4.83,8.67,11.52,10.27
17837,3.97,4.89,7.52,7.08,7.9,10.06,11.36,11.77,15.5,13.7,12.87,11.22,10.21
17846,10.47,10.4,7.89,8.64,9.3,9.55,9.01,10.01,10.01,10.08,10.82,12.35,12.05
17847,7.91,6.68,7.57,7.87,6.7,7.3,8.67,8.82,10.63,9.1,9.44,8.82,8.36
17853,6.12,6.54,8.07,9.68,8.49,9.91,9.92,9.3,9.22,8.44,8.89,7.13,7.2
17878,15.49,16.49,12.88,8.36,10,9.91,12.17,13.92,14.88,14.84,18,15.85,12.94
17884,27.97,27.97,25.78,34.3,28.46,24.47,32.23,36.73,43.13,44.73,48.38,28.94,21.32
17888,5.55,14.76,16.54,19.33,25,27.04,21.76,27.01,27.52,23.45,18.75,19.16,14.22
17945,0,0,0,10.34,14.15,21.05,22.58,25.49,19.46,21.11,8.23,9.35,7.31
17339,8.67,7.3,9.56,7.9,6.12,5.62,7.18,5.07,5.15,3.67,3.09,2.1,1.51
17406,6.69,6.36,6.65,5.8,6.79,7.78,8.81,7.67,7.17,5.6,3.56,1.55,1.59
17502,0,0,0,0,0,0,2.12,1.69,2.26,2.88,2.75,0.99,1.06
17532,6.25,8.25,8.4,3.82,3.58,2.1,0,1.34,4.36,4.77,4.73,5.19,3.62
17540,5.38,7.38,5.75,3.97,4.5,3.46,1.69,2.32,2.61,3.86,2.81,3.99,3.81
17543,4.01,3.19,3.82,4.65,5.1,4.84,5.04,4.33,4.18,3.17,3.61,3.43,3.9
17584,4.25,3.75,3.43,4.44,4.23,5.98,6.97,8.1,7.73,7.69,7.7,6.64,6.6
17701,10.18,11.18,11.64,11.99,11.62,11.98,11.29,12.25,14.01,12.72,13.63,14.09,12.58
17702,7.73,8.13,6.96,6.37,6.32,7.4,9.04,10.05,9.9,7.64,8.17,6.4,4.54
17724,14.91,16.64,16.19,15.78,17.92,21.87,21.55,23.5,21.98,20.62,16.98,15,13.51
17728,5.33,4.96,6.12,7.39,7.98,8.99,9.6,9.96,9.92,8.98,6.71,7.21,9.64
17729,91.23,93.09,94.02,94.62,94.71,95.48,95.86,95.57,95.03,94.44,91.53,87.59,84.27
17771,22.72,22.72,21.58,24.34,25.2,24.8,26.64,27.53,26.16,28.58,26.46,24.86,25.44
17813,16.43,15.96,12.13,12.76,13.96,14.06,17.3,19.21,20.27,18.41,18.2,14.64,12.48
17842,6.38,5.88,7.24,7.67,7.89,8.69,9.57,7.49,7.57,8.71,7.78,6.94,7.65
17850,0,0,0,0,0,0,0,5.69,6.6,5.39,7.29,7.19,0
17856,4.9,4.32,6.52,5.73,6.77,7.55,6.42,3.74,4.84,1.28,7.57,5.55,5.35
17857,6.49,6.06,5.67,5.73,4.46,4.26,7.28,10.25,10.01,10.84,11.34,7.94,6.44
17864,7.43,8.19,5.46,9.19,8.36,10.57,11.12,11.59,11.06,9.62,8.91,8.3,6.68
17867,11.53,10.22,10.34,18.91,8.21,12.94,17.39,20.96,10.44,13.15,3.07,10.84,10.12
17901,14.57,13.33,12.75,14.33,15.58,15.79,17.4,16.81,16.14,14.65,14.13,11.71,12.35
17930,20.45,5,6.98,6.93,6.87,6.04,9.5,6.45,6.73,15.65,23.03,24.71,30.45
17949,28.88,28.87,30.65,25.45,30.7,35.06,28.81,32.71,47.53,50.73,54.88,53.77,55.09
17954,13.28,16.91,16.92,18.35,21.18,18.21,16.64,15.76,14.72,15.53,17.6,19.73,19.65
17970,7.12,8.43,9.34,11.3,13.65,12.58,14.86,18.18,19.11,20.96,23.31,21.59,19.93
17936,9.39,10.63,6.37,8.28,9.83,15.94,15,17.29,15.32,18,25.04,23.89,21.25
17944,27.41,27.14,27.69,22.64,16.83,20.23,20,26.92,39.74,33,18.62,19,14.63
17952,11.72,13.79,16.92,21.48,15.31,10.71,11.71,11.96,5.1,29.16,30.06,26.95,22.22
17982,5.29,17.64,19.56,23.11,24.76,19.29,11.39,6.41,11.55,9.37,9.9,10.34,11.05
17983,10.75,13.88,7.59,11.51,11.83,14.53,16.33,15.77,14.47,13.93,10.56,9.85,5.71
17946,0,9.21,16.8,23.94,23.94,58.57,46.91,38.97,46.22,48.91,24.85,13.84,0
17957,5.69,4.63,5.03,0,0,0,8.46,8.47,10.81,11.59,9.67,0,0
17968,3.96,8.59,10.15,8.33,8.33,11.38,8.73,8.33,9,14.44,15.55,16.79,18.7
17003,5.71,4.99,5.16,4.68,4.16,5.67,5.78,5.44,6,5.79,4.92,5,5.36
19807,11.03,12.75,12.19,13.3,11.02,12.26,13.92,12.78,9.68,11.98,10.49,8.21,7.21
19809,8.83,9.04,9.17,9.64,9.09,10.98,10.21,8.56,7.21,5.25,6.82,6.33,4.51
19810,4.31,3.38,3.68,3.22,3.33,4.07,5.07,4.54,4.38,4.98,4.73,3.71,3.64
19938,4.36,4.62,3.29,5.1,4.93,3.14,3.34,3.69,4.37,3.79,3.28,2.9,2.64
19940,5.79,8.73,8.2,12.67,13,17.04,16.54,16.01,14.36,13.1,12.02,11.3,13.27
20880,4.09,3.71,0.9,0.86,1.31,0.98,0.93,4.2,4.41,4.85,3.62,7.76,5.9
20903,6.12,4.72,4.51,4.62,4.03,3.76,3.36,2.88,2.27,3.99,3.78,4.62,3.05
20197,7.43,2.86,2.95,6.78,7.62,8.08,7.62,6.33,2.34,0,0,0,7.06
20008,8.69,9.67,10.05,10.12,8.82,9.34,9.38,8.16,7.95,7.98,7.08,6.48,7.64
20009,9.33,8.67,7.35,6.82,6.57,6.53,6.64,7.22,6.9,6.64,8.53,9.12,8.32
