ZIP Code,CBSA Code,USPS Default State for ZIP
35004,13820,AL
35005,13820,AL
35006,13820,AL
35007,13820,AL
35010,10760,AL
35011,10760,AL
35013,13820,AL
35014,45180,AL
35015,13820,AL
35016,10700,AL
35019,18980,AL
35020,13820,AL
35021,13820,AL
35022,13820,AL
35023,13820,AL
35031,13820,AL
35032,45180,AL
35033,18980,AL
35034,13820,AL
35035,13820,AL
35036,13820,AL
35038,13820,AL
35040,13820,AL
35042,13820,AL
35043,13820,AL
35044,45180,AL
35045,13820,AL
35046,13820,AL
35048,13820,AL
35049,13820,AL
35051,13820,AL
35052,13820,AL
35053,18980,AL
35054,13820,AL
35055,18980,AL
35056,18980,AL
35057,18980,AL
35058,18980,AL
35060,13820,AL
35061,13820,AL
35062,13820,AL
35063,13820,AL
35064,13820,AL
35068,13820,AL
35070,18980,AL
35071,13820,AL
35072,45180,AL
35073,13820,AL
35074,13820,AL
35077,18980,AL
35078,13820,AL
35079,13820,AL
35080,13820,AL
35082,45180,AL
35083,18980,AL
35085,13820,AL
35087,18980,AL
35089,45180,AL
35091,13820,AL
35094,13820,AL
35096,45180,AL
35097,13820,AL
35098,18980,AL
35111,46220,AL
35112,13820,AL
35114,13820,AL
35115,13820,AL
35116,13820,AL
35117,13820,AL
35118,13820,AL
35119,13820,AL
35120,13820,AL
35121,13820,AL
35123,13820,AL
35124,13820,AL
35125,13820,AL
35126,13820,AL
35127,13820,AL
35128,13820,AL
35130,13820,AL
35131,13820,AL
35133,13820,AL
35135,13820,AL
35136,45180,AL
35137,13820,AL
35139,13820,AL
35142,13820,AL
35143,13820,AL
35146,13820,AL
35147,13820,AL
35148,13820,AL
35149,45180,AL
35150,45180,AL
35151,45180,AL
35160,45180,AL
35171,13820,AL
35172,13820,AL
35173,13820,AL
35175,10700,AL
35176,13820,AL
35178,13820,AL
35179,18980,AL
35180,13820,AL
35181,13820,AL
35182,13820,AL
35183,45180,AL
35184,13820,AL
35185,13820,AL
35186,13820,AL
35187,13820,AL
35188,13820,AL
35201,13820,AL
35202,13820,AL
35203,13820,AL
35204,13820,AL
35205,13820,AL
35206,13820,AL
35207,13820,AL
35208,13820,AL
35209,13820,AL
35210,13820,AL
35211,13820,AL
35212,13820,AL
35213,13820,AL
35214,13820,AL
35215,13820,AL
35216,13820,AL
35217,13820,AL
35218,13820,AL
35219,13820,AL
35220,13820,AL
35221,13820,AL
35222,13820,AL
35223,13820,AL
35224,13820,AL
35226,13820,AL
35228,13820,AL
35229,13820,AL
35231,13820,AL
35232,13820,AL
35233,13820,AL
35234,13820,AL
35235,13820,AL
35236,13820,AL
35238,13820,AL
35242,13820,AL
35243,13820,AL
35244,13820,AL
35249,13820,AL
35253,13820,AL
35254,13820,AL
35255,13820,AL
35259,13820,AL
35260,13820,AL
35261,13820,AL
35266,13820,AL
35270,13820,AL
35285,13820,AL
35293,13820,AL
35294,13820,AL
35295,13820,AL
35401,46220,AL
35402,46220,AL
35403,46220,AL
35404,46220,AL
35405,46220,AL
35406,46220,AL
35407,46220,AL
35440,46220,AL
35441,46220,AL
35442,46220,AL
35443,46220,AL
35444,46220,AL
35446,46220,AL
35447,46220,AL
35448,46220,AL
35449,46220,AL
35452,46220,AL
35453,46220,AL
35456,46220,AL
35457,46220,AL
35458,46220,AL
35461,46220,AL
35462,46220,AL
35463,46220,AL
35466,46220,AL
35469,46220,AL
35471,46220,AL
35473,46220,AL
35474,46220,AL
35475,46220,AL
35476,46220,AL
35478,46220,AL
35480,46220,AL
35481,46220,AL
35482,46220,AL
35486,46220,AL
35487,46220,AL
35490,46220,AL
35491,46220,AL
35501,13820,AL
35502,13820,AL
35503,13820,AL
35504,13820,AL
35549,13820,AL
35550,13820,AL
35560,13820,AL
35573,13820,AL
35578,13820,AL
35579,13820,AL
35580,13820,AL
35584,13820,AL
35587,13820,AL
35601,19460,AL
35602,19460,AL
35603,19460,AL
35610,22520,AL
35611,26620,AL
35612,26620,AL
35613,26620,AL
35614,26620,AL
35615,26620,AL
35616,22520,AL
35617,22520,AL
35618,19460,AL
35619,19460,AL
35620,26620,AL
35621,19460,AL
35622,19460,AL
35630,22520,AL
35631,22520,AL
35632,22520,AL
35633,22520,AL
35634,22520,AL
35640,19460,AL
35643,19460,AL
35645,22520,AL
35646,22520,AL
35647,26620,AL
35648,22520,AL
35649,26620,AL
35650,19460,AL
35651,19460,AL
35652,22520,AL
35660,22520,AL
35661,22520,AL
35662,22520,AL
35670,19460,AL
35671,26620,AL
35672,19460,AL
35673,19460,AL
35674,22520,AL
35677,22520,AL
35739,26620,AL
35740,42460,AL
35741,26620,AL
35742,26620,AL
35744,42460,AL
35745,42460,AL
35746,42460,AL
35747,10700,AL
35748,26620,AL
35749,26620,AL
35750,26620,AL
35751,42460,AL
35752,42460,AL
35754,19460,AL
35755,10700,AL
35756,26620,AL
35757,26620,AL
35758,26620,AL
35759,26620,AL
35760,26620,AL
35761,26620,AL
35762,26620,AL
35763,26620,AL
35764,42460,AL
35765,42460,AL
35766,42460,AL
35767,26620,AL
35768,42460,AL
35769,42460,AL
35771,42460,AL
35772,42460,AL
35773,26620,AL
35774,42460,AL
35775,19460,AL
35776,42460,AL
35801,26620,AL
35802,26620,AL
35803,26620,AL
35804,26620,AL
35805,26620,AL
35806,26620,AL
35807,26620,AL
35808,26620,AL
35809,26620,AL
35810,26620,AL
35811,26620,AL
35812,26620,AL
35813,26620,AL
35814,26620,AL
35815,26620,AL
35816,26620,AL
35824,26620,AL
35893,26620,AL
35894,26620,AL
35895,26620,AL
35896,26620,AL
35897,26620,AL
35898,26620,AL
35899,26620,AL
35901,23460,AL
35902,23460,AL
35903,23460,AL
35904,23460,AL
35905,23460,AL
35906,23460,AL
35907,23460,AL
35950,10700,AL
35951,10700,AL
35952,23460,AL
35953,13820,AL
35954,23460,AL
35956,23460,AL
35957,10700,AL
35958,42460,AL
35961,22840,AL
35962,22840,AL
35963,22840,AL
35964,10700,AL
35966,42460,AL
35967,22840,AL
35968,22840,AL
35971,22840,AL
35972,23460,AL
35974,22840,AL
